date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,54,0,77,53,46
2012-02-01,92,0,88,63,52
2012-03-01,100,0,69,52,45
2012-04-01,91,0,76,51,42
2012-05-01,91,0,77,61,44
2012-06-01,88,0,64,54,50
2012-07-01,68,0,65,51,53
2012-08-01,55,0,62,45,51
2012-09-01,58,0,55,43,53
2012-10-01,53,0,52,44,62
2012-11-01,55,0,84,48,49
2012-12-01,47,0,45,39,48
2013-01-01,76,0,72,48,52
2013-02-01,62,0,71,43,51
2013-03-01,46,0,76,45,57
2013-04-01,51,0,65,46,42
2013-05-01,60,0,68,52,50
2013-06-01,50,0,78,47,52
2013-07-01,56,0,82,45,53
2013-08-01,55,0,87,43,50
2013-09-01,62,0,58,46,48
2013-10-01,45,0,68,47,45
2013-11-01,41,0,65,41,44
2013-12-01,43,0,51,39,45
2014-01-01,47,0,64,41,55
2014-02-01,41,0,77,48,53
2014-03-01,35,0,59,42,52
2014-04-01,33,0,51,36,47
2014-05-01,40,0,67,45,55
2014-06-01,38,0,71,44,53
2014-07-01,37,0,82,44,47
2014-08-01,40,0,71,44,47
2014-09-01,40,0,71,47,46
2014-10-01,35,0,47,39,39
2014-11-01,35,0,67,41,40
2014-12-01,31,0,48,34,36
2015-01-01,36,0,54,37,34
2015-02-01,37,0,41,35,35
2015-03-01,65,0,44,38,37
2015-04-01,64,0,58,38,33
2015-05-01,38,0,44,38,34
2015-06-01,39,0,61,38,39
2015-07-01,34,0,57,37,37
2015-08-01,36,0,57,37,33
2015-09-01,44,0,57,39,35
2015-10-01,40,0,58,39,32
2015-11-01,34,0,46,36,32
2015-12-01,30,0,40,33,31
2016-01-01,41,0,52,41,30
2016-02-01,33,0,53,38,30
2016-03-01,36,0,53,40,32
2016-04-01,38,0,53,33,28
2016-05-01,40,0,70,43,32
2016-06-01,38,0,62,45,31
2016-07-01,35,0,56,38,30
2016-08-01,30,0,53,34,29
2016-09-01,35,0,56,35,28
2016-10-01,32,0,49,31,30
2016-11-01,37,0,23,30,3
2016-12-01,33,0,23,27,0
2017-01-01,39,0,37,33,0
2017-02-01,40,0,34,32,0
2017-03-01,51,0,40,38,0
2017-04-01,35,0,26,29,0
2017-05-01,38,0,30,37,0
2017-06-01,36,0,32,36,0
2017-07-01,35,0,34,36,0
2017-08-01,37,0,28,37,0
2017-09-01,39,0,38,43,0
2017-10-01,36,0,23,38,0
2017-11-01,40,0,25,38,0
2017-12-01,36,0,21,27,0
2018-01-01,36,0,32,33,0
2018-02-01,43,0,42,34,0
2018-03-01,43,0,58,27,0
2018-04-01,39,0,40,22,0
2018-05-01,44,0,51,30,0
2018-06-01,36,0,0,27,0
2018-07-01,34,0,0,35,0
2018-08-01,33,0,0,30,0
2018-09-01,40,0,0,33,0
2018-10-01,41,0,37,37,0
2018-11-01,37,0,46,37,2
2018-12-01,29,0,41,32,3
2019-01-01,33,0,47,37,4
2019-02-01,33,0,57,45,5
2019-03-01,30,0,58,48,7
2019-04-01,24,0,35,34,5
2019-05-01,27,0,45,41,7
2019-06-01,27,0,52,40,7
2019-07-01,27,0,72,53,8
2019-08-01,26,0,69,41,5
2019-09-01,30,0,58,41,8
2019-10-01,27,0,79,38,7
2019-11-01,20,0,65,37,6
2019-12-01,19,0,44,36,7
2020-01-01,22,0,57,39,7
2020-02-01,28,0,100,57,9
2020-03-01,21,0,52,45,5
2020-04-01,21,0,51,46,2
2020-05-01,20,0,57,46,3
2020-06-01,25,0,51,38,3
2020-07-01,20,0,50,36,4
2020-08-01,23,0,36,37,4
2020-09-01,27,0,41,50,6
2020-10-01,19,0,26,35,5
2020-11-01,18,0,38,37,4
2020-12-01,18,0,27,35,4
2021-01-01,18,0,40,37,6
2021-02-01,18,0,42,42,5
2021-03-01,15,0,52,38,5
2021-04-01,15,0,39,33,5
2021-05-01,12,0,41,35,6
2021-06-01,14,0,50,50,5
2021-07-01,17,0,52,53,23
2021-08-01,18,0,52,52,25
2021-09-01,18,0,42,53,29
2021-10-01,11,0,46,39,31
2021-11-01,11,0,44,40,34
2021-12-01,13,15,52,39,27
2022-01-01,15,22,86,73,35
2022-02-01,12,20,74,79,37
2022-03-01,27,100,67,100,39
2022-04-01,26,33,56,94,29
2022-05-01,23,10,25,85,32
2022-06-01,19,47,54,89,45
2022-07-01,18,76,53,94,35
2022-08-01,27,58,56,83,43
2022-09-01,25,34,45,77,39
2022-10-01,25,28,31,75,41
2022-11-01,25,20,33,82,38
2022-12-01,20,17,28,69,35
2023-01-01,22,14,34,80,37
2023-02-01,24,25,36,85,39
2023-03-01,54,0,27,78,53
2023-04-01,29,0,26,53,44
2023-05-01,32,10,35,79,54
2023-06-01,38,8,30,67,53
2023-07-01,36,7,30,60,51
2023-08-01,35,0,32,61,50
2023-09-01,30,10,26,62,49
2023-10-01,30,0,21,58,46
2023-11-01,25,0,26,57,55
2023-12-01,25,7,21,51,100
2024-01-01,26,17,23,52,98
2024-02-01,31,10,36,53,66
2024-03-01,30,12,29,55,91
2024-04-01,26,11,28,46,81
2024-05-01,24,9,31,44,92
2024-06-01,23,0,26,47,82
2024-07-01,24,0,26,52,94
2024-08-01,21,0,29,53,87
2024-09-01,22,0,39,59,88
2024-10-01,27,9,28,53,86
2024-11-01,26,12,29,56,85
2024-12-01,21,0,26,45,83
2025-01-01,25,0,30,47,88
2025-02-01,24,0,32,48,85
2025-03-01,22,0,30,48,87
2025-04-01,25,0,22,41,73
2025-05-01,23,0,31,45,86
2025-06-01,20,0,25,46,77
2025-07-01,23,0,24,40,78
2025-08-01,23,0,27,43,80
2025-09-01,21,0,34,40,74
2025-10-01,23,0,22,41,75
