date,Age,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,power cut schedule,train schedule,train ticket price
2012-01-01,34,38,0,28,0,58,49,11,0,32,54,92,0,0,54,24,70,40,0,0,68,40,11,79,0,70,0,38,0,0,0,0,0,0,0,0
2012-02-01,37,32,0,29,0,57,54,10,0,31,83,91,0,0,51,29,68,38,0,92,52,44,10,75,0,65,0,41,0,0,0,0,0,0,0,0
2012-03-01,34,37,0,33,0,60,49,12,0,27,89,100,0,0,49,24,63,39,0,94,57,43,10,72,0,67,0,0,0,0,0,0,0,0,56,0
2012-04-01,37,34,0,26,0,45,48,13,0,28,62,75,0,0,68,26,59,38,0,0,53,45,10,71,0,67,0,0,0,0,0,0,0,0,0,0
2012-05-01,32,43,0,25,0,54,53,13,0,29,0,65,49,0,57,29,57,44,0,0,59,41,8,74,0,66,0,31,0,0,0,86,0,0,51,0
2012-06-01,46,42,0,21,0,50,46,14,0,30,0,62,0,0,53,25,58,53,0,0,73,43,7,77,0,65,0,46,0,0,0,0,0,0,97,0
2012-07-01,57,39,0,10,0,47,44,14,0,36,0,58,0,0,64,22,54,63,0,0,47,49,10,83,0,64,0,48,0,0,0,0,0,0,74,0
2012-08-01,37,37,0,15,0,36,48,10,0,36,0,46,0,0,59,35,59,41,0,80,56,44,10,87,0,62,0,0,0,0,0,0,0,0,40,0
2012-09-01,34,38,0,22,0,67,51,13,58,31,0,52,0,0,52,28,58,36,69,65,51,40,11,78,0,62,0,40,0,0,0,0,0,0,48,0
2012-10-01,36,35,0,21,0,63,51,11,0,36,73,49,42,0,49,19,56,31,0,0,45,45,10,76,0,66,0,29,0,0,0,0,0,0,34,0
2012-11-01,37,43,0,23,0,72,49,14,0,34,0,50,0,0,45,29,53,26,0,0,100,43,12,71,0,67,0,54,0,0,0,0,64,0,0,0
2012-12-01,42,42,0,21,0,74,39,13,0,33,76,46,0,0,46,23,49,28,0,0,61,37,11,73,0,54,0,29,0,0,0,0,0,0,51,0
2013-01-01,37,41,0,24,0,53,43,17,0,36,0,46,49,0,45,24,53,44,0,0,54,41,9,86,0,54,0,28,0,0,0,0,0,0,43,0
2013-02-01,37,44,0,24,0,55,48,15,0,33,76,45,0,0,48,28,54,47,0,0,59,48,11,82,0,60,0,33,0,0,0,0,0,0,37,0
2013-03-01,37,43,0,28,0,58,43,15,34,31,54,44,0,0,43,26,50,43,50,0,49,49,16,88,0,55,0,41,0,0,0,0,0,0,58,64
2013-04-01,43,45,0,30,0,54,48,18,0,41,53,44,51,0,49,29,52,46,64,0,58,46,17,84,0,63,0,31,0,0,0,0,53,0,37,0
2013-05-01,37,42,0,27,0,63,48,22,0,36,58,44,0,0,53,25,54,47,0,0,51,46,20,86,0,62,0,36,0,0,0,0,0,0,30,0
2013-06-01,38,38,0,21,0,61,53,17,0,39,0,42,0,0,49,33,52,55,0,0,52,45,13,78,0,58,0,27,0,0,0,0,0,0,61,0
2013-07-01,42,41,0,10,0,55,43,17,0,43,0,43,0,0,57,25,54,62,0,0,54,49,11,88,0,54,0,0,0,0,0,0,0,0,71,0
2013-08-01,35,40,0,19,0,39,46,15,0,38,49,38,0,0,50,27,58,49,0,0,53,47,12,88,40,58,0,31,0,0,0,0,0,0,57,0
2013-09-01,33,43,0,24,0,63,54,22,36,36,0,47,0,0,49,30,64,36,0,78,62,43,12,85,0,61,0,32,0,0,0,49,0,0,51,0
2013-10-01,35,45,0,22,0,60,55,25,29,38,58,50,0,0,57,30,56,34,54,0,58,47,11,87,0,62,0,34,0,0,0,0,0,0,37,0
2013-11-01,39,52,0,22,0,82,50,19,38,34,47,49,0,0,58,34,57,31,71,0,58,44,12,89,0,61,0,46,0,0,0,0,0,0,0,0
2013-12-01,42,56,0,24,0,60,42,16,0,39,64,43,0,0,53,29,51,32,0,0,58,39,11,78,0,58,0,37,0,0,0,0,85,0,0,62
2014-01-01,40,49,0,27,0,70,52,20,37,37,53,45,42,0,50,33,61,50,0,55,55,44,11,97,0,62,0,50,0,0,0,0,68,0,39,0
2014-02-01,38,58,0,31,0,60,53,17,0,36,61,47,43,0,59,28,66,48,63,0,52,48,12,92,0,63,0,36,0,0,0,0,0,0,54,100
2014-03-01,36,54,0,32,0,76,52,26,0,39,78,43,38,0,58,37,60,48,72,50,58,48,13,85,0,63,0,46,0,0,0,0,0,0,27,0
2014-04-01,41,56,0,25,0,73,45,23,34,39,65,48,49,0,61,27,56,50,53,0,61,50,13,87,0,62,0,47,0,0,100,45,0,0,31,62
2014-05-01,40,54,0,24,0,62,50,17,41,38,51,51,48,0,59,42,54,60,0,0,55,50,11,85,0,68,0,28,0,0,0,0,0,0,50,0
2014-06-01,40,44,0,22,0,68,50,19,46,39,0,51,0,0,61,41,58,67,0,65,93,47,14,84,0,64,0,33,0,0,0,0,62,0,79,0
2014-07-01,49,46,0,11,0,60,46,22,0,49,0,54,0,0,63,44,55,73,0,77,86,57,14,98,0,61,0,46,0,0,0,0,100,0,91,0
2014-08-01,40,60,0,18,0,47,52,19,54,47,0,49,45,0,58,34,60,51,0,0,53,48,17,94,0,63,0,42,0,0,0,0,57,0,69,0
2014-09-01,43,63,0,23,0,63,59,17,37,41,64,55,54,0,71,38,60,45,60,0,54,53,14,88,0,65,0,37,0,0,0,45,54,0,56,0
2014-10-01,46,66,0,21,0,68,60,17,38,39,61,54,0,0,78,51,64,38,71,0,56,52,16,88,0,67,0,40,0,0,0,0,0,0,57,0
2014-11-01,78,65,0,27,0,72,55,19,58,36,50,58,47,0,68,43,59,31,58,0,55,50,14,84,0,64,0,40,0,0,0,0,0,0,52,0
2014-12-01,81,71,0,23,0,69,47,22,45,38,78,60,0,0,60,53,66,33,51,0,64,43,17,81,0,65,0,41,0,0,0,0,55,0,42,0
2015-01-01,62,62,0,33,0,63,54,16,43,43,41,53,0,0,58,51,62,48,74,0,64,46,15,93,0,61,0,51,0,0,0,0,53,0,36,0
2015-02-01,49,63,0,28,0,75,56,20,48,47,50,57,0,0,62,56,64,47,53,0,51,55,14,95,0,67,0,41,0,0,0,0,0,0,43,0
2015-03-01,49,60,0,28,0,58,53,17,34,38,60,59,37,0,63,36,62,47,50,54,47,49,16,86,0,63,0,44,0,0,0,0,0,0,27,66
2015-04-01,57,57,0,28,0,67,54,22,47,36,56,68,43,0,64,51,60,51,0,68,58,52,14,84,0,69,0,55,0,0,0,0,53,0,43,0
2015-05-01,54,53,0,23,0,59,55,26,60,39,83,66,0,0,64,54,62,51,60,52,61,54,18,83,0,73,0,41,0,0,0,0,66,0,49,0
2015-06-01,43,59,0,21,0,61,54,17,40,41,0,60,0,0,56,38,59,61,0,54,46,49,15,83,0,66,0,40,0,0,0,0,0,0,64,0
2015-07-01,49,67,0,11,0,59,44,17,0,46,0,65,0,0,61,34,58,77,0,0,46,62,20,87,0,61,0,47,0,0,0,0,0,0,70,0
2015-08-01,48,69,0,19,0,49,54,21,0,43,0,61,54,0,66,39,59,56,0,61,58,50,17,87,0,63,0,35,0,0,0,0,58,0,100,0
2015-09-01,46,66,0,24,0,72,56,18,46,43,71,68,37,0,83,40,57,49,0,53,52,49,19,90,0,68,0,38,0,0,0,0,59,0,49,62
2015-10-01,43,63,0,21,0,75,61,23,57,35,0,63,40,0,65,44,65,42,0,73,45,53,22,85,35,67,0,47,0,0,0,0,63,0,59,0
2015-11-01,40,80,0,24,0,74,52,19,47,49,84,60,68,49,67,43,58,32,78,51,50,49,18,82,0,67,0,62,0,0,0,41,0,0,37,0
2015-12-01,44,78,0,25,0,68,50,17,38,39,0,66,0,0,55,45,64,38,0,0,48,48,20,82,0,68,0,37,0,0,0,0,47,0,45,0
2016-01-01,43,84,0,28,0,57,57,15,0,41,0,56,55,0,58,40,64,52,0,0,51,50,17,86,0,65,0,46,0,0,0,0,48,0,31,0
2016-02-01,43,90,0,26,0,60,58,18,49,39,80,60,43,0,54,39,58,53,83,0,51,57,21,86,0,70,0,51,0,0,0,0,77,0,36,0
2016-03-01,43,84,0,26,0,62,57,25,38,38,53,58,0,0,52,52,60,51,78,52,42,50,20,79,44,76,0,51,0,0,0,0,0,0,37,0
2016-04-01,42,86,0,30,0,57,56,19,29,34,100,66,41,0,58,62,60,55,0,60,46,55,19,78,0,70,0,54,0,0,0,0,59,0,72,0
