date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2012-01-01,37,0,41,0,14,0,60,27,35,23,28,52,54,47,11,45,15,23,73,31,12,36,42,23,13,38,15,33,0,40,0,0,0,0,24,0,32,0
2012-02-01,36,0,39,0,9,0,0,23,34,16,22,52,80,47,0,33,16,27,66,33,12,53,30,26,11,36,13,31,0,53,0,0,35,18,34,0,22,0
2012-03-01,33,0,38,0,9,0,0,25,36,18,23,52,96,53,0,53,15,24,71,35,14,46,29,26,12,36,14,33,0,37,0,0,0,15,23,0,38,0
2012-04-01,36,0,40,0,8,0,0,22,34,24,21,49,50,48,11,32,16,21,64,37,10,45,34,27,13,34,11,47,0,35,0,0,44,16,37,0,51,0
2012-05-01,37,0,40,0,7,0,0,23,35,18,27,53,62,46,15,31,16,23,64,41,14,63,33,26,14,35,10,49,0,28,0,0,0,21,0,0,72,0
2012-06-01,36,0,39,0,6,0,0,24,37,17,19,52,50,40,0,35,15,21,66,44,12,51,40,25,13,39,10,43,0,38,0,0,0,19,0,0,85,0
2012-07-01,36,0,41,0,5,0,0,22,36,19,21,56,52,42,12,32,15,24,59,54,15,63,34,30,16,37,16,38,0,31,0,0,0,0,0,0,95,0
2012-08-01,36,0,41,0,4,0,72,22,36,23,24,59,45,40,12,44,15,22,57,46,14,29,38,32,10,41,17,36,0,35,0,0,0,26,33,0,74,0
2012-09-01,35,0,39,0,7,0,0,24,36,19,21,56,65,39,14,40,17,25,69,36,15,45,30,27,15,41,10,36,0,41,0,0,0,14,31,0,72,0
2012-10-01,35,0,44,0,7,0,0,25,36,18,26,59,88,38,15,32,18,26,75,30,10,61,28,27,14,38,13,35,0,33,0,0,0,24,32,0,59,0
2012-11-01,38,0,47,0,7,0,0,25,33,20,21,57,72,41,17,43,19,24,71,25,17,58,34,27,10,36,14,35,0,29,0,0,29,21,34,0,39,0
2012-12-01,38,0,42,0,8,0,0,21,29,22,16,53,63,48,0,44,18,18,62,25,10,34,26,27,9,35,0,30,0,15,0,0,0,0,30,0,34,0
2013-01-01,38,0,42,0,11,0,0,23,33,24,22,60,46,37,13,57,17,22,72,33,9,40,28,25,10,40,15,34,0,28,0,0,39,17,26,0,42,0
2013-02-01,37,0,48,0,8,0,0,23,34,22,31,57,53,36,12,51,17,26,65,35,14,50,27,30,10,38,7,31,0,36,0,0,26,23,21,0,30,0
2013-03-01,40,0,43,0,8,0,0,23,33,25,19,56,57,37,16,49,18,27,68,37,14,56,24,27,13,38,16,31,26,32,0,0,24,25,0,59,49,0
2013-04-01,38,0,52,0,7,0,0,24,35,25,23,61,80,38,15,49,20,30,65,40,12,42,26,29,13,40,6,32,0,36,0,0,0,18,28,0,52,0
2013-05-01,36,0,46,0,6,0,56,23,34,23,12,56,48,39,13,50,22,23,63,38,13,41,25,28,9,39,9,32,36,32,0,0,31,0,24,0,59,0
2013-06-01,38,0,52,0,6,0,0,20,34,25,24,67,59,34,14,50,20,19,63,44,11,34,23,28,11,38,10,30,0,36,0,0,0,16,29,0,92,0
2013-07-01,34,0,38,0,5,0,0,22,36,29,22,71,55,37,16,53,20,23,64,50,7,48,23,32,15,42,11,31,0,35,0,0,0,0,0,0,93,30
2013-08-01,37,0,41,0,4,0,0,22,35,24,22,70,37,38,0,30,20,23,62,48,8,27,24,37,14,41,14,28,0,36,0,0,26,25,38,0,69,43
2013-09-01,37,0,39,0,6,0,0,20,45,27,18,63,53,37,10,44,23,26,74,36,16,43,22,30,16,49,13,32,33,35,0,0,43,19,36,0,70,0
2013-10-01,38,0,47,0,7,0,0,22,36,32,19,60,59,36,19,32,22,26,74,31,12,39,23,29,21,46,10,34,36,41,0,0,31,25,19,0,58,0
2013-11-01,42,0,46,0,8,0,49,21,36,27,32,58,76,43,20,35,24,31,74,28,13,50,24,29,16,45,9,35,29,46,0,0,0,14,22,0,41,0
2013-12-01,45,0,49,0,7,0,47,22,35,26,19,58,59,43,16,32,23,28,73,27,14,37,22,31,20,40,9,31,36,28,0,0,40,0,26,0,37,0
2014-01-01,48,0,50,0,10,0,0,29,43,28,25,64,68,41,12,62,23,27,81,35,10,53,23,30,16,50,16,34,0,51,0,0,0,18,26,0,40,28
2014-02-01,46,0,50,0,8,0,0,22,40,31,29,61,60,36,18,55,24,33,82,35,19,55,23,36,25,49,15,36,0,38,0,0,0,16,19,0,32,0
2014-03-01,45,0,46,0,7,0,0,20,37,29,23,74,73,37,15,53,23,31,78,37,23,57,25,31,13,48,18,33,0,53,0,0,0,17,30,0,35,0
2014-04-01,42,0,47,0,8,0,49,21,37,28,23,65,52,38,16,61,24,30,73,47,15,38,27,32,21,50,11,32,0,34,0,0,28,18,22,0,59,0
2014-05-01,45,0,46,0,6,0,0,22,35,30,28,64,50,39,23,31,23,33,72,43,15,40,27,34,23,47,11,35,0,39,0,0,23,12,29,0,78,26
2014-06-01,41,0,45,0,5,0,0,18,37,29,20,62,71,37,14,58,23,27,70,49,10,26,77,30,19,46,17,30,0,42,0,0,0,19,0,0,97,35
2014-07-01,42,0,47,0,5,0,0,20,38,28,32,73,25,39,19,41,21,28,72,53,0,56,43,34,27,50,12,30,0,35,0,0,51,21,24,0,94,0
2014-08-01,44,0,51,0,5,0,52,20,39,34,13,77,47,39,21,37,23,24,70,54,10,36,28,40,29,50,17,32,44,43,0,0,0,25,24,0,70,0
2014-09-01,43,0,45,0,7,0,0,21,43,25,27,72,61,40,19,56,25,34,82,40,13,24,24,33,21,58,13,33,26,53,0,0,0,23,22,0,83,29
2014-10-01,46,0,53,0,7,0,0,20,41,30,28,67,84,38,25,63,24,30,80,35,12,39,26,33,22,57,12,34,0,47,0,0,0,0,0,0,60,0
2014-11-01,55,0,54,0,8,0,0,23,42,27,33,64,61,44,29,55,25,34,79,27,17,50,23,30,19,54,9,33,0,36,0,0,35,19,25,0,39,0
2014-12-01,56,0,49,0,7,0,0,23,37,27,22,61,43,46,19,48,24,30,71,27,15,60,23,32,21,55,9,31,35,28,0,0,35,22,31,0,32,0
2015-01-01,53,0,51,0,10,0,0,21,40,32,30,89,61,36,18,42,25,31,76,33,9,38,23,30,16,58,12,34,0,37,53,0,21,27,35,0,41,0
2015-02-01,51,0,52,0,8,0,45,24,42,34,26,63,55,39,30,57,25,32,78,38,15,46,29,39,29,58,11,36,26,47,0,0,39,29,40,0,31,0
2015-03-01,49,0,45,0,8,0,41,24,42,30,30,65,63,41,26,51,26,35,81,38,15,50,24,33,22,59,15,36,31,42,0,0,0,25,32,0,36,0
2015-04-01,52,68,43,0,7,0,0,22,43,34,45,67,68,42,26,69,25,38,76,42,14,41,28,35,33,59,14,34,0,37,0,0,0,32,21,0,49,30
2015-05-01,53,0,51,0,6,0,0,33,40,33,25,63,49,51,21,58,26,33,74,40,14,22,25,38,14,58,13,37,0,31,0,0,37,27,33,0,65,0
2015-06-01,45,0,47,0,6,0,72,21,42,27,28,66,45,46,26,53,24,31,77,48,10,50,22,35,17,61,12,36,0,41,0,0,28,22,28,0,79,0
