date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant
2012-01-01,34,0,39,0,23,0,0,57,70,15,0,22,64,43,0,40,59,23,57,68,53,30,61,61
2012-02-01,29,0,39,0,27,0,0,58,72,24,48,22,85,43,49,40,57,24,63,58,50,27,46,67
2012-03-01,33,0,36,65,30,0,0,61,66,26,34,22,71,48,0,30,56,25,56,65,96,21,53,64
2012-04-01,30,0,39,0,27,0,0,58,62,26,0,21,54,43,48,0,62,21,57,69,69,19,62,63
2012-05-01,32,0,40,0,24,0,0,60,60,19,0,22,47,38,0,27,54,23,57,71,49,13,67,63
2012-06-01,35,0,38,0,15,0,0,48,55,20,0,25,34,36,0,28,59,22,52,76,48,14,66,65
2012-07-01,38,0,38,0,14,0,0,54,63,25,30,26,0,36,0,25,59,22,54,78,52,19,46,67
2012-08-01,34,0,38,0,14,0,0,54,55,21,0,28,41,38,0,23,60,20,52,72,67,14,45,65
2012-09-01,34,0,38,0,21,0,0,63,58,17,0,25,53,38,0,0,61,24,60,61,62,18,44,66
2012-10-01,33,0,37,0,21,0,0,58,60,26,0,29,62,40,0,0,61,21,61,54,65,19,43,69
2012-11-01,34,0,46,47,29,0,0,65,63,24,28,25,88,47,0,20,59,19,60,47,61,15,83,69
2012-12-01,36,0,45,0,21,0,0,53,51,20,32,27,48,49,0,24,56,17,50,43,49,31,51,70
2013-01-01,37,0,39,0,19,0,0,53,69,23,21,29,60,33,0,35,64,22,60,63,63,19,49,61
2013-02-01,36,0,40,0,24,0,0,60,65,28,40,27,54,36,51,36,55,24,61,58,50,25,52,67
2013-03-01,36,0,39,0,27,0,0,64,61,23,0,26,67,36,34,27,60,22,57,62,65,14,45,62
2013-04-01,36,0,40,0,27,0,0,55,66,30,0,31,56,35,51,19,62,22,63,67,75,17,50,65
2013-05-01,36,0,40,0,25,0,0,61,59,27,0,29,58,35,39,33,59,23,61,70,58,20,49,62
2013-06-01,38,0,38,48,14,0,0,51,56,27,24,31,33,32,0,0,60,23,57,78,56,13,54,65
2013-07-01,36,0,37,0,10,0,0,47,54,29,0,37,34,34,0,28,61,21,53,74,61,14,37,61
2013-08-01,38,0,38,0,14,0,0,54,52,25,0,36,0,33,44,45,63,20,54,70,72,13,44,69
2013-09-01,37,0,40,0,20,0,0,55,61,21,0,30,47,35,0,31,64,24,73,61,54,19,53,61
2013-10-01,40,0,39,0,19,0,0,61,66,35,27,28,62,45,0,51,76,23,68,57,66,19,88,69
2013-11-01,41,0,54,56,27,0,0,71,69,31,37,26,100,57,0,29,78,22,64,50,76,22,60,68
2013-12-01,38,0,52,0,20,0,0,57,54,30,26,30,68,52,52,28,73,18,57,42,59,21,56,69
2014-01-01,41,0,47,55,26,0,0,64,76,27,22,32,69,34,59,46,75,23,66,66,46,22,45,63
2014-02-01,38,0,41,0,24,0,0,53,62,28,0,28,55,35,28,0,69,21,64,56,70,29,45,65
2014-03-01,39,0,43,0,28,0,0,66,63,26,24,33,79,39,37,37,73,23,66,59,100,21,58,61
2014-04-01,38,0,37,36,25,0,0,60,57,33,17,30,59,35,50,18,68,24,66,65,42,13,66,56
2014-05-01,40,0,36,0,23,0,0,63,53,30,0,32,65,36,0,38,65,24,59,67,70,17,55,53
2014-06-01,39,0,35,0,16,0,0,43,52,26,0,30,53,32,0,28,62,22,55,67,44,14,97,54
2014-07-01,39,0,34,0,14,0,0,47,54,30,0,38,39,33,41,18,62,23,53,69,37,15,73,57
2014-08-01,38,0,36,0,17,0,0,49,50,24,0,38,29,33,44,27,62,21,55,73,46,19,59,61
2014-09-01,39,0,40,0,19,0,0,51,56,25,0,29,57,36,35,28,70,26,65,54,49,21,59,56
2014-10-01,41,0,41,44,18,0,0,60,61,28,34,29,93,43,39,30,74,26,65,51,67,22,70,57
2014-11-01,42,0,54,48,28,0,0,60,61,29,22,27,75,60,40,23,72,26,62,44,57,21,71,57
2014-12-01,47,0,58,62,23,0,100,65,51,27,0,29,66,47,0,17,68,18,58,40,38,17,88,60
2015-01-01,46,0,44,43,24,0,0,61,64,30,25,34,52,32,24,40,68,26,68,53,61,22,95,57
2015-02-01,45,0,45,44,26,68,0,60,64,29,26,29,79,37,40,26,70,26,66,56,54,22,53,65
2015-03-01,43,0,43,56,34,0,0,64,69,32,31,31,97,40,45,37,69,27,67,65,61,19,61,61
2015-04-01,54,0,42,49,28,0,0,71,72,33,26,32,67,42,38,36,78,30,69,63,83,21,63,59
2015-05-01,56,0,39,53,27,0,0,61,62,32,35,33,61,40,54,26,70,29,68,65,75,20,54,64
2015-06-01,49,0,43,46,22,0,0,55,63,31,19,37,53,37,61,39,75,31,68,76,61,23,43,66
2015-07-01,50,0,47,0,16,0,0,53,56,31,23,43,0,41,63,45,75,38,67,84,60,26,42,72
2015-08-01,53,0,51,0,15,78,0,54,55,29,22,39,0,43,55,35,77,26,62,75,44,18,50,74
2015-09-01,46,0,47,64,22,0,0,54,63,30,27,32,49,41,46,34,82,34,81,62,60,25,65,68
2015-10-01,50,0,49,65,27,0,0,71,66,36,23,33,46,48,61,21,85,47,81,60,63,31,58,72
2015-11-01,48,0,64,62,30,0,0,75,67,31,42,40,68,66,39,31,83,36,81,52,57,22,54,69
2015-12-01,52,0,64,40,25,0,0,63,56,30,47,37,58,59,40,20,75,33,66,46,48,23,52,74
2016-01-01,55,0,51,70,26,0,0,62,72,30,31,36,58,39,32,41,73,52,77,70,50,29,46,75
2016-02-01,53,0,55,44,28,0,0,60,74,31,39,37,73,39,93,37,79,42,75,58,50,31,55,82
2016-03-01,51,0,60,50,29,0,0,70,70,41,37,36,82,41,42,31,78,44,80,60,62,21,49,79
2016-04-01,52,0,66,48,37,0,0,76,78,39,42,32,64,44,68,47,85,43,79,67,56,25,49,75
2016-05-01,53,0,56,57,27,65,0,65,68,41,30,36,55,42,29,25,78,41,79,77,72,23,52,75
2016-06-01,53,0,62,42,18,0,0,56,60,31,24,42,35,35,87,37,72,43,68,76,58,21,100,74
2016-07-01,56,0,76,0,13,0,0,41,57,41,24,48,28,41,86,25,71,35,58,82,60,18,56,79
2016-08-01,54,0,81,55,18,0,0,52,59,44,0,42,33,40,79,42,72,34,61,82,78,15,46,78
