date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2012-01-01,47,0,41,0,25,0,0,61,15,36,36,34,47,54,0,33,40,25,69,6,0,23,73,14,0,16,0,10,0,24,0,0,0,0,0,0,0,54,0
2012-02-01,44,0,40,0,21,100,0,53,14,33,20,32,27,53,0,32,38,28,78,5,0,0,44,13,0,15,0,10,0,17,0,0,60,0,0,0,0,0,0
2012-03-01,46,0,43,0,33,0,0,63,19,41,42,34,51,69,0,27,38,34,82,5,0,0,57,15,0,15,0,11,0,0,0,0,72,7,0,0,0,30,0
2012-04-01,60,0,60,0,40,0,0,78,24,59,40,44,97,95,0,0,67,39,91,8,39,0,80,23,0,19,0,12,0,19,0,0,0,0,0,0,0,57,0
2012-05-01,62,0,66,0,33,0,0,81,26,76,60,42,90,87,0,42,59,38,88,9,30,0,66,20,0,18,0,17,0,28,0,0,83,0,0,0,0,56,100
2012-06-01,62,0,63,0,40,0,0,80,24,61,60,44,87,88,0,0,58,44,88,9,20,0,69,21,0,18,14,16,0,16,0,0,0,11,0,0,0,80,0
2012-07-01,66,0,68,0,34,0,0,63,23,54,40,47,66,85,0,41,54,37,81,8,0,20,61,22,0,19,11,15,0,22,0,0,90,9,0,0,0,76,0
2012-08-01,62,0,66,0,33,0,0,73,21,46,44,46,55,82,0,29,62,39,81,8,0,17,58,21,0,17,0,13,0,22,0,0,84,0,0,0,0,73,0
2012-09-01,59,0,61,0,30,0,0,75,22,46,33,47,39,89,0,34,57,40,85,7,21,22,68,24,0,19,0,12,0,25,0,0,90,0,0,0,0,58,0
2012-10-01,57,0,57,0,35,0,0,90,22,80,50,48,84,72,0,24,51,46,79,7,30,22,69,21,0,17,0,12,0,17,0,0,0,0,0,0,0,67,0
2012-11-01,57,0,67,0,42,0,0,80,23,67,28,48,67,70,0,34,53,40,94,7,21,19,78,20,0,17,0,13,0,22,0,0,0,0,0,0,0,84,0
2012-12-01,53,0,59,0,31,0,0,61,19,50,26,48,39,63,0,26,52,31,70,6,0,0,66,19,0,15,0,10,0,11,0,0,0,0,0,0,0,60,0
2013-01-01,55,0,58,81,37,0,0,70,20,66,22,48,48,59,0,38,56,41,84,6,16,0,62,19,0,17,0,12,0,20,0,0,80,0,0,0,0,41,0
2013-02-01,50,0,55,0,30,0,0,56,18,47,48,46,64,57,0,33,51,41,76,6,25,0,74,17,0,17,0,10,0,26,0,0,0,0,0,0,0,43,0
2013-03-01,55,0,56,100,33,0,0,64,23,71,42,63,66,61,0,42,56,47,87,7,21,21,74,21,0,19,0,11,0,24,0,0,80,11,0,0,0,51,0
2013-04-01,61,0,58,0,39,0,0,99,23,58,38,100,83,63,0,25,59,44,86,8,28,0,66,21,0,21,9,13,0,19,0,0,0,0,0,0,0,45,0
2013-05-01,55,0,58,0,37,0,0,85,23,71,63,59,65,64,0,39,52,57,84,8,17,0,65,23,0,21,0,12,0,28,0,0,57,9,0,0,0,61,0
2013-06-01,62,0,62,0,43,0,0,82,22,88,44,50,88,60,0,23,54,45,83,9,18,18,60,24,0,21,8,12,0,22,0,0,0,0,0,0,0,63,0
2013-07-01,54,0,69,0,31,0,0,64,20,68,46,51,60,57,0,28,50,49,88,8,0,0,64,22,0,21,0,12,0,20,0,0,70,0,0,0,0,85,0
2013-08-01,58,0,71,0,26,0,0,49,21,58,39,56,39,55,0,0,60,33,75,8,17,0,64,24,0,21,0,11,0,23,0,0,0,8,0,0,0,63,0
2013-09-01,61,0,56,0,34,0,0,72,22,71,41,54,53,57,0,31,57,39,76,8,15,0,69,23,0,19,0,11,0,27,0,0,71,8,0,0,0,70,0
2013-10-01,60,0,61,0,39,0,0,72,24,65,31,51,100,61,0,33,69,50,90,7,15,13,76,21,0,20,0,12,0,19,0,0,57,0,0,0,0,55,0
2013-11-01,55,0,70,0,38,0,0,82,22,66,44,52,65,62,0,35,69,49,86,6,21,17,72,20,0,21,0,12,0,23,0,0,0,0,0,0,0,53,0
2013-12-01,60,0,61,75,37,0,0,69,19,53,26,51,57,55,0,39,65,48,86,7,17,17,77,22,0,18,0,11,0,19,0,0,61,0,0,0,0,66,0
2014-01-01,61,0,63,0,29,0,0,66,20,47,43,47,43,51,0,33,68,46,83,7,0,16,75,20,0,19,8,11,0,26,0,0,51,0,0,0,0,54,0
2014-02-01,57,0,66,98,26,0,0,58,21,53,29,47,45,54,0,22,72,53,93,7,25,16,65,21,0,20,0,11,0,21,0,0,0,10,0,0,0,50,0
2014-03-01,62,0,71,0,52,0,0,83,23,58,41,62,50,61,0,37,79,48,92,7,23,15,78,22,0,22,7,12,0,26,0,0,57,0,0,0,0,61,0
2014-04-01,65,0,74,80,53,0,0,88,24,59,65,63,63,63,0,24,78,49,100,8,16,14,85,24,0,22,8,13,0,17,0,0,46,0,55,0,0,73,0
2014-05-01,62,0,73,0,45,0,0,85,22,76,57,54,71,55,0,32,78,51,83,8,15,12,68,26,0,19,0,12,0,19,0,0,0,0,0,95,0,70,0
2014-06-01,74,0,65,0,46,0,0,73,22,61,47,46,51,61,0,0,74,57,92,10,23,21,100,26,0,20,7,12,0,18,0,0,77,9,0,0,0,87,0
2014-07-01,82,0,68,0,38,0,0,63,24,55,44,48,56,57,0,28,72,60,83,9,20,22,77,24,0,21,7,12,0,19,0,0,54,0,0,0,0,68,0
2014-08-01,73,0,63,0,29,0,0,61,20,59,34,50,54,57,0,0,75,49,76,8,15,0,56,26,0,20,0,11,0,24,0,0,61,0,0,0,0,74,0
2014-09-01,72,0,71,0,36,0,0,63,22,62,32,50,49,59,0,29,79,59,87,8,22,0,55,26,0,21,7,12,0,19,0,0,0,9,0,0,0,63,0
2014-10-01,82,0,75,0,45,0,0,88,25,54,49,46,92,68,0,32,86,54,90,7,28,13,66,26,0,21,0,12,0,18,0,0,0,9,56,0,0,87,0
2014-11-01,96,0,80,0,48,0,0,82,26,74,28,45,67,62,0,38,83,54,87,7,13,15,62,24,0,19,0,13,0,21,0,0,79,0,0,0,0,54,0
2014-12-01,100,0,76,67,47,0,0,77,21,52,50,48,45,55,0,0,78,61,85,7,0,18,54,25,0,17,0,11,0,26,0,0,0,0,0,0,0,64,0
2015-01-01,83,0,69,0,41,0,0,56,20,45,33,46,47,52,0,17,76,50,85,8,15,13,61,20,9,19,6,11,0,20,0,0,69,8,0,0,0,45,0
2015-02-01,68,0,67,0,42,0,0,41,19,49,26,44,52,52,0,29,79,63,78,8,0,19,53,23,0,19,0,10,0,21,0,0,0,0,0,0,0,83,0
2015-03-01,70,0,68,0,56,0,0,80,25,63,43,49,53,65,0,29,88,64,97,9,0,21,58,26,0,21,0,12,0,27,0,0,76,13,48,0,0,74,0
2015-04-01,94,0,77,66,40,0,0,80,25,78,45,42,86,63,0,23,84,80,96,9,22,16,72,27,10,21,0,12,0,21,0,0,0,6,46,0,0,56,0
2015-05-01,94,0,70,74,43,0,0,62,24,59,48,43,78,60,0,21,85,68,81,9,14,0,57,27,0,20,0,12,0,20,0,0,0,0,51,0,0,75,0
2015-06-01,73,0,70,68,36,0,0,74,26,66,57,50,60,59,0,34,79,66,93,10,16,18,51,24,9,18,7,12,0,27,0,0,0,10,0,0,0,49,0
2015-07-01,76,0,71,0,29,0,0,51,22,42,41,42,52,54,0,15,77,62,84,9,15,13,45,22,0,19,7,11,0,21,0,0,71,10,0,0,0,63,0
2015-08-01,76,0,67,0,31,0,0,52,20,53,37,51,57,48,0,20,78,58,74,8,15,0,47,23,0,17,0,10,0,17,0,0,69,0,0,0,0,74,0
2015-09-01,76,0,77,0,42,0,0,59,21,58,40,43,36,59,0,30,92,67,81,9,16,18,60,25,0,19,0,11,0,18,0,0,64,7,0,0,0,47,0
2015-10-01,74,0,75,0,41,0,0,73,21,65,46,43,71,60,0,24,76,64,83,8,18,19,64,25,14,20,0,12,0,18,0,0,58,0,55,0,0,69,0
2015-11-01,67,0,73,0,36,0,0,81,22,77,45,44,77,59,0,41,79,64,79,7,16,14,55,25,0,21,0,12,0,19,0,0,49,7,59,0,0,52,0
2015-12-01,71,0,84,0,38,0,0,71,20,60,46,37,53,56,0,27,76,60,81,8,0,17,59,25,0,20,0,10,0,19,0,0,39,6,55,0,0,61,0
2016-01-01,69,0,77,0,33,0,0,54,21,56,41,44,48,55,0,31,67,55,81,8,0,0,48,22,0,19,0,11,0,17,0,0,0,0,0,0,0,38,0
2016-02-01,64,0,75,74,37,0,0,57,20,51,39,38,45,55,0,30,68,47,78,7,12,20,49,23,11,17,0,11,0,18,0,0,64,0,0,0,0,45,0
