date,Age,Cosmetics,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,loan interest,market prices,national economy,train schedule
2012-01-01,36,37,11,0,43,15,0,0,23,89,55,0,0,48,15,59,7,0,0,47,7,0,24,0,13,0,0,0,0,0,0,0
2012-02-01,36,43,0,0,45,14,0,0,22,100,54,0,0,48,0,53,6,0,0,45,9,0,25,0,10,0,0,0,0,0,0,0
2012-03-01,32,36,20,0,56,16,0,0,21,0,58,0,0,43,27,52,4,0,0,38,10,0,24,0,12,0,0,0,0,0,0,0
2012-04-01,34,37,18,0,45,15,0,0,19,0,52,0,0,53,20,50,7,0,0,52,7,0,22,0,12,0,0,0,0,0,0,0
2012-05-01,32,34,28,0,72,16,0,0,20,0,47,0,0,46,17,47,6,0,0,47,8,0,21,0,10,0,0,0,0,0,0,0
2012-06-01,36,48,0,0,0,12,0,100,19,0,44,0,0,48,14,53,6,0,0,80,9,0,20,0,10,0,0,0,0,0,0,0
2012-07-01,43,34,0,0,72,12,0,0,23,0,44,0,0,54,16,47,6,0,0,43,10,0,24,0,10,0,0,0,0,0,0,0
2012-08-01,42,42,0,0,59,13,0,0,25,0,46,0,0,49,19,43,6,0,0,43,9,0,26,0,9,0,0,0,0,0,0,0
2012-09-01,37,40,0,0,0,14,21,0,24,0,46,0,0,50,19,58,6,0,0,40,8,0,24,0,10,0,0,0,0,0,0,0
2012-10-01,30,36,0,0,44,13,0,0,22,0,42,0,0,43,17,54,5,0,0,39,7,0,22,0,9,0,0,0,0,0,0,0
2012-11-01,30,43,25,0,43,13,18,0,20,0,41,0,0,44,29,57,4,0,0,44,9,0,22,0,8,0,0,0,0,0,0,0
2012-12-01,31,35,18,0,66,12,0,0,19,0,37,0,0,43,15,46,3,0,0,47,9,0,21,0,8,0,0,0,0,0,0,0
2013-01-01,34,31,13,0,65,14,0,0,20,0,37,0,0,42,19,53,5,0,0,38,9,0,22,0,9,0,0,0,0,0,0,0
2013-02-01,29,34,0,0,66,16,0,0,18,0,37,0,0,38,21,50,5,0,0,33,8,0,23,0,8,0,0,0,0,0,0,0
2013-03-01,31,38,11,0,57,13,0,0,21,0,37,0,0,46,27,44,6,0,0,29,9,0,24,0,8,0,0,0,0,0,0,0
2013-04-01,34,34,19,0,53,16,25,0,22,0,38,0,0,42,19,48,8,0,0,34,8,0,22,0,10,0,0,0,0,93,0,0
2013-05-01,28,36,17,0,52,15,19,0,23,0,37,0,0,42,26,47,6,0,0,49,9,0,20,0,9,0,0,0,0,0,0,0
2013-06-01,32,32,0,0,0,13,47,0,25,0,37,0,0,39,21,49,6,0,0,40,9,0,22,0,9,0,0,0,0,0,0,0
2013-07-01,33,33,0,0,0,12,32,0,30,0,36,0,0,41,12,59,7,0,0,42,10,0,23,0,10,0,0,0,0,0,0,0
2013-08-01,33,42,0,0,40,13,25,0,28,0,39,0,0,47,16,60,8,0,0,36,9,0,24,0,9,0,0,0,0,0,0,0
2013-09-01,28,39,18,0,0,15,28,0,24,0,39,0,0,47,20,61,7,0,0,30,8,0,22,0,8,0,0,0,0,0,0,0
2013-10-01,27,47,17,0,64,14,0,0,22,80,44,0,0,50,14,62,6,0,0,41,8,0,24,0,10,0,0,0,0,0,0,0
2013-11-01,27,49,22,0,60,17,20,0,25,0,50,0,0,59,21,59,5,0,0,33,10,0,23,0,9,0,0,0,0,0,0,0
2013-12-01,35,42,26,0,45,15,17,0,26,0,46,0,0,58,30,58,4,0,0,35,9,0,22,0,8,0,0,0,0,0,0,0
2014-01-01,34,50,16,0,81,16,0,0,24,0,44,0,0,53,27,63,7,0,0,34,9,17,28,0,9,0,0,0,0,0,0,0
