date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2012-01-01,54,0,55,0,12,0,0,56,40,7,0,21,0,87,35,0,83,38,67,18,0,0,84,21,0,33,0,44,0,24,0,71,0,0,0,0,0,45,0
2012-02-01,50,0,57,0,8,0,0,43,36,8,0,22,100,96,0,0,77,36,63,19,0,0,74,22,0,34,0,44,0,28,0,55,0,0,0,0,0,0,0
2012-03-01,46,0,53,0,10,0,0,53,50,6,0,23,74,100,0,0,66,37,68,21,0,0,87,23,0,36,0,46,0,19,0,54,0,0,0,0,0,33,0
2012-04-01,48,0,57,0,10,0,0,63,48,9,0,21,70,80,0,0,91,37,62,21,0,0,91,23,0,36,0,53,0,14,0,67,0,0,0,0,0,50,0
2012-05-01,41,0,50,0,12,0,0,54,47,6,41,22,0,78,0,0,95,33,56,22,0,0,88,23,0,34,0,43,0,18,0,54,0,0,0,0,0,63,0
2012-06-01,47,0,51,0,14,0,0,46,47,10,35,24,55,74,0,61,86,30,58,21,0,0,96,24,0,35,0,46,0,25,0,37,0,0,0,0,0,100,0
2012-07-01,56,0,56,0,11,0,0,38,52,9,0,23,0,69,0,0,88,37,63,27,0,0,75,27,0,41,0,47,0,22,0,95,0,0,0,0,0,79,0
2012-08-01,50,0,55,0,12,0,0,48,46,9,0,20,0,68,0,0,72,37,58,27,0,0,82,26,0,41,0,48,0,25,0,53,0,0,0,0,0,78,0
2012-09-01,43,0,51,0,12,0,0,47,50,8,0,20,0,62,0,0,76,36,67,21,0,0,78,25,15,45,0,48,0,23,0,65,0,0,0,0,0,57,0
2012-10-01,41,0,52,0,10,0,0,58,42,6,0,23,54,62,39,0,69,36,65,18,0,0,78,24,0,40,0,43,0,17,0,50,0,0,0,0,0,65,0
2012-11-01,38,0,53,0,12,0,0,51,37,7,33,22,57,62,0,0,70,43,66,17,0,0,100,24,13,38,0,50,0,20,0,0,0,0,0,0,0,0,0
2012-12-01,44,0,52,0,11,0,0,44,34,9,33,21,39,67,0,0,79,34,51,16,55,0,81,22,0,36,0,49,0,24,0,31,0,0,0,0,0,34,72
2013-01-01,41,0,56,0,10,0,0,55,36,11,35,20,50,59,31,48,69,44,71,19,46,0,65,24,0,41,0,47,0,24,0,46,100,0,0,0,0,0,0
2013-02-01,42,0,58,0,12,0,0,49,34,8,34,21,77,60,0,0,68,42,70,20,0,0,69,26,0,40,0,49,0,21,0,50,0,0,36,0,0,37,0
2013-03-01,42,0,52,0,11,0,0,40,35,9,0,21,46,57,0,45,62,37,66,22,56,41,61,23,0,38,0,42,0,20,0,65,0,0,0,0,0,27,0
