date,Age,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2012-01-01,36,16,0,20,0,0,68,54,12,44,50,79,86,0,69,30,32,75,42,0,58,74,35,37,88,58,53,0,27,0,0,0,0,0,0,0,56,0
2012-02-01,33,14,0,24,0,0,63,53,11,42,50,64,85,0,0,29,32,75,41,0,0,62,35,32,83,44,53,0,31,0,0,0,0,67,0,0,40,0
2012-03-01,32,14,0,26,0,56,56,61,12,51,46,100,100,0,0,30,43,69,38,0,0,70,35,30,83,0,47,69,28,0,0,0,0,0,0,0,51,0
2012-04-01,42,14,0,22,0,0,58,53,12,38,46,77,73,0,0,37,36,67,41,0,0,72,34,28,78,0,49,0,18,0,0,0,0,0,0,0,56,0
2012-05-01,30,17,0,26,0,0,60,57,11,45,49,84,59,0,0,30,39,64,52,50,0,70,36,28,78,0,48,0,32,0,0,0,0,0,0,0,60,0
2012-06-01,41,16,0,17,0,69,56,50,9,40,50,0,54,0,0,29,36,60,61,0,0,88,39,28,75,0,47,0,34,0,0,0,0,0,0,0,71,0
2012-07-01,46,17,0,13,0,0,56,45,12,0,56,0,49,0,0,31,33,58,63,50,0,66,43,43,82,0,46,0,24,0,0,0,0,75,0,0,49,0
2012-08-01,37,15,0,12,0,0,55,50,15,0,59,59,48,0,0,30,31,68,56,0,44,69,39,41,87,0,50,0,40,0,0,0,0,0,0,0,69,0
2012-09-01,35,13,0,20,0,87,65,58,12,33,57,69,50,0,0,32,29,67,41,53,44,66,39,35,82,49,51,0,37,0,0,0,0,0,0,0,55,0
2012-10-01,34,14,0,20,0,0,61,54,12,0,57,45,51,0,62,30,43,69,37,40,50,67,42,33,82,0,50,0,29,0,0,0,0,0,0,0,43,0
2012-11-01,35,14,0,21,0,58,65,52,14,41,56,64,46,0,0,32,33,63,35,0,63,100,39,41,83,0,59,0,31,0,0,0,0,0,0,0,61,0
