date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate
2012-01-01,64,0,47,0,26,0
2012-02-01,61,0,58,0,0,0
2012-03-01,57,0,44,0,23,0
2012-04-01,58,0,51,0,14,0
2012-05-01,50,0,49,0,14,0
2012-06-01,59,0,43,0,22,0
2012-07-01,75,0,54,0,0,0
2012-08-01,63,0,53,0,15,0
2012-09-01,59,0,61,0,15,0
2012-10-01,53,0,46,0,19,0
2012-11-01,53,0,48,0,17,0
2012-12-01,59,0,42,0,15,0
2013-01-01,54,0,50,0,17,0
2013-02-01,50,0,51,0,20,0
2013-03-01,51,0,44,0,31,0
2013-04-01,56,0,47,0,18,0
2013-05-01,44,0,46,0,25,0
2013-06-01,52,0,39,0,17,0
2013-07-01,53,0,33,0,17,0
2013-08-01,53,0,52,0,15,0
2013-09-01,42,0,57,0,17,0
2013-10-01,43,0,57,0,20,0
2013-11-01,44,0,50,0,23,0
2013-12-01,52,0,55,0,17,0
2014-01-01,50,0,54,0,21,0
2014-02-01,42,0,48,0,20,0
2014-03-01,45,0,51,0,22,0
2014-04-01,45,0,48,0,22,0
2014-05-01,49,0,45,0,20,0
2014-06-01,47,0,39,0,15,0
2014-07-01,53,0,48,0,14,0
2014-08-01,53,0,52,0,17,0
2014-09-01,46,0,58,0,0,0
2014-10-01,55,0,58,0,16,0
2014-11-01,70,0,61,0,22,0
2014-12-01,96,0,55,0,20,0
2015-01-01,68,0,61,0,29,0
2015-02-01,56,0,63,0,23,0
2015-03-01,48,0,59,0,25,100
2015-04-01,56,0,58,0,18,0
2015-05-01,67,0,54,0,21,0
2015-06-01,54,0,56,0,22,0
2015-07-01,56,0,66,0,0,0
2015-08-01,52,0,66,0,14,0
2015-09-01,50,0,65,0,23,0
2015-10-01,48,0,66,0,16,0
2015-11-01,48,0,81,0,13,0
2015-12-01,51,0,71,0,15,0
2016-01-01,51,0,76,0,19,0
2016-02-01,46,0,82,0,18,0
2016-03-01,43,0,69,0,21,0
2016-04-01,45,100,76,0,26,0
2016-05-01,41,83,65,0,23,0
2016-06-01,44,0,64,0,21,0
2016-07-01,48,0,72,0,14,0
2016-08-01,49,0,93,0,14,0
2016-09-01,43,0,81,0,14,0
2016-10-01,41,0,97,0,27,0
2016-11-01,43,0,81,0,17,0
2016-12-01,48,0,84,0,16,0
2017-01-01,46,0,87,0,20,0
2017-02-01,45,0,82,0,11,0
2017-03-01,44,0,65,0,29,0
2017-04-01,43,0,82,0,24,0
2017-05-01,41,0,61,0,21,0
2017-06-01,39,0,66,0,14,0
2017-07-01,44,0,68,0,17,0
