,artificial intelligence,term,fetch_date
0,32,artificial intelligence,2025-10-30
1,32,artificial intelligence,2025-10-30
2,35,artificial intelligence,2025-10-30
3,37,artificial intelligence,2025-10-30
4,37,artificial intelligence,2025-10-30
5,43,artificial intelligence,2025-10-30
6,39,artificial intelligence,2025-10-30
7,35,artificial intelligence,2025-10-30
8,33,artificial intelligence,2025-10-30
9,33,artificial intelligence,2025-10-30
10,39,artificial intelligence,2025-10-30
11,38,artificial intelligence,2025-10-30
12,39,artificial intelligence,2025-10-30
13,38,artificial intelligence,2025-10-30
14,36,artificial intelligence,2025-10-30
15,39,artificial intelligence,2025-10-30
16,38,artificial intelligence,2025-10-30
17,38,artificial intelligence,2025-10-30
18,36,artificial intelligence,2025-10-30
19,35,artificial intelligence,2025-10-30
20,38,artificial intelligence,2025-10-30
21,35,artificial intelligence,2025-10-30
22,35,artificial intelligence,2025-10-30
23,35,artificial intelligence,2025-10-30
24,34,artificial intelligence,2025-10-30
25,37,artificial intelligence,2025-10-30
26,35,artificial intelligence,2025-10-30
27,37,artificial intelligence,2025-10-30
28,38,artificial intelligence,2025-10-30
29,35,artificial intelligence,2025-10-30
30,34,artificial intelligence,2025-10-30
31,40,artificial intelligence,2025-10-30
32,45,artificial intelligence,2025-10-30
33,47,artificial intelligence,2025-10-30
34,44,artificial intelligence,2025-10-30
35,40,artificial intelligence,2025-10-30
36,43,artificial intelligence,2025-10-30
37,47,artificial intelligence,2025-10-30
38,51,artificial intelligence,2025-10-30
39,60,artificial intelligence,2025-10-30
40,74,artificial intelligence,2025-10-30
41,99,artificial intelligence,2025-10-30
42,100,artificial intelligence,2025-10-30
43,77,artificial intelligence,2025-10-30
44,86,artificial intelligence,2025-10-30
45,82,artificial intelligence,2025-10-30
46,77,artificial intelligence,2025-10-30
47,88,artificial intelligence,2025-10-30
48,96,artificial intelligence,2025-10-30
49,88,artificial intelligence,2025-10-30
50,64,artificial intelligence,2025-10-30
51,32,artificial intelligence,2025-10-30
52,35,artificial intelligence,2025-10-30
