,machine learning,term,fetch_date,climate change,cryptocurrency,remote work,electric vehicles
0,35.0,machine learning,2025-10-31,,,,
1,37.0,machine learning,2025-10-31,,,,
2,39.0,machine learning,2025-10-31,,,,
3,41.0,machine learning,2025-10-31,,,,
4,39.0,machine learning,2025-10-31,,,,
5,38.0,machine learning,2025-10-31,,,,
6,40.0,machine learning,2025-10-31,,,,
7,38.0,machine learning,2025-10-31,,,,
8,31.0,machine learning,2025-10-31,,,,
9,30.0,machine learning,2025-10-31,,,,
10,37.0,machine learning,2025-10-31,,,,
11,35.0,machine learning,2025-10-31,,,,
12,39.0,machine learning,2025-10-31,,,,
13,41.0,machine learning,2025-10-31,,,,
14,40.0,machine learning,2025-10-31,,,,
15,42.0,machine learning,2025-10-31,,,,
16,40.0,machine learning,2025-10-31,,,,
17,39.0,machine learning,2025-10-31,,,,
18,38.0,machine learning,2025-10-31,,,,
19,38.0,machine learning,2025-10-31,,,,
20,40.0,machine learning,2025-10-31,,,,
21,38.0,machine learning,2025-10-31,,,,
22,37.0,machine learning,2025-10-31,,,,
23,39.0,machine learning,2025-10-31,,,,
24,35.0,machine learning,2025-10-31,,,,
25,37.0,machine learning,2025-10-31,,,,
26,38.0,machine learning,2025-10-31,,,,
27,36.0,machine learning,2025-10-31,,,,
28,39.0,machine learning,2025-10-31,,,,
29,39.0,machine learning,2025-10-31,,,,
30,37.0,machine learning,2025-10-31,,,,
31,39.0,machine learning,2025-10-31,,,,
32,47.0,machine learning,2025-10-31,,,,
33,45.0,machine learning,2025-10-31,,,,
34,45.0,machine learning,2025-10-31,,,,
35,44.0,machine learning,2025-10-31,,,,
36,39.0,machine learning,2025-10-31,,,,
37,44.0,machine learning,2025-10-31,,,,
38,48.0,machine learning,2025-10-31,,,,
39,54.0,machine learning,2025-10-31,,,,
40,70.0,machine learning,2025-10-31,,,,
41,100.0,machine learning,2025-10-31,,,,
42,92.0,machine learning,2025-10-31,,,,
43,76.0,machine learning,2025-10-31,,,,
44,82.0,machine learning,2025-10-31,,,,
45,78.0,machine learning,2025-10-31,,,,
46,75.0,machine learning,2025-10-31,,,,
47,81.0,machine learning,2025-10-31,,,,
48,81.0,machine learning,2025-10-31,,,,
49,76.0,machine learning,2025-10-31,,,,
50,65.0,machine learning,2025-10-31,,,,
51,31.0,machine learning,2025-10-31,,,,
52,35.0,machine learning,2025-10-31,,,,
53,,climate change,2025-10-31,55.0,,,
54,,climate change,2025-10-31,67.0,,,
55,,climate change,2025-10-31,64.0,,,
56,,climate change,2025-10-31,64.0,,,
57,,climate change,2025-10-31,50.0,,,
58,,climate change,2025-10-31,59.0,,,
59,,climate change,2025-10-31,57.0,,,
60,,climate change,2025-10-31,41.0,,,
61,,climate change,2025-10-31,23.0,,,
62,,climate change,2025-10-31,25.0,,,
63,,climate change,2025-10-31,54.0,,,
64,,climate change,2025-10-31,57.0,,,
65,,climate change,2025-10-31,62.0,,,
66,,climate change,2025-10-31,53.0,,,
67,,climate change,2025-10-31,59.0,,,
68,,climate change,2025-10-31,52.0,,,
69,,climate change,2025-10-31,50.0,,,
70,,climate change,2025-10-31,53.0,,,
71,,climate change,2025-10-31,53.0,,,
72,,climate change,2025-10-31,53.0,,,
73,,climate change,2025-10-31,52.0,,,
74,,climate change,2025-10-31,54.0,,,
75,,climate change,2025-10-31,63.0,,,
76,,climate change,2025-10-31,53.0,,,
77,,climate change,2025-10-31,45.0,,,
78,,climate change,2025-10-31,56.0,,,
79,,climate change,2025-10-31,61.0,,,
80,,climate change,2025-10-31,55.0,,,
81,,climate change,2025-10-31,57.0,,,
82,,climate change,2025-10-31,55.0,,,
83,,climate change,2025-10-31,52.0,,,
84,,climate change,2025-10-31,43.0,,,
85,,climate change,2025-10-31,45.0,,,
86,,climate change,2025-10-31,41.0,,,
87,,climate change,2025-10-31,42.0,,,
88,,climate change,2025-10-31,41.0,,,
89,,climate change,2025-10-31,42.0,,,
90,,climate change,2025-10-31,41.0,,,
91,,climate change,2025-10-31,43.0,,,
92,,climate change,2025-10-31,54.0,,,
93,,climate change,2025-10-31,62.0,,,
94,,climate change,2025-10-31,87.0,,,
95,,climate change,2025-10-31,79.0,,,
96,,climate change,2025-10-31,64.0,,,
97,,climate change,2025-10-31,72.0,,,
98,,climate change,2025-10-31,100.0,,,
99,,climate change,2025-10-31,80.0,,,
100,,climate change,2025-10-31,74.0,,,
101,,climate change,2025-10-31,78.0,,,
102,,climate change,2025-10-31,70.0,,,
103,,climate change,2025-10-31,67.0,,,
104,,climate change,2025-10-31,44.0,,,
105,,climate change,2025-10-31,61.0,,,
106,,cryptocurrency,2025-10-31,,10.0,,
107,,cryptocurrency,2025-10-31,,14.0,,
108,,cryptocurrency,2025-10-31,,21.0,,
109,,cryptocurrency,2025-10-31,,21.0,,
110,,cryptocurrency,2025-10-31,,20.0,,
111,,cryptocurrency,2025-10-31,,25.0,,
112,,cryptocurrency,2025-10-31,,22.0,,
113,,cryptocurrency,2025-10-31,,18.0,,
114,,cryptocurrency,2025-10-31,,16.0,,
115,,cryptocurrency,2025-10-31,,16.0,,
116,,cryptocurrency,2025-10-31,,15.0,,
117,,cryptocurrency,2025-10-31,,16.0,,
118,,cryptocurrency,2025-10-31,,26.0,,
119,,cryptocurrency,2025-10-31,,18.0,,
120,,cryptocurrency,2025-10-31,,17.0,,
121,,cryptocurrency,2025-10-31,,18.0,,
122,,cryptocurrency,2025-10-31,,24.0,,
123,,cryptocurrency,2025-10-31,,21.0,,
124,,cryptocurrency,2025-10-31,,19.0,,
125,,cryptocurrency,2025-10-31,,18.0,,
126,,cryptocurrency,2025-10-31,,14.0,,
127,,cryptocurrency,2025-10-31,,13.0,,
128,,cryptocurrency,2025-10-31,,12.0,,
129,,cryptocurrency,2025-10-31,,12.0,,
130,,cryptocurrency,2025-10-31,,10.0,,
131,,cryptocurrency,2025-10-31,,12.0,,
132,,cryptocurrency,2025-10-31,,11.0,,
133,,cryptocurrency,2025-10-31,,12.0,,
134,,cryptocurrency,2025-10-31,,13.0,,
