date,Age,Air Conditioner Price
2012-01-01,31,0
2012-02-01,34,0
2012-03-01,31,0
2012-04-01,40,0
2012-05-01,36,0
2012-06-01,37,0
2012-07-01,54,0
2012-08-01,60,0
2012-09-01,49,0
2012-10-01,44,0
2012-11-01,39,0
2012-12-01,40,0
2013-01-01,37,0
2013-02-01,31,0
2013-03-01,34,0
2013-04-01,33,18
2013-05-01,36,0
2013-06-01,35,0
2013-07-01,32,0
2013-08-01,34,0
2013-09-01,35,0
2013-10-01,32,0
2013-11-01,33,0
2013-12-01,37,0
2014-01-01,35,0
2014-02-01,37,0
2014-03-01,35,0
2014-04-01,38,0
2014-05-01,37,0
2014-06-01,37,0
2014-07-01,43,0
2014-08-01,38,0
2014-09-01,38,0
2014-10-01,38,0
2014-11-01,38,0
2014-12-01,41,0
2015-01-01,40,0
2015-02-01,35,0
2015-03-01,37,11
2015-04-01,49,15
2015-05-01,56,0
2015-06-01,49,16
2015-07-01,48,0
2015-08-01,55,12
2015-09-01,46,9
2015-10-01,43,0
2015-11-01,42,0
2015-12-01,45,0
2016-01-01,42,10
2016-02-01,42,0
2016-03-01,41,26
2016-04-01,48,39
2016-05-01,47,12
2016-06-01,51,12
2016-07-01,49,0
2016-08-01,56,8
2016-09-01,50,0
2016-10-01,51,0
2016-11-01,53,8
2016-12-01,49,0
2017-01-01,47,0
2017-02-01,48,0
2017-03-01,47,17
2017-04-01,55,46
2017-05-01,50,24
2017-06-01,50,13
2017-07-01,48,10
2017-08-01,50,9
2017-09-01,55,12
2017-10-01,53,0
2017-11-01,50,13
2017-12-01,52,9
2018-01-01,55,10
2018-02-01,54,12
2018-03-01,56,29
2018-04-01,58,31
2018-05-01,62,21
2018-06-01,59,0
2018-07-01,62,20
2018-08-01,63,11
2018-09-01,55,23
2018-10-01,55,16
2018-11-01,55,13
2018-12-01,60,10
2019-01-01,64,12
2019-02-01,56,21
2019-03-01,62,43
2019-04-01,64,43
2019-05-01,70,44
2019-06-01,63,24
2019-07-01,61,27
2019-08-01,72,22
2019-09-01,71,16
2019-10-01,62,7
2019-11-01,66,16
2019-12-01,58,14
2020-01-01,59,24
2020-02-01,59,44
2020-03-01,71,40
2020-04-01,97,24
2020-05-01,100,48
2020-06-01,82,28
2020-07-01,74,21
2020-08-01,73,26
2020-09-01,63,20
2020-10-01,83,19
2020-11-01,87,14
2020-12-01,72,19
2021-01-01,71,19
2021-02-01,65,28
2021-03-01,60,40
2021-04-01,63,58
2021-05-01,85,29
2021-06-01,80,24
2021-07-01,74,30
2021-08-01,77,26
2021-09-01,80,28
2021-10-01,70,20
2021-11-01,65,12
2021-12-01,65,20
2022-01-01,74,21
2022-02-01,77,28
2022-03-01,69,46
2022-04-01,75,37
2022-05-01,72,37
2022-06-01,74,22
2022-07-01,76,14
2022-08-01,67,24
2022-09-01,73,20
2022-10-01,71,10
2022-11-01,63,10
2022-12-01,74,16
2023-01-01,64,14
2023-02-01,67,24
2023-03-01,62,27
2023-04-01,68,58
2023-05-01,67,45
2023-06-01,62,45
2023-07-01,62,31
2023-08-01,65,51
2023-09-01,62,20
2023-10-01,67,18
2023-11-01,66,30
2023-12-01,68,26
2024-01-01,69,28
2024-02-01,65,64
2024-03-01,66,74
2024-04-01,67,100
2024-05-01,65,67
2024-06-01,61,30
2024-07-01,74,36
2024-08-01,65,29
2024-09-01,76,24
2024-10-01,64,29
2024-11-01,72,26
2024-12-01,63,27
2025-01-01,64,21
2025-02-01,60,50
2025-03-01,63,53
2025-04-01,64,71
2025-05-01,71,63
2025-06-01,67,41
2025-07-01,67,50
2025-08-01,64,38
2025-09-01,63,37
2025-10-01,69,27
