date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht,/m/02v_8dy,/m/09jx2,/m/04n7dpf,/m/0g_fl,/m/01rd35,/m/016ldw,/g/11cks2gbc8,/m/0cvgr,/m/06bmj_x,/m/06lry,/m/0hbm6,/m/0drqp,/m/014dsx,/m/07s_c,/g/11bc57hf91,/m/01tzw5,/m/018m33,/g/121g16mn,/g/1216wtvp,/m/088p1q,/g/1236svz8,/m/0pb8nv_,/m/02r5p3,/m/05457c,/m/0218w7,/g/11w4h00ll9,/m/06bmj_y,/m/026gdg4,/m/09y23_,/m/01s_5,/m/01cf44,/m/0545k,/m/01cf0p,/m/0cs24,/m/0z_xz,/m/0d130,/m/0hdyy,/m/011d_9rh,/m/04sng5,/m/0hhw8xd,/m/05nxj0,/m/0c40cq0,/m/06njd,/m/081zw_,/m/02vtq7g,/m/091tvr,/m/02r49f,/m/01406c,/m/04f0h,/m/020d7_,/g/1213tqm6,/m/0h7q5bz,/m/025t20m,/m/042px7,/m/017l39,/g/11cp7w3r6w,/g/11fsrblbyd,/m/03nw7w,/g/11lc9ltvgb,/g/11s7rb01fr,/g/120lq987,/m/079gm,/g/1q582vwlz
2012-01-01,54,0,77,53,46,0,15,26,68,55,0,0,0,59,28,64,99,57,22,0,0,55,0,0,22,0,0,0,0,0,0,59,0,0,12,0,54,0,0,69,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
2012-02-01,92,0,88,63,52,0,24,33,60,50,0,0,0,100,25,52,100,56,31,0,0,74,0,0,24,0,0,0,0,0,0,100,0,0,16,0,0,0,0,83,0,0,100,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
2012-03-01,100,0,69,52,45,0,24,34,51,57,0,0,0,0,20,66,92,56,26,0,0,87,0,0,27,0,0,0,0,0,0,0,0,0,10,0,48,0,0,75,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,100,0,0,0,0
2012-04-01,91,0,76,51,42,0,18,47,58,55,0,0,0,52,26,78,65,56,24,0,100,76,0,0,23,0,0,0,0,0,0,52,0,0,12,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0
2012-05-01,91,0,77,61,44,0,22,41,58,56,0,0,0,36,28,72,68,58,30,0,0,72,0,0,26,0,0,0,0,0,0,36,0,0,11,0,0,0,0,0,0,0,51,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
2012-06-01,88,0,64,54,50,0,15,36,59,38,0,0,0,0,37,72,60,54,16,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,47,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,68,0,0,0,0,0
2012-07-01,68,0,65,51,53,0,20,39,54,44,0,0,0,0,47,63,56,51,22,0,0,69,0,0,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0
2012-08-01,55,0,62,45,51,0,14,33,59,41,0,0,0,0,26,81,51,61,18,0,0,61,0,0,19,0,0,0,0,100,0,0,0,0,8,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,44,0
2012-09-01,58,0,55,43,53,0,13,36,54,0,0,0,0,0,36,74,81,58,21,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0
2012-10-01,53,0,52,44,62,0,15,36,53,0,0,0,0,0,25,55,61,58,21,0,0,62,0,100,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0
