date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht,/m/02v_8dy,/m/09jx2,/m/04n7dpf,/m/0g_fl,/m/01rd35,/m/016ldw,/g/11cks2gbc8,/m/0cvgr,/m/06bmj_x,/m/06lry,/m/0hbm6,/m/0drqp,/m/014dsx,/m/07s_c,/g/11bc57hf91,/m/01tzw5,/m/018m33,/g/121g16mn,/g/1216wtvp,/m/088p1q,/g/1236svz8,/m/0pb8nv_,/m/02r5p3,/m/05457c,/m/0218w7,/g/11w4h00ll9,/m/06bmj_y,/m/026gdg4,/m/09y23_,/m/01s_5,/m/01cf44,/m/0545k,/m/01cf0p,/m/0cs24,/m/0z_xz,/m/0d130,/m/0hdyy,/m/011d_9rh,/m/04sng5,/m/0hhw8xd,/m/05nxj0,/m/0c40cq0,/m/06njd,/m/081zw_,/m/02vtq7g,/m/091tvr,/m/02r49f,/m/01406c,/m/04f0h,/m/020d7_,/g/1213tqm6,/m/0h7q5bz,/m/025t20m,/m/042px7,/m/017l39,/g/11cp7w3r6w,/g/11fsrblbyd,/m/03nw7w,/g/11lc9ltvgb,/g/11s7rb01fr,/g/120lq987,/m/079gm,/g/1q582vwlz,/g/120jfhdm_x,/m/032pvq,/m/033wy6,/g/11ln3kjm27,/g/11b651vsw1,/m/0nfn,/m/02wwvy,/m/02fq2b,/m/02jnsq,/g/11g6qj7lt6,/m/085n4,/g/11j8qrghwl,/m/02p2c9s,/g/11jg330g0l,/m/02jjns,/m/02w88k,/m/05kp2c,/m/01y3d8,/g/121jnq1m,/g/120jfhdm_y,/m/0p6bb,/m/018nf6,/m/09s5j9,/m/08f4gj,/m/0bg2p,/g/11c6tyq7nc,/g/11c2688p8j,/m/0ffnx,/m/02ywd,/g/11dxd44r6v,/m/04g3r,/m/06l8d,/m/09j2d,/m/0c_jw,/m/01l0mw,/m/06b49c,/g/11j8qrq5f4,/m/022hpx,/m/03glg,/m/0204sn,/g/11s7rbxtb8,/g/11g6qjtysh,/g/11h37v75l4,/m/02gsv,/m/0f3yyn,/m/079k8t,/m/03ggzf,/m/01hbs0,/m/01fss9,/m/018ct4,/m/029hyv,/m/02mnx9,/g/11bz0yd_jf,/m/01fp90,/g/1q6h_chms,/m/033gpp,/m/04g_71,/m/035czb,/m/04115t2,/g/120t97td,/g/11g_xxld32,/g/121hdyly,/m/02887sv,/g/11kbll0jmc,/g/11hdw7wpyv,/g/11j317sfyk,/g/11fsrbrqgk,/m/05y7_j,/m/01wq4b,/m/04qsq,/m/0_gyn88,/m/04rsd,/m/047m52,/m/05xxpj,/m/05zd8,/m/02vkbbf,/m/01fsrg,/m/014xsg,/m/0272pyx,/m/0f0jq,/m/0hkst,/m/05y_5p,/g/1235w5lb,/g/11j8qrbycd,/m/0968r1,/g/1213vf80,/m/025t89b,/m/05xxpw,/g/11c6t_253c,/m/0462swg,/g/12twkjsql,/g/11j317hdsz,/g/11c6t_549p,/g/11j317n2h0,/g/11fsrbpz7j,/g/11h4f8vzqz,/g/121lmsp6,/g/11g0kd3ygw
2012-01-01,54,0,77,53,46,0,15,26,68,55,0,0,0,59,28,64,99,57,22,0,0,55,0,0,22,0,0,0,0,0,0,59,0,0,12,0,54,0,0,69,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,7,77,0,0,26,0,0,0,0,37,0,0,74,0,0,0,21,0,87,0,0,8,1,0,20,23,59,62,86,0,0,60,35,47,0,0,0,50,0,0,44,0,68,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,64,58,31,0,0,3,42,25,0,0,12,0,0,46,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,92,0,88,63,52,0,24,33,60,50,0,0,0,100,25,52,100,56,31,0,0,74,0,0,24,0,0,0,0,0,0,100,0,0,16,0,0,0,0,83,0,0,100,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,6,80,0,0,24,0,0,0,0,34,0,0,72,0,0,0,23,0,76,0,0,7,1,0,15,22,62,57,91,0,0,31,30,47,0,0,0,30,0,0,0,0,100,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,76,88,0,100,0,3,47,65,0,0,16,0,0,67,0,2,0,22,80,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,100,0,69,52,45,0,24,34,51,57,0,0,0,0,20,66,92,56,26,0,0,87,0,0,27,0,0,0,0,0,0,0,0,0,10,0,48,0,0,75,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,100,0,0,0,0,0,0,0,0,0,0,5,70,0,0,25,0,0,0,0,29,0,0,69,0,0,0,26,0,85,0,0,13,1,0,24,20,58,68,86,42,0,37,47,50,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,23,52,0,0,0,0,0,0,0,0,80,63,0,0,0,3,48,38,0,0,10,0,0,39,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,91,0,76,51,42,0,18,47,58,55,0,0,0,52,26,78,65,56,24,0,100,76,0,0,23,0,0,0,0,0,0,52,0,0,12,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,4,51,0,0,25,0,0,0,0,26,0,0,60,0,0,0,24,35,68,0,0,14,1,0,18,22,60,66,85,0,0,42,38,63,0,0,0,22,0,0,0,0,94,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,100,37,75,0,0,0,3,39,47,0,0,18,0,0,32,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,91,0,77,61,44,0,22,41,58,56,0,0,0,36,28,72,68,58,30,0,0,72,0,0,26,0,0,0,0,0,0,36,0,0,11,0,0,0,0,0,0,0,51,63,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,6,66,0,0,26,0,0,0,0,33,0,0,71,0,0,0,24,0,92,0,0,10,1,0,16,18,64,72,87,0,0,43,35,62,0,0,0,42,0,0,0,0,72,0,0,0,0,0,0,0,0,28,58,0,0,0,0,0,0,0,0,45,75,0,0,40,3,53,39,0,0,25,0,0,52,0,2,0,29,59,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,88,0,64,54,50,0,15,36,59,38,0,0,0,0,37,72,60,54,16,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,47,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,25,0,0,0,0,33,0,0,67,0,0,0,24,40,80,0,0,9,1,0,16,20,57,59,88,34,0,71,39,63,0,0,0,34,0,0,0,0,0,0,0,72,0,0,0,0,0,19,57,100,0,0,0,0,0,0,0,67,64,0,0,0,3,49,45,0,0,15,0,0,47,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,68,0,65,51,53,0,20,39,54,44,0,0,0,0,47,63,56,51,22,0,0,69,0,0,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,5,68,0,0,24,0,0,0,0,29,0,0,65,0,0,0,26,0,82,0,0,10,1,0,17,22,60,62,84,0,0,50,33,48,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,100,20,56,0,0,0,0,0,0,0,0,68,37,27,0,0,3,59,27,0,0,15,85,0,41,0,2,0,34,92,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,55,0,62,45,51,0,14,33,59,41,0,0,0,0,26,81,51,61,18,0,0,61,0,0,19,0,0,0,0,100,0,0,0,0,8,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,44,0,0,0,0,0,0,0,5,62,0,0,23,0,0,0,0,30,0,0,57,0,0,0,26,0,75,0,0,11,1,0,22,22,65,62,86,53,0,43,29,41,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55,0,0,0,0,0,0,0,0,57,53,28,0,31,4,53,51,0,0,11,0,0,31,0,3,0,22,0,94,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,58,0,55,43,53,0,13,36,54,0,0,0,0,0,36,74,81,58,21,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,8,54,0,0,24,0,0,0,0,32,0,0,63,0,0,0,24,0,77,0,0,9,1,0,15,22,62,67,87,0,0,54,27,56,0,0,0,31,0,0,0,0,67,0,0,0,72,0,0,0,0,0,62,0,0,0,0,0,0,0,0,51,49,47,0,0,4,55,44,0,0,13,0,0,27,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,53,0,52,44,62,0,15,36,53,0,0,0,0,0,25,55,61,58,21,0,0,62,0,100,17,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,5,53,0,0,23,0,0,0,0,31,0,0,64,0,0,0,27,0,84,0,0,9,1,0,23,21,63,65,92,0,0,52,26,41,0,0,0,32,0,0,0,0,83,0,0,0,74,0,0,0,0,0,61,0,0,0,0,0,0,0,0,45,41,26,0,0,4,59,35,0,0,11,0,0,38,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
