date,Age,Cosmetics,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,government jobs,loan interest,market prices,train schedule,train ticket price,Air Conditioner Price,Employment Rate,economic policies,national economy,Bank loan rate,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,47,37,34,0,68,55,0,0,19,81,81,0,0,65,38,81,35,0,0,69,39,16,81,0,58,0,0,0,0,0,0,47,100,0,0,0,0,0,0,22,30,72,82,55
2012-02-01,42,41,26,0,39,50,15,0,20,89,85,0,0,66,35,83,31,0,0,62,42,0,73,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,53,74,54
2012-03-01,42,37,24,0,38,54,14,0,20,0,100,0,0,62,33,79,36,0,0,67,40,0,78,0,62,0,0,0,0,0,0,42,0,0,0,0,0,0,0,20,16,65,72,58
2012-04-01,47,35,25,0,44,54,0,0,18,92,77,0,0,78,42,77,38,0,0,77,39,0,77,0,59,0,0,0,0,0,0,47,0,0,0,0,0,0,0,21,14,62,67,51
2012-05-01,43,39,23,0,43,57,19,0,18,83,57,0,0,71,37,80,45,0,0,72,40,0,74,0,62,0,0,0,0,0,0,62,0,0,0,0,0,0,0,23,20,62,74,54
2012-06-01,53,36,25,0,44,53,14,0,19,0,54,0,0,60,36,79,43,0,100,77,38,0,73,0,59,0,0,0,0,0,0,77,0,0,0,0,100,0,0,16,22,56,71,47
2012-07-01,78,35,17,0,37,52,18,0,21,0,45,0,0,60,29,76,51,0,0,62,42,0,76,0,65,0,0,0,0,0,0,80,0,0,0,0,0,0,0,12,15,38,55,42
2012-08-01,54,35,17,0,41,50,0,0,22,92,42,0,0,53,34,71,50,0,0,70,44,16,78,0,56,0,58,0,0,0,0,50,0,0,0,0,0,0,0,22,10,37,52,45
2012-09-01,46,39,23,0,41,48,18,0,20,0,38,0,0,56,33,76,36,0,0,59,42,0,76,0,61,0,0,0,0,0,0,68,0,0,0,0,0,0,0,13,16,51,66,76
2012-10-01,39,40,25,0,52,48,15,0,22,0,37,0,0,59,39,74,33,0,0,56,41,0,69,0,60,0,0,0,0,0,0,50,0,0,0,0,0,0,0,22,17,51,70,59
