date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,71,48,55,38,14,30,50,50,39,12,16,30,67,69,56,48,67,37,83,100,32,36,36,78,24,92,41,63,73,29,0,32,100,49,60,0,0,83,55,22,31,28,33,54
2012-02-01,67,30,57,53,16,38,41,56,44,13,20,34,87,67,54,45,62,43,84,96,37,47,33,76,23,100,45,67,100,32,28,0,97,58,43,70,0,70,40,33,54,38,42,56
2012-03-01,63,13,50,53,19,31,34,64,46,16,21,31,91,73,46,45,61,34,88,78,63,37,40,70,22,99,41,66,79,27,73,34,79,43,57,64,0,79,37,20,53,58,52,52
2012-04-01,66,11,48,48,20,29,36,64,39,17,27,30,91,73,50,36,63,33,89,74,66,36,44,70,25,87,35,64,75,26,63,0,71,42,48,57,0,90,38,28,55,44,45,48
2012-05-01,69,17,54,59,27,48,49,77,47,16,28,29,100,65,45,46,60,34,82,78,64,46,52,77,26,96,43,69,77,30,61,30,77,63,52,95,0,74,30,37,57,65,62,55
2012-06-01,72,20,55,48,20,39,37,60,46,15,24,32,72,61,45,43,60,38,82,78,60,54,45,71,26,93,43,64,76,33,43,36,70,54,48,51,0,72,42,36,56,46,44,47
2012-07-01,74,21,52,41,17,29,46,48,44,15,21,32,83,61,42,40,64,41,85,80,47,46,38,75,25,92,41,63,71,26,27,37,76,45,44,32,0,81,45,22,40,35,36,48
2012-08-01,69,14,51,55,21,30,45,66,44,18,30,33,93,58,48,41,57,35,90,79,77,34,45,71,28,95,40,63,73,26,51,26,69,44,51,80,0,78,27,23,42,53,51,48
2012-09-01,74,19,53,47,23,25,40,67,43,16,25,33,85,64,49,39,60,35,86,79,62,29,47,72,30,87,37,62,79,26,37,35,63,44,54,53,0,82,37,23,33,48,50,46
2012-10-01,81,30,60,52,25,44,42,68,42,17,31,35,91,61,51,39,63,35,91,83,62,31,36,70,25,88,39,64,71,24,61,0,65,55,46,62,0,68,29,30,0,55,53,47
2012-11-01,77,36,53,39,17,23,30,57,38,16,23,36,96,60,48,50,61,39,94,78,55,28,45,73,25,86,37,59,82,21,37,0,66,42,38,71,0,66,36,26,26,42,42,45
2012-12-01,83,60,50,30,11,32,35,41,31,14,14,39,41,63,45,35,64,28,89,76,27,22,32,80,28,68,29,51,47,19,0,0,49,42,35,35,0,94,35,25,68,23,25,34
