date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule
2012-01-01,90,0,66,0,4,0,0,83,26,13,0,64,0,100,0,0,62,21,52,17,0,30,51,46,0,32,0,30,0,21,0,0,0,0,0,0,32,0,0
2012-02-01,83,0,57,0,4,0,0,69,26,10,21,67,13,98,0,20,57,20,50,16,0,33,40,43,0,32,0,28,0,23,0,0,0,0,0,0,26,0,0
2012-03-01,77,0,56,0,5,0,0,69,26,9,21,65,19,100,16,23,60,21,52,17,0,45,38,59,0,34,0,27,0,14,0,0,0,0,0,0,0,0,0
2012-04-01,86,0,67,0,4,0,0,60,28,11,0,68,23,75,19,19,61,15,52,16,0,28,38,31,0,30,0,30,0,17,0,0,0,0,0,0,0,0,0
2012-05-01,79,0,66,0,4,0,0,72,25,12,26,62,13,65,14,0,64,14,51,17,0,37,40,32,0,32,0,29,0,11,0,0,0,0,0,0,0,0,0
2012-06-01,84,0,64,0,4,0,0,74,27,11,26,64,25,63,14,0,65,15,49,17,0,36,44,27,0,31,0,29,0,16,93,0,0,0,0,0,0,0,0
2012-07-01,89,0,66,0,4,0,0,88,26,15,18,67,21,58,12,0,66,17,53,18,0,34,46,31,0,31,0,29,0,9,0,0,0,0,0,0,0,0,0
2012-08-01,74,0,64,0,4,0,0,78,27,12,0,63,21,52,17,0,64,19,51,18,0,33,41,36,0,35,0,31,0,15,0,0,0,0,0,0,0,0,0
2012-09-01,81,0,68,0,5,0,0,69,28,15,0,67,18,49,14,29,67,20,51,19,0,35,39,58,0,34,0,29,0,16,0,0,0,0,0,0,0,0,0
2012-10-01,78,0,63,0,5,0,0,65,29,16,19,72,14,43,24,0,58,18,50,17,0,34,33,33,0,32,0,29,0,13,0,0,0,0,0,0,0,0,0
2012-11-01,75,0,63,0,5,0,0,57,25,15,0,66,17,43,0,16,59,16,44,16,0,37,36,26,0,31,0,27,0,16,55,0,0,0,0,0,0,0,0
2012-12-01,84,0,57,0,3,0,0,72,23,15,0,68,0,44,0,22,57,15,45,17,0,33,37,28,0,28,0,27,0,16,0,0,0,0,0,0,0,0,0
2013-01-01,81,0,59,0,5,0,0,68,27,17,15,70,16,39,18,0,63,22,47,20,0,32,44,32,0,33,0,28,0,19,0,0,0,0,0,0,31,0,0
