date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,government jobs,loan interest,market prices,train schedule,train ticket price,economic policies,national economy,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,42,0,53,0,25,0,0,55,45,15,33,20,95,78,0,0,58,25,65,60,55,71,50,43,12,58,57,61,0,43,0,0,0,0,41,0,0,0,0,33,36,57,63,62
2012-02-01,44,0,58,0,20,0,0,58,47,0,0,21,50,74,0,0,58,29,65,54,44,72,43,45,12,53,85,63,0,56,0,0,0,0,37,0,0,0,0,29,29,47,62,62
2012-03-01,40,0,63,0,23,0,0,61,49,25,0,21,80,80,0,0,46,31,64,62,45,65,43,44,12,50,73,64,0,48,0,0,0,0,57,0,0,0,0,27,38,70,59,60
2012-04-01,42,0,60,0,22,0,0,51,47,30,0,18,90,64,0,0,60,34,57,61,45,54,47,46,15,52,79,62,0,36,0,0,0,0,43,0,0,0,0,24,28,67,57,57
2012-05-01,40,0,63,0,27,0,0,67,54,21,0,20,100,61,55,66,57,35,56,59,45,0,53,46,15,53,100,81,0,72,0,0,0,0,55,0,0,0,0,35,33,70,68,59
2012-06-01,48,0,62,0,23,0,0,64,47,15,33,18,68,58,0,0,54,32,58,67,39,0,70,44,7,55,71,76,0,58,0,0,0,0,65,0,0,0,0,29,27,64,63,53
2012-07-01,61,0,65,0,15,0,0,50,47,21,0,20,60,59,0,0,56,32,58,77,42,0,39,51,16,55,79,63,0,68,0,0,0,0,96,0,0,0,0,30,19,42,51,51
2012-08-01,44,0,54,0,16,0,0,60,46,23,0,21,0,52,0,0,50,30,63,64,40,0,40,50,12,54,78,59,0,55,0,0,0,0,72,0,0,0,0,30,23,55,49,54
2012-09-01,39,0,55,0,22,0,0,63,44,26,0,20,81,53,0,0,51,32,62,56,38,56,44,50,18,54,56,63,0,58,0,0,0,0,62,0,100,0,0,26,24,57,63,59
2012-10-01,39,0,56,0,22,0,0,68,46,24,0,21,78,51,0,0,49,37,64,48,34,0,39,49,15,49,71,62,0,52,0,0,0,0,50,0,0,0,0,25,27,72,65,61
2012-11-01,40,0,53,0,21,0,0,58,44,22,45,20,80,52,0,0,48,36,62,45,39,47,57,50,19,47,73,63,0,52,0,0,0,0,46,0,0,0,0,23,30,61,61,54
2012-12-01,43,0,55,0,19,0,0,57,35,14,0,20,51,48,0,0,46,37,52,48,42,0,43,49,14,46,39,53,0,33,0,0,0,0,49,0,0,0,0,19,25,53,54,42
2013-01-01,41,0,58,0,22,0,0,63,45,18,30,19,71,44,0,0,52,60,64,61,32,66,44,47,11,54,55,60,0,54,0,0,0,0,47,0,0,0,0,24,25,59,62,64
2013-02-01,39,0,65,0,19,0,0,65,45,31,34,20,80,42,61,0,48,41,63,58,44,0,46,47,15,51,58,59,0,57,0,0,0,0,44,0,0,0,0,26,20,53,56,65
2013-03-01,37,0,57,0,21,0,0,58,42,35,27,22,78,46,0,48,51,38,63,56,64,55,44,45,16,54,80,58,0,50,0,0,0,0,53,0,0,0,0,25,23,69,62,66
2013-04-01,43,0,69,0,22,0,0,59,48,32,45,24,73,48,0,0,50,37,63,62,36,67,46,47,15,56,78,62,0,72,0,0,0,0,53,0,0,100,0,23,22,56,61,67
2013-05-01,41,0,55,0,21,0,0,60,49,25,0,21,59,43,0,0,56,38,58,61,46,0,46,49,18,56,65,59,0,60,0,0,0,68,60,50,0,0,0,22,26,74,60,60
2013-06-01,39,0,54,0,21,0,0,56,48,29,43,23,80,40,0,0,53,34,60,66,39,0,42,47,15,52,44,57,0,62,0,0,0,0,71,0,0,0,0,29,19,62,56,56
2013-07-01,40,0,57,0,13,0,0,50,47,30,0,26,79,43,0,0,49,34,65,74,0,60,36,53,15,54,43,60,0,58,0,0,0,0,88,43,0,0,0,28,9,45,45,55
2013-08-01,38,0,53,0,17,0,0,57,47,27,30,25,45,41,0,0,51,38,78,68,37,0,42,55,17,61,67,61,0,41,0,0,0,0,59,0,0,0,0,28,17,46,50,59
2013-09-01,37,0,58,0,19,0,0,61,48,28,0,24,82,43,0,0,51,40,77,55,35,74,37,50,15,59,46,59,0,47,0,0,0,0,60,0,0,0,0,23,19,64,64,68
2013-10-01,38,0,58,0,21,0,100,66,50,34,42,25,59,48,0,0,61,36,78,51,0,57,47,55,13,54,47,65,0,59,0,0,0,0,60,0,0,0,0,23,26,66,64,64
2013-11-01,42,0,61,0,22,0,0,67,49,34,0,24,80,55,0,0,59,43,74,48,36,61,44,54,15,57,0,63,0,56,0,0,0,62,39,0,0,0,0,22,23,63,62,62
2013-12-01,51,0,58,0,18,0,0,64,42,32,0,25,62,48,0,0,58,39,68,53,49,45,38,51,16,50,0,56,0,54,0,0,0,0,55,0,0,0,0,28,25,63,56,46
2014-01-01,42,0,62,0,22,0,0,70,50,25,25,26,64,42,0,0,60,42,76,65,61,84,39,49,15,65,48,59,0,68,0,0,57,59,42,0,0,0,0,35,23,61,61,67
2014-02-01,42,0,63,0,18,0,0,60,48,35,0,26,90,41,55,65,66,40,80,60,66,0,37,54,17,59,0,61,0,56,0,0,56,0,62,0,0,0,0,30,17,70,61,68
2014-03-01,41,0,60,0,22,0,0,63,51,34,0,29,71,42,0,0,68,45,75,65,72,44,37,49,16,61,0,61,0,71,0,0,61,0,41,0,0,0,0,31,22,69,64,69
2014-04-01,42,0,62,0,19,0,0,56,49,31,0,25,71,43,0,0,64,45,71,65,0,0,45,52,16,57,51,61,0,62,0,0,52,0,48,0,0,0,0,29,19,64,60,67
2014-05-01,45,0,66,59,23,0,0,70,53,34,30,26,55,43,0,0,65,60,68,66,43,0,43,53,21,56,46,61,0,61,0,0,0,0,58,0,0,0,0,25,26,79,64,65
2014-06-01,41,0,61,0,21,0,0,60,49,17,0,25,51,38,0,0,55,38,66,64,45,83,100,49,17,60,0,59,0,58,0,0,0,0,59,0,0,0,0,28,11,51,56,58
2014-07-01,43,0,65,0,14,0,0,53,49,29,0,29,46,40,0,0,56,36,67,77,0,0,68,55,21,58,40,60,0,54,0,0,0,0,81,0,0,0,0,22,13,42,49,59
2014-08-01,41,100,62,0,17,0,0,56,47,24,0,28,63,39,0,0,61,41,65,69,36,0,46,54,18,60,46,58,0,69,0,0,0,0,75,0,0,0,0,23,0,35,52,64
2014-09-01,42,0,63,0,19,0,0,57,60,30,39,26,57,45,58,50,72,38,71,60,42,0,41,51,16,60,73,66,0,66,0,0,56,100,60,0,0,0,0,26,22,57,67,68
