date,Age,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Air Conditioner Price,Bank loan rate,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,93,23,0,21,0,43,46,0,0,52,0,99,0,0,14,0,100,21,0,0,67,32,0,32,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,12,35,67
2012-02-01,72,13,0,17,0,30,40,45,0,48,0,93,0,0,12,35,94,17,0,0,41,26,0,33,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,52,91,31,87,60
2012-03-01,76,19,0,15,0,57,34,36,0,40,0,90,0,0,13,33,94,18,0,26,47,28,0,36,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,54,76,36,82,52
2012-04-01,92,21,0,13,0,58,39,0,0,56,59,76,95,0,21,0,84,18,0,29,54,29,0,31,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,49,69,32,64,48
2012-05-01,75,22,0,21,0,33,38,0,0,44,42,70,0,0,19,54,83,18,0,35,62,31,0,36,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,68,86,37,72,52
2012-06-01,98,20,0,28,0,0,34,0,0,42,0,69,0,0,18,22,91,19,0,0,60,32,0,35,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,21,47,51
2012-07-01,100,22,0,20,0,44,32,0,0,48,0,63,0,0,18,19,86,21,0,28,69,31,0,37,0,40,0,30,0,0,0,0,0,0,0,0,0,0,0,32,66,20,50,55
2012-08-01,76,20,0,16,0,50,35,52,0,48,71,60,0,0,17,25,80,17,0,0,68,31,0,35,0,38,0,30,0,0,0,0,0,0,0,0,0,0,0,63,82,33,76,49
2012-09-01,65,18,0,23,0,48,37,24,0,43,0,60,0,0,17,36,71,18,0,34,47,33,0,36,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,59,81,36,71,48
2012-10-01,65,18,0,22,0,43,29,40,0,46,0,57,0,0,17,20,74,18,0,28,42,29,0,31,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,60,76,28,65,50
2012-11-01,71,18,0,19,0,42,30,32,0,47,0,56,0,0,17,19,72,17,0,0,45,31,0,31,0,37,0,26,0,0,0,0,0,0,0,0,0,0,0,50,66,25,55,46
2012-12-01,84,19,0,15,0,0,29,0,0,56,0,71,0,0,17,0,76,21,0,0,48,33,0,31,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,9,22,37
2013-01-01,80,21,0,20,0,52,49,25,75,52,0,66,0,0,19,21,82,24,0,0,64,32,0,38,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,28,20,12,34,74
2013-02-01,59,19,0,31,0,44,39,0,0,48,43,61,0,0,21,32,71,17,0,0,45,32,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,44,77,30,82,60
2013-03-01,64,18,0,21,0,56,31,21,0,44,42,57,0,0,19,29,67,19,0,0,39,31,0,39,0,37,0,47,0,0,0,0,0,0,0,0,0,0,0,39,63,30,69,50
2013-04-01,60,19,0,20,0,39,35,22,0,49,0,48,0,0,19,29,69,19,0,30,45,30,0,38,0,34,0,28,0,0,0,0,0,0,0,0,0,0,0,46,79,36,72,54
2013-05-01,58,17,0,28,0,48,31,24,0,46,0,51,0,0,21,45,64,19,0,0,59,31,0,35,0,37,0,24,0,0,0,0,0,0,0,0,0,0,0,56,74,35,71,54
2013-06-01,68,18,0,18,0,44,32,24,0,47,52,51,0,0,22,27,70,22,0,0,74,33,0,37,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,34,39,16,44,51
2013-07-01,64,20,0,18,0,39,36,33,0,48,0,50,0,0,20,17,62,23,0,0,80,31,0,38,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,17,53,57
2013-08-01,51,17,0,17,0,30,34,16,0,47,0,49,0,0,20,28,65,22,0,26,64,33,0,37,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,37,57,28,75,50
2013-09-01,54,20,0,11,100,34,33,20,0,44,60,47,0,54,23,20,62,20,0,0,45,30,0,38,0,45,0,22,0,0,0,0,0,0,0,100,0,0,0,50,57,29,68,52
2013-10-01,55,18,0,23,0,43,33,26,0,42,34,47,0,0,38,21,64,20,0,0,34,28,0,38,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,49,66,27,62,51
2013-11-01,55,22,0,26,0,55,33,26,0,43,0,50,0,0,40,15,72,21,0,25,37,31,0,41,0,42,0,25,0,0,0,0,0,0,0,0,0,0,0,48,51,26,53,47
2013-12-01,63,20,0,21,0,34,31,23,0,47,0,54,0,0,30,17,64,22,0,0,45,33,0,36,0,40,0,26,0,0,0,0,0,0,0,0,100,0,0,18,14,8,23,40
2014-01-01,63,25,0,24,0,0,38,21,0,48,0,51,0,0,30,25,65,24,0,21,59,33,0,41,0,42,0,32,0,0,0,0,0,0,0,0,0,0,0,21,16,9,37,70
2014-02-01,46,20,0,18,0,37,34,46,0,54,59,47,0,0,43,29,62,19,0,0,35,29,0,43,0,39,0,33,0,0,0,0,0,0,0,0,0,0,0,48,62,27,84,58
2014-03-01,49,23,0,22,0,50,29,21,0,47,0,46,0,0,48,26,60,19,0,18,32,30,0,39,0,40,0,26,0,0,0,0,0,0,0,0,0,0,0,47,58,28,75,51
2014-04-01,52,18,0,17,0,30,30,27,0,48,54,46,0,0,44,33,62,19,0,0,40,30,0,37,0,41,0,21,0,0,0,0,0,0,0,0,0,0,0,45,49,26,64,48
2014-05-01,48,22,0,26,0,38,30,27,0,46,35,44,0,0,43,29,54,18,0,0,46,29,46,39,0,46,0,0,0,0,0,0,0,0,0,0,0,0,100,41,54,33,64,48
2014-06-01,54,21,0,16,0,44,29,24,0,43,0,45,0,0,36,19,56,20,0,0,71,28,0,37,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,28,33,18,44,49
