date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,drive,wage,active,rental,annuity,rebate,goal,restaurant,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Bank loan rate,applicant,takeaway,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,67,0,25,0,0,0,0,43,0,0,52,0,94,0,29,0,60,65,0,0,66,32,68,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,22,62,75
2012-02-01,57,0,19,0,0,0,0,47,0,0,51,0,92,0,28,0,57,62,0,0,47,38,76,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,53,20,83,64
2012-03-01,53,0,21,0,0,0,0,47,0,0,46,0,100,0,26,0,67,56,0,0,38,34,70,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,53,26,84,65
2012-04-01,63,0,27,0,0,0,0,41,0,0,36,0,76,0,37,0,52,50,0,0,48,28,57,0,52,0,58,0,0,0,0,0,0,0,0,0,0,0,0,23,100,21,84,57
2012-05-01,54,0,26,0,29,0,0,42,41,0,40,0,64,0,43,0,63,43,0,0,64,26,78,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,36,25,68,64
2012-06-01,60,0,25,0,0,0,0,47,0,0,41,0,63,0,35,0,58,37,0,0,69,29,72,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,23,68,61
2012-07-01,76,0,18,0,0,0,67,39,0,0,46,0,61,0,35,0,68,48,0,0,84,31,66,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,37,22,51,61
2012-08-01,62,0,10,0,0,0,0,42,28,0,44,0,65,0,33,0,61,44,0,0,90,28,87,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,32,30,54,61
2012-09-01,55,0,32,0,0,0,0,41,0,0,44,0,61,0,34,0,73,41,0,0,62,26,74,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,25,52,63
2012-10-01,56,0,19,0,0,0,0,34,0,0,43,0,60,0,31,0,61,35,0,0,39,26,72,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,25,53,59
2012-11-01,51,0,24,0,0,0,52,42,0,0,47,0,74,0,33,43,63,39,0,0,61,27,69,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,27,47,57
2012-12-01,59,0,26,0,38,0,0,30,26,0,48,0,65,0,34,37,54,61,0,0,49,34,63,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,22,30,42
2013-01-01,52,0,18,0,0,0,0,43,0,0,46,0,54,0,33,0,61,55,0,0,83,30,81,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,14,15,34,79
2013-02-01,48,0,26,0,24,0,0,39,0,0,49,0,49,0,33,0,58,55,0,0,52,37,82,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,29,48,74
2013-03-01,51,0,18,0,47,0,100,42,0,0,51,0,51,0,37,41,53,44,0,0,63,35,78,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,20,52,56
2013-04-01,56,0,21,0,0,0,54,42,0,0,61,100,49,0,33,0,60,43,0,0,59,28,74,0,51,0,44,0,0,0,0,0,0,0,0,0,0,0,0,21,27,30,61,68
2013-05-01,52,0,18,0,22,0,64,39,0,0,47,0,52,0,33,0,62,40,0,0,73,26,77,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,26,53,71
2013-06-01,52,0,25,0,0,0,0,44,0,0,42,0,45,0,37,0,70,35,0,0,83,27,78,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,24,49,65
2013-07-01,56,0,24,0,27,0,0,33,19,0,48,0,50,0,34,36,58,44,0,0,95,29,79,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,17,47,74
2013-08-01,53,0,30,0,0,0,0,39,0,0,47,0,45,0,36,35,74,39,0,0,75,32,67,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,23,54,65
2013-09-01,48,0,24,0,0,0,58,37,21,0,48,0,49,0,39,0,78,38,0,0,56,27,73,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,34,53,65
2013-10-01,44,0,21,0,0,0,0,41,34,0,42,0,46,0,60,32,78,37,0,0,42,24,76,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,47,30,57,67
2013-11-01,50,0,33,0,0,0,0,35,23,0,43,0,47,0,61,41,88,49,0,0,41,29,74,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,54,20,50,55
2013-12-01,54,0,18,0,0,0,0,31,30,0,48,0,50,0,48,0,79,68,0,0,44,38,75,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,18,30,44
2014-01-01,51,0,21,0,42,0,0,37,0,0,51,0,45,0,47,46,74,66,0,0,58,36,87,0,46,0,55,0,0,0,0,0,0,0,0,0,0,0,0,28,0,21,43,92
2014-02-01,54,0,23,0,0,0,55,40,0,0,54,0,42,0,57,53,67,68,0,0,52,41,91,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,20,29,55,88
2014-03-01,50,0,20,0,38,0,0,39,33,0,58,0,43,0,63,61,73,60,0,0,37,40,80,0,47,0,39,0,0,0,0,0,0,0,0,0,0,0,0,79,22,26,63,81
2014-04-01,51,0,22,0,23,0,47,42,0,0,49,0,39,0,62,0,72,51,0,0,43,34,78,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,22,23,54,78
2014-05-01,52,0,20,0,0,0,0,39,0,0,42,0,37,0,65,31,60,44,0,0,56,31,63,0,42,0,37,0,0,0,0,0,0,0,0,0,0,0,0,43,15,30,48,83
2014-06-01,47,0,23,0,0,0,0,31,23,0,45,0,37,0,64,35,71,37,0,0,92,27,71,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,23,20,54,69
2014-07-01,67,100,25,0,22,0,0,43,23,0,51,0,39,0,56,0,70,50,0,0,100,32,73,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17,0,53,84
2014-08-01,55,0,30,0,0,0,0,38,0,0,48,0,40,0,65,41,81,48,0,0,78,33,84,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,17,50,78
2014-09-01,56,0,28,0,0,0,0,43,28,0,44,0,37,0,74,0,68,40,0,0,43,28,72,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,22,51,77
2014-10-01,59,0,37,0,0,0,0,47,0,0,40,0,37,0,81,0,75,42,0,0,36,29,90,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,24,28,55,75
2014-11-01,60,0,32,0,0,0,0,42,0,0,45,0,39,0,78,0,78,54,0,0,37,33,78,0,45,0,48,0,0,0,0,100,0,0,0,0,0,0,0,37,22,33,52,63
