date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,52,0,41,0,21,0,0,60,48,19,33,17,76,86,60,41,58,30,69,38,42,64,45,39,13,80,38,59,0,28,0,0,50,19,20,0,0,38,0,34,21,83,73,51
2012-02-01,46,0,37,0,20,0,0,60,45,17,42,18,73,85,58,32,60,28,66,41,49,57,45,41,9,79,35,62,48,29,0,0,70,17,24,0,0,57,0,33,18,70,72,49
2012-03-01,45,0,36,0,21,0,0,61,52,15,38,18,94,100,51,58,55,30,66,41,48,74,47,38,16,79,26,65,0,33,0,0,68,14,29,0,0,55,0,33,18,76,70,48
2012-04-01,50,0,36,0,17,0,0,54,50,18,46,16,94,66,63,33,72,30,63,45,33,49,50,36,14,79,42,65,0,23,67,0,61,25,30,0,0,52,0,28,17,74,60,51
2012-05-01,48,0,39,22,22,0,0,76,50,19,39,18,94,52,60,41,66,29,62,49,41,63,52,37,16,78,31,63,36,26,0,19,71,23,24,52,0,74,0,29,23,81,67,54
2012-06-01,54,0,38,0,19,0,0,68,50,19,25,18,73,45,61,46,59,27,63,48,34,65,71,37,13,76,37,63,27,29,0,0,79,25,28,0,0,85,0,30,21,73,65,65
2012-07-01,86,0,33,0,17,0,0,74,45,20,33,18,80,43,70,42,61,30,64,49,53,52,47,38,14,80,52,58,30,28,0,0,87,27,26,0,100,88,0,33,14,54,56,52
2012-08-01,55,0,34,0,16,0,0,65,49,26,40,19,75,41,59,47,55,28,64,51,43,74,48,41,14,83,34,57,0,32,0,16,79,22,35,0,0,64,0,29,14,53,54,52
2012-09-01,47,0,35,0,24,0,57,68,44,23,39,19,70,38,62,47,58,31,64,50,34,48,46,42,19,77,38,59,32,27,0,0,63,29,23,48,0,83,21,33,17,67,64,58
2012-10-01,44,0,38,0,20,0,0,71,41,20,34,19,77,35,64,40,59,34,64,50,48,54,47,43,15,77,36,60,25,21,0,16,59,20,18,0,0,65,20,29,17,68,61,51
2012-11-01,55,0,35,0,20,0,71,63,42,19,41,19,81,36,62,51,57,35,62,57,43,72,63,47,14,78,32,64,0,24,58,0,60,18,21,0,0,43,0,28,21,83,69,50
2012-12-01,62,0,34,0,16,0,0,63,37,16,28,19,59,37,37,32,59,75,59,53,34,55,39,46,15,69,22,60,0,25,0,0,41,13,22,0,0,59,0,26,16,61,53,38
2013-01-01,49,0,33,0,20,0,0,71,46,19,40,20,85,31,62,39,61,100,65,61,71,56,41,40,16,84,37,68,0,30,0,0,65,30,27,0,0,43,0,31,16,76,68,54
2013-02-01,44,0,36,19,18,0,0,64,42,20,42,20,68,30,60,42,57,65,63,40,45,53,43,44,19,82,30,68,39,34,0,19,44,26,22,0,0,37,0,28,13,68,66,53
2013-03-01,48,0,35,22,18,0,0,55,42,21,42,20,78,30,65,38,58,48,61,44,51,54,37,43,20,85,29,65,0,24,52,0,44,25,19,0,0,60,0,29,15,64,58,43
2013-04-01,54,0,33,18,19,0,0,63,42,23,36,23,70,29,68,51,57,44,63,45,39,51,42,42,17,84,36,68,27,25,0,0,44,20,19,0,0,55,0,29,15,79,67,48
2013-05-01,45,0,33,0,17,0,0,71,42,22,35,21,72,27,66,35,55,37,60,42,51,60,42,43,16,83,29,67,0,29,64,0,36,16,20,0,0,57,0,29,15,66,58,47
2013-06-01,46,0,32,0,16,0,0,68,43,21,44,24,76,26,60,45,55,33,71,48,46,53,43,40,15,85,37,64,30,25,0,0,57,22,31,0,0,60,0,30,14,67,63,47
2013-07-01,43,0,34,0,13,0,75,70,43,22,38,25,96,28,76,55,57,34,81,59,53,48,45,43,16,85,32,66,0,36,0,0,77,27,33,0,0,72,20,34,9,56,52,47
2013-08-01,43,0,37,0,14,0,85,57,43,21,33,24,82,28,66,46,53,31,85,55,56,35,42,48,18,88,27,61,22,28,0,15,54,21,28,0,0,67,25,27,11,46,52,47
2013-09-01,38,0,33,0,14,0,0,64,40,21,25,23,78,27,68,52,56,32,80,44,46,48,38,44,15,81,34,63,0,28,0,27,70,17,27,0,0,60,16,29,13,60,59,51
2013-10-01,37,0,38,0,16,0,0,63,43,23,45,28,88,28,66,40,61,32,78,43,39,54,42,47,17,83,31,75,21,29,0,0,70,17,21,0,0,58,0,27,13,65,61,55
2013-11-01,40,0,40,17,19,0,0,63,42,22,48,26,86,31,47,57,65,31,77,37,44,57,40,50,15,80,26,68,23,24,0,0,44,19,22,0,0,54,0,27,16,75,66,53
2013-12-01,51,0,44,0,16,0,50,69,41,24,45,28,67,32,44,45,61,30,79,39,37,40,36,52,16,71,27,63,0,21,0,14,54,21,22,0,0,54,20,29,11,56,53,42
2014-01-01,40,0,39,0,19,0,0,63,51,22,37,31,85,26,64,59,67,35,76,41,39,56,37,47,16,94,28,64,26,31,0,23,63,23,31,61,0,47,0,36,12,75,70,51
2014-02-01,42,0,37,0,18,0,0,65,46,25,50,31,80,26,53,56,65,28,85,42,61,74,38,51,17,93,26,62,0,34,0,21,61,21,19,62,0,39,18,34,14,76,71,50
2014-03-01,39,0,38,0,19,0,54,57,44,23,48,35,81,26,59,45,63,30,74,43,51,67,37,45,22,93,34,60,21,35,82,14,65,16,29,0,0,49,0,31,13,74,65,47
2014-04-01,43,0,37,17,17,0,0,65,47,28,41,32,81,27,52,44,68,30,74,49,47,48,43,48,23,90,33,59,0,31,0,15,75,24,24,0,0,62,16,33,10,64,58,54
2014-05-01,43,0,35,0,19,0,50,69,45,27,41,32,97,26,61,41,65,33,74,44,43,60,42,48,20,91,34,60,21,30,0,18,56,26,25,0,0,64,26,31,14,80,69,51
2014-06-01,45,0,34,0,19,0,0,61,45,25,35,32,84,27,54,48,63,33,72,50,47,62,100,44,20,83,33,58,0,30,52,22,60,27,19,0,0,70,0,37,13,62,62,62
2014-07-01,43,0,38,0,13,0,0,59,45,28,51,33,76,27,62,47,64,36,76,53,51,53,81,47,20,89,30,57,23,29,0,13,76,25,25,0,0,65,0,30,10,59,54,51
2014-08-01,48,0,37,0,12,0,63,62,46,29,57,34,78,28,66,48,64,29,75,59,38,42,49,58,26,94,38,61,0,31,0,20,77,23,19,0,0,57,18,27,7,54,50,53
2014-09-01,45,0,37,0,16,0,0,63,60,23,49,32,72,28,71,49,68,33,79,45,32,64,47,50,25,88,37,65,27,29,75,16,42,20,24,0,0,67,22,33,9,63,67,69
2014-10-01,56,0,37,16,17,0,0,66,59,26,40,30,84,29,55,53,74,32,73,41,41,54,40,53,26,86,33,64,0,26,0,21,65,14,26,60,0,70,24,34,12,75,66,55
2014-11-01,88,0,41,20,21,0,0,69,55,28,54,28,98,31,58,35,72,34,72,35,35,56,39,53,24,79,31,63,31,31,0,0,44,21,43,54,0,49,0,31,13,87,69,58
2014-12-01,100,0,40,0,18,0,0,58,50,24,48,29,69,31,60,46,69,30,70,37,43,51,36,56,26,73,30,57,0,28,0,18,42,18,34,0,0,60,0,32,12,65,61,53
2015-01-01,71,0,41,22,22,0,0,60,57,26,46,32,78,28,56,43,68,35,72,44,51,53,36,50,26,96,34,61,25,37,0,22,52,33,35,57,0,45,0,43,13,82,71,54
2015-02-01,60,0,42,0,19,0,0,67,53,32,59,32,66,28,75,52,68,39,72,44,37,69,40,53,24,89,28,63,27,40,0,13,54,23,37,0,0,48,22,39,14,80,76,70
2015-03-01,55,0,39,0,20,0,53,60,51,32,41,34,60,29,72,69,67,34,78,45,48,62,35,50,23,96,32,63,29,36,0,0,63,24,35,41,0,47,17,39,13,74,72,71
2015-04-01,66,0,37,0,16,0,67,73,52,32,52,31,99,30,64,45,68,35,71,43,48,71,38,51,18,88,38,60,33,42,0,0,52,31,36,50,0,50,18,33,11,71,65,100
2015-05-01,58,0,38,0,15,0,48,67,50,37,54,32,86,29,54,50,67,38,69,49,46,77,40,53,21,89,31,62,19,33,0,22,67,27,33,0,0,63,14,30,11,73,64,98
2015-06-01,46,0,36,0,16,0,0,70,50,29,51,35,72,31,65,45,67,37,72,51,58,70,39,47,23,87,38,63,31,41,0,16,42,30,28,0,0,66,27,31,13,81,67,72
2015-07-01,46,0,35,0,13,0,0,72,50,42,61,42,80,33,70,46,67,39,69,53,61,72,41,52,22,86,33,62,38,36,0,17,58,25,36,0,0,64,30,33,9,60,62,50
2015-08-01,45,0,35,0,10,0,91,58,44,29,43,36,77,31,59,41,71,33,68,53,35,50,40,57,23,90,18,60,32,38,0,22,67,22,31,0,0,69,22,28,9,54,54,54
2015-09-01,47,0,39,20,14,0,72,65,48,28,49,35,78,32,67,55,71,39,70,43,36,58,39,54,27,88,35,58,38,39,0,0,54,28,28,0,0,73,21,32,13,70,67,58
2015-10-01,43,0,39,0,15,62,56,64,47,26,47,35,91,32,71,46,70,34,69,39,42,49,35,57,28,81,29,64,26,34,0,18,63,24,22,0,0,55,21,29,10,70,62,51
2015-11-01,39,0,45,18,17,0,61,73,46,28,52,42,80,33,55,51,72,36,69,36,36,59,33,58,26,82,30,66,28,36,0,12,47,23,31,0,0,47,16,32,11,79,68,53
2015-12-01,45,0,56,0,16,0,56,63,44,27,48,33,66,36,54,61,68,31,62,37,41,64,30,63,24,74,28,63,0,32,0,13,60,16,37,43,0,46,18,32,9,62,56,45
2016-01-01,49,0,58,15,16,0,52,69,59,35,48,32,78,29,66,83,66,37,64,50,83,59,36,54,82,100,33,67,23,35,0,19,40,34,38,0,0,37,0,32,16,79,72,60
2016-02-01,46,0,57,15,16,0,0,71,56,29,61,31,100,30,69,71,66,39,68,47,60,67,37,56,37,93,35,70,25,37,41,17,43,24,37,38,0,42,17,34,13,77,71,54
2016-03-01,48,0,66,0,16,0,48,65,54,31,73,32,80,32,64,62,64,37,67,45,51,55,37,58,30,88,32,73,27,30,0,20,45,29,30,39,0,43,24,31,11,73,64,63
2016-04-01,41,0,73,22,16,0,43,67,57,29,66,30,84,32,58,52,66,40,72,49,54,81,41,58,29,94,35,68,0,41,0,14,47,30,33,36,0,54,14,39,13,77,68,57
2016-05-01,46,0,64,37,16,0,59,68,53,31,64,34,93,33,64,57,66,38,66,52,63,64,38,58,30,87,28,68,29,38,50,16,47,17,38,0,0,54,29,33,10,76,67,54
