date,Age,Cosmetics,Inflation,Forex rate,confidence,health,weakness,trajectory,news,market,applicant,drive,wage,active,rental,rebate,goal,restaurant,takeaway,training,care,cost of living,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Air Conditioner Price,Bank loan rate,onsite,annuity,childcare,career opportunities,Economic development,Employment Rate,economic policies
2012-01-01,60,43,0,0,0,43,0,0,27,85,0,47,36,81,38,0,31,26,0,69,75,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
2012-02-01,57,50,0,0,0,48,0,0,25,91,0,40,53,76,46,0,32,30,0,78,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,54,51,0,0,84,49,0,0,26,100,0,37,41,72,42,0,29,25,0,78,61,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2012-04-01,53,49,0,0,0,43,0,0,25,79,0,50,41,78,31,0,42,28,0,64,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,47,56,0,0,0,31,0,0,25,69,0,44,51,72,45,0,37,29,0,61,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,59,48,0,0,0,38,0,0,27,67,0,52,0,60,47,0,76,29,0,70,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,78,43,0,0,0,40,0,0,29,63,0,43,0,72,64,0,21,36,0,73,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,58,50,0,0,0,40,0,0,26,59,0,46,0,67,55,0,20,32,0,77,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,55,42,24,0,64,50,0,0,29,67,0,47,65,70,43,0,20,32,0,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,51,53,21,0,0,40,0,0,28,56,0,48,0,66,41,0,29,41,0,73,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,53,46,0,0,55,47,58,0,27,59,0,48,62,52,25,0,49,35,0,68,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,57,49,0,0,0,35,0,0,26,64,0,52,49,58,28,0,29,26,0,56,51,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
2013-01-01,51,43,0,0,0,42,0,0,28,51,0,51,48,63,33,0,20,27,0,70,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,49,58,0,0,0,46,0,0,25,49,0,47,53,57,46,0,42,35,0,69,54,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,57,53,17,0,59,49,47,0,28,53,0,52,0,62,39,0,25,30,0,73,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,54,55,0,0,76,51,45,0,28,51,0,49,40,55,46,0,42,32,0,68,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,47,45,0,0,0,36,0,0,28,48,0,52,40,64,38,0,26,34,0,67,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,48,47,0,0,67,36,0,0,28,42,0,46,0,52,53,0,23,35,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,48,47,0,0,83,40,42,0,34,47,0,44,0,63,52,0,27,44,0,76,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,48,51,0,0,0,39,0,0,32,42,0,49,66,66,51,0,20,41,0,66,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,41,47,0,0,67,47,0,0,30,50,0,52,51,68,48,0,38,34,0,76,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,48,58,0,0,0,48,0,0,28,52,0,65,35,72,36,0,33,50,0,69,59,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,43,60,0,0,49,38,35,0,25,51,0,68,53,67,35,0,31,38,0,79,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,54,60,0,0,0,44,49,0,28,56,0,65,40,63,35,0,35,40,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,50,69,14,0,0,40,46,0,32,52,0,67,39,72,45,0,33,35,0,75,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,49,56,0,0,50,44,39,0,35,52,0,65,41,68,45,0,36,37,0,65,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,46,44,14,0,0,50,0,0,54,48,0,71,37,71,46,0,44,33,0,86,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,49,58,17,0,45,52,35,0,40,49,0,72,51,61,46,0,51,37,0,78,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,49,44,0,0,47,47,33,0,42,51,0,67,28,61,44,0,43,37,0,71,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,54,57,0,0,50,41,0,0,41,47,0,57,44,59,56,0,100,36,88,77,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,52,49,0,0,0,35,0,0,53,48,0,55,0,62,68,0,78,44,0,70,44,79,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,53,47,16,0,0,34,0,0,56,52,0,62,49,57,51,0,52,45,0,74,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,49,40,0,0,64,52,0,0,43,49,0,73,50,69,49,0,39,40,0,70,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,56,50,18,0,46,46,0,0,37,50,0,82,63,66,40,0,44,49,0,67,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-01,73,58,0,0,76,53,0,0,38,56,0,74,0,62,38,0,51,41,0,70,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12-01,97,64,0,0,0,41,0,0,42,54,0,68,42,66,38,0,48,39,0,65,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-01,74,51,0,0,85,43,0,0,45,58,0,73,36,84,44,0,56,37,0,89,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,52,56,15,0,0,46,34,0,43,50,0,72,42,67,41,0,51,37,0,87,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,49,63,14,0,56,50,0,0,42,51,0,72,41,68,45,0,42,33,0,96,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,53,57,0,100,61,44,0,0,37,53,0,78,56,73,53,0,46,40,0,76,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,63,44,25,0,75,49,0,0,36,48,0,68,45,58,42,0,48,41,0,72,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,52,63,15,0,0,38,36,0,41,48,0,63,0,60,58,0,44,41,0,74,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,48,62,16,0,0,42,0,0,37,52,0,59,36,61,69,0,20,51,0,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,42,45,14,0,0,34,0,0,30,53,0,53,51,48,46,0,42,43,0,69,52,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,38,48,0,0,35,39,0,0,28,55,0,64,36,58,43,0,25,32,0,69,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,45,61,17,0,52,45,0,0,29,53,0,72,51,61,38,0,23,51,0,71,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,47,66,18,0,71,47,0,0,40,50,0,77,49,54,33,0,31,45,0,77,51,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,58,62,17,0,54,50,0,0,28,54,0,74,59,73,41,0,32,46,0,69,56,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,54,71,14,0,0,55,38,0,32,45,0,70,45,66,56,0,27,35,0,91,63,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,51,77,0,0,80,58,43,0,32,53,0,76,59,69,62,0,21,45,0,100,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,48,67,15,0,88,57,35,0,32,51,0,70,59,71,60,0,37,42,0,89,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,53,82,20,0,100,57,66,0,28,51,0,80,72,69,54,0,35,44,0,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,44,71,23,0,82,49,0,0,28,44,0,73,34,65,60,0,37,49,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,48,58,20,0,58,50,39,0,36,45,0,62,50,63,77,0,79,54,0,80,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,53,66,18,0,0,47,86,0,45,46,0,51,65,50,61,0,43,60,0,63,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,50,98,0,0,0,41,63,0,33,44,0,54,50,60,67,0,24,61,0,70,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,49,70,16,0,0,62,0,0,28,45,0,77,65,68,60,0,35,51,0,72,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,45,83,16,0,59,62,0,0,28,44,0,80,54,83,51,0,25,58,0,87,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,48,84,20,0,60,55,0,0,36,48,0,79,58,63,41,0,39,52,0,75,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,57,96,0,0,68,46,0,0,31,50,0,75,67,76,46,0,28,50,0,65,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,51,71,0,0,62,55,0,0,32,42,0,74,56,66,63,0,23,43,0,85,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,52,79,0,0,0,55,0,0,29,40,0,77,46,62,58,0,28,52,0,87,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,47,72,22,0,57,59,41,0,30,50,0,84,72,76,57,0,30,56,0,84,66,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,48,70,0,0,75,54,57,0,35,44,0,81,59,64,54,0,30,50,0,75,64,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,45,65,15,0,55,53,0,0,32,41,0,87,65,66,58,0,25,54,0,80,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,53,68,0,0,0,46,0,0,40,44,0,58,50,67,72,0,26,60,100,64,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
