date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule
2012-01-01,50,0,28,0,18,0,0,49,38,13,28,35,42,91,0,0,24,21,62,24,12,38,82,22,7,43,9,46,0,33,0,0,0,0,41,0,27,56,0
2012-02-01,47,0,29,0,18,0,0,44,43,15,0,35,54,77,0,0,16,27,58,25,0,30,62,24,5,49,9,50,0,33,0,0,0,0,25,0,35,0,0
2012-03-01,47,0,31,0,17,0,0,45,40,13,35,34,60,100,0,0,15,19,61,27,16,34,63,26,8,47,10,44,0,29,0,0,64,0,30,0,33,0,0
2012-04-01,53,0,28,0,19,0,0,40,43,15,36,33,0,67,0,0,25,20,58,30,0,32,66,25,8,45,0,45,0,29,0,0,0,0,0,0,50,0,0
2012-05-01,47,0,27,0,22,0,0,55,41,16,40,35,57,60,0,37,23,23,60,31,0,38,90,27,8,44,11,54,0,36,0,0,0,0,23,0,54,0,0
2012-06-01,69,0,28,0,20,0,0,45,42,13,0,37,36,50,0,0,20,19,57,37,0,41,100,26,6,43,13,49,0,25,0,0,0,0,45,0,56,0,0
2012-07-01,100,0,29,0,15,0,0,60,43,15,0,45,35,53,0,0,24,23,58,48,0,26,93,33,8,46,0,49,0,33,0,0,0,0,0,0,81,0,0
2012-08-01,72,0,31,0,19,0,0,46,38,20,35,49,52,50,0,38,21,19,58,44,0,37,100,34,11,46,21,48,0,32,0,0,0,0,0,0,59,0,0
2012-09-01,53,0,28,0,17,0,0,54,40,19,42,42,57,44,0,0,21,23,65,33,12,53,57,28,10,47,13,46,37,34,0,0,67,0,0,0,62,0,0
2012-10-01,51,0,25,0,17,0,0,62,45,17,30,42,59,41,0,33,22,21,68,27,9,39,47,27,11,46,11,41,0,27,0,0,45,0,21,0,62,0,0
2012-11-01,49,0,26,0,18,0,0,51,39,20,34,35,47,39,0,0,22,21,59,22,0,32,53,29,8,44,11,43,0,24,0,0,0,0,0,0,38,0,0
2012-12-01,61,0,28,0,19,0,0,47,33,21,24,36,62,50,0,0,21,19,63,20,0,46,48,30,14,41,0,43,0,22,0,0,45,0,0,0,23,0,0
2013-01-01,51,0,28,0,21,0,0,44,39,17,28,38,44,44,0,36,22,23,69,25,0,29,62,25,11,47,14,44,0,36,0,0,0,0,0,0,27,0,0
2013-02-01,48,0,28,0,20,0,0,43,40,20,27,39,60,35,0,53,24,23,65,27,0,41,47,28,12,48,12,45,0,31,0,0,0,0,0,0,37,0,0
2013-03-01,53,0,30,0,20,0,0,48,36,22,34,41,42,36,0,30,24,22,65,31,12,44,44,29,17,47,11,45,0,23,0,0,0,0,0,0,37,0,0
2013-04-01,50,0,29,0,22,0,0,53,39,22,26,47,52,33,0,30,24,22,66,33,15,64,45,27,12,50,11,44,0,39,0,0,0,0,22,0,26,48,0
