date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule
2012-01-01,40,0,34,0,18,0,68,39,7,0,38,0,17,0,0,32,21,60,41,75,0,83,34,0,70,0,51,0,24,0,0,0,0,0,0,0,0,0
2012-02-01,40,0,32,0,17,0,47,35,9,0,37,0,17,0,0,33,29,60,37,0,0,68,33,0,65,0,50,0,0,0,0,100,0,0,0,0,0,0
2012-03-01,38,0,32,0,17,0,46,38,6,0,37,100,19,0,0,33,23,58,40,0,0,73,36,0,68,0,50,0,46,0,0,0,0,0,0,0,0,0
2012-04-01,39,0,30,0,21,0,47,34,10,0,37,74,18,77,0,40,20,52,43,0,0,74,33,0,65,0,51,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,34,0,29,0,19,0,40,35,9,0,34,0,15,0,0,34,29,55,51,0,0,76,42,0,62,0,49,0,32,0,0,0,0,0,0,0,0,0
2012-06-01,46,0,31,0,16,0,48,34,7,0,35,0,16,72,0,33,24,52,51,0,0,88,35,10,65,0,49,0,0,0,0,0,0,0,0,79,0,0
2012-07-01,53,0,28,0,19,0,44,28,11,0,37,0,15,0,0,33,17,46,53,0,0,68,41,0,68,0,41,0,26,0,0,0,0,0,0,67,0,0
2012-08-01,42,0,29,0,17,0,43,35,10,0,37,0,13,0,0,33,30,54,45,0,0,72,40,0,75,0,46,0,23,0,0,0,0,0,0,98,0,0
2012-09-01,41,0,34,0,21,0,51,38,11,51,38,0,16,0,0,35,25,57,36,0,0,69,41,9,71,0,48,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,38,0,29,0,21,0,100,38,13,0,38,87,13,0,0,34,28,58,33,0,0,62,37,13,65,0,50,0,0,0,0,0,0,0,0,52,0,0
2012-11-01,40,0,32,0,25,0,54,36,12,0,39,0,14,0,0,36,29,57,31,0,0,84,38,11,72,0,54,0,32,0,0,0,0,0,0,0,0,0
2012-12-01,48,0,27,0,17,0,43,31,11,0,39,0,21,0,0,35,18,53,33,79,0,65,37,10,67,0,49,0,0,0,0,0,0,0,0,74,0,0
2013-01-01,38,0,31,0,15,0,79,39,13,0,38,0,14,0,0,38,32,61,49,0,0,83,36,13,83,0,52,0,32,0,0,0,0,0,0,54,0,0
2013-02-01,39,0,31,0,24,0,43,38,16,40,38,70,14,0,0,36,34,57,45,0,0,64,40,12,75,0,50,0,32,0,0,0,0,0,0,0,0,0
2013-03-01,41,0,34,0,18,0,76,40,10,0,41,0,16,0,0,37,26,54,43,0,76,61,37,9,77,0,50,0,25,0,0,0,0,0,0,0,0,0
2013-04-01,42,0,29,0,29,0,56,39,12,0,49,64,16,0,0,38,22,54,46,0,0,66,37,13,69,0,54,0,30,0,0,0,0,0,0,58,0,0
2013-05-01,37,0,33,0,15,0,50,38,11,34,37,85,19,0,0,36,32,53,48,0,0,68,37,8,69,0,48,0,30,0,0,0,0,0,0,55,0,0
2013-06-01,43,0,26,0,17,0,60,33,14,0,41,67,17,0,0,34,20,56,54,0,0,71,41,9,72,0,45,92,28,0,0,0,0,0,0,0,0,0
2013-07-01,40,0,33,0,11,0,37,30,12,0,45,0,15,0,0,33,22,71,57,0,0,66,43,0,72,0,47,0,25,0,0,0,0,0,0,100,0,0
2013-08-01,37,0,34,0,16,0,56,38,10,0,42,0,15,0,0,39,31,79,49,0,0,76,47,11,75,0,49,0,23,0,0,0,0,0,0,67,0,0
