date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,34,0,42,66,28,34,45,34,80,17,22,27,86,57,52,39,67,26,78,63,45,9,72,59,34,91,32,64,83,2,53,25,82,35,85,75,0,70,30,61,61,89,66,47
2012-02-01,35,0,43,67,29,35,54,31,76,19,22,29,100,57,57,47,69,26,71,59,56,8,55,61,37,94,30,64,89,2,54,34,83,34,85,61,0,73,25,67,77,88,66,42
2012-03-01,35,7,42,71,32,34,48,33,79,20,21,29,99,63,57,45,63,29,71,59,48,11,64,59,35,88,30,66,76,2,81,29,74,34,79,93,0,82,28,67,72,99,71,42
2012-04-01,35,11,51,54,27,48,38,31,73,19,20,28,87,55,51,32,67,28,72,64,44,11,73,57,38,83,28,65,67,2,58,38,63,35,64,83,0,100,31,61,92,83,62,40
2012-05-01,35,13,51,63,30,41,58,33,74,20,24,31,94,56,54,31,67,27,73,66,44,9,90,56,37,84,31,67,80,2,58,32,62,39,70,100,0,77,33,61,100,88,68,41
2012-06-01,37,10,48,53,21,23,50,28,63,17,15,32,73,54,52,25,65,28,68,68,41,8,76,59,41,83,28,64,79,2,15,35,65,32,63,56,0,76,31,54,62,59,51,38
2012-07-01,41,9,46,41,18,29,44,29,66,18,16,33,59,54,57,25,66,30,70,71,41,7,50,60,39,90,29,63,75,2,18,28,63,35,58,41,0,100,38,56,39,49,44,39
2012-08-01,41,9,46,37,18,36,41,28,60,18,15,38,56,56,56,30,69,28,70,71,43,7,52,61,44,87,28,60,69,2,11,34,64,36,58,43,0,100,47,54,54,46,41,37
2012-09-01,39,0,45,56,22,37,46,29,69,19,18,33,79,59,56,35,68,33,73,65,46,8,51,60,42,85,33,63,97,2,43,38,69,35,60,57,0,73,40,49,45,66,53,39
2012-10-01,38,0,41,63,24,33,36,30,71,19,22,38,88,57,52,26,63,36,73,55,52,8,52,61,40,87,30,66,92,2,38,33,65,33,69,79,0,55,38,50,59,82,67,42
