date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,government jobs,loan interest,market prices,power cut schedule,train schedule,train ticket price,economic policies,national economy
2012-01-01,55,0,46,0,20,0,54,53,0,58,48,0,12,0,0,100,25,83,12,0,42,100,14,0,85,0,43,0,60,0,0,0,77,0,0,0,0,0
2012-02-01,49,0,46,0,18,0,50,51,18,0,57,83,10,0,0,53,34,75,12,0,71,78,12,0,76,0,37,0,69,0,0,0,69,0,0,0,0,0
2012-03-01,51,0,50,0,16,0,54,68,21,63,49,0,10,0,0,53,22,73,13,0,85,86,11,0,81,0,40,0,65,0,0,0,0,0,0,0,0,0
2012-04-01,54,0,48,0,19,0,57,64,15,0,48,0,9,0,0,60,25,77,15,0,71,70,12,0,78,0,41,0,53,0,0,0,0,0,0,0,0,0
2012-05-01,51,0,48,0,24,0,49,68,26,0,60,87,7,0,79,52,17,71,17,0,54,63,13,0,83,0,44,0,45,0,0,0,0,0,90,0,0,0
2012-06-01,55,0,43,0,13,0,26,62,11,0,55,0,7,0,0,53,17,73,21,0,0,68,15,0,76,0,42,0,43,0,0,0,0,0,57,0,0,0
2012-07-01,74,0,41,0,18,0,60,60,32,0,56,0,8,0,0,59,16,73,28,0,43,59,18,0,80,0,44,0,40,0,0,0,0,0,66,0,0,0
2012-08-01,60,0,41,0,19,0,42,58,31,0,63,0,8,0,0,53,20,79,25,0,0,74,20,0,83,0,41,0,73,0,0,0,0,0,0,0,0,0
2012-09-01,61,0,50,0,17,0,48,59,21,0,59,95,8,0,0,56,24,89,20,0,0,72,17,19,94,0,40,0,62,0,0,0,74,0,79,0,0,0
2012-10-01,54,0,56,0,23,0,48,56,25,0,61,0,8,0,0,59,22,75,14,0,30,73,14,0,92,0,41,0,46,0,0,0,0,0,0,0,0,0
2012-11-01,52,0,55,0,16,0,46,49,19,0,59,0,8,0,54,55,22,80,9,0,44,88,12,0,78,0,38,0,46,0,0,0,0,0,0,0,0,0
2012-12-01,49,0,45,0,12,0,51,39,23,0,47,75,9,0,89,57,15,72,9,0,46,73,13,0,74,0,35,0,48,0,0,0,0,0,0,0,0,0
2013-01-01,46,0,45,0,21,0,61,44,30,0,48,0,8,0,0,53,15,75,10,0,38,77,12,17,80,0,35,0,52,0,0,0,0,0,42,0,0,0
2013-02-01,47,0,45,0,13,0,54,48,26,0,49,0,7,0,0,51,20,68,10,0,34,66,13,0,87,0,36,0,49,0,0,0,0,0,44,0,0,0
2013-03-01,45,0,49,0,20,0,47,50,26,0,51,71,7,0,0,46,15,66,11,0,33,59,12,0,79,0,38,100,46,0,0,0,69,0,0,0,0,0
2013-04-01,51,0,52,0,17,0,49,60,34,0,50,0,8,0,0,47,15,75,14,0,38,59,12,21,81,0,37,0,46,0,0,0,0,0,0,0,0,0
2013-05-01,50,0,44,0,14,0,44,53,35,0,55,78,7,0,0,50,18,67,18,0,35,49,15,0,82,0,38,0,48,0,0,0,0,0,0,0,0,0
2013-06-01,45,0,41,0,19,0,57,52,35,49,56,0,7,0,0,51,21,77,20,0,34,41,18,0,80,0,39,0,41,0,0,0,55,0,0,0,0,0
2013-07-01,48,0,45,0,15,0,35,49,40,0,63,0,7,0,0,51,15,76,31,0,0,51,19,0,81,0,41,0,56,0,0,0,70,0,49,0,0,0
