date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2012-01-01,42,0,59,0,17,0,0,19,38,23,0,78,64,85,0,29,29,13,87,39,42,63,93,53,9,78,0,33,0,44,0,0,0,0,80,0,41,0
2012-02-01,40,0,70,0,18,0,0,17,39,25,0,81,77,87,0,26,29,11,93,39,29,55,87,56,9,83,0,33,0,57,0,0,0,0,0,0,80,0
2012-03-01,37,0,67,0,17,0,0,17,42,29,44,95,69,100,0,25,31,12,89,40,32,74,93,50,0,80,0,37,0,29,0,0,0,0,0,0,83,0
2012-04-01,39,0,67,0,19,0,0,19,42,31,0,95,80,81,0,30,32,11,95,46,43,67,99,49,0,78,0,36,0,51,0,0,0,0,0,0,78,0
2012-05-01,38,0,73,0,21,0,100,22,43,33,0,95,67,72,0,22,33,12,100,44,67,78,91,51,0,81,0,38,0,58,0,0,0,0,70,0,88,0
2012-06-01,44,0,76,0,18,0,0,22,38,32,0,72,72,69,0,17,39,13,94,50,34,82,97,54,0,81,0,33,32,0,0,0,0,0,0,0,94,0
2012-07-01,69,0,77,0,13,0,0,19,35,33,0,70,66,66,0,24,35,12,92,54,34,70,74,62,9,75,0,33,0,40,0,0,0,0,0,0,92,0
2012-08-01,58,0,75,0,10,0,0,14,33,29,40,71,45,66,0,14,35,15,89,47,26,76,82,77,0,69,0,32,0,55,0,0,0,0,0,0,67,0
2012-09-01,44,0,73,0,14,0,0,18,41,35,33,73,86,60,0,20,36,15,89,44,39,100,85,57,9,77,0,34,0,49,0,0,0,0,0,0,81,0
2012-10-01,45,0,75,0,14,0,0,22,40,41,0,84,100,54,0,23,36,15,85,43,40,71,86,58,0,87,0,35,0,32,0,0,0,0,0,0,86,0
2012-11-01,38,0,70,0,19,0,0,23,37,41,0,94,69,51,0,34,35,15,78,44,24,72,100,50,0,74,0,34,0,34,0,0,0,27,0,0,38,0
2012-12-01,43,0,76,0,13,0,0,15,32,43,33,72,57,48,0,22,35,16,73,44,27,67,88,56,0,68,0,33,32,31,0,0,0,16,0,0,54,0
2013-01-01,42,0,82,0,16,0,0,18,34,38,0,84,45,50,0,25,37,16,77,39,25,71,89,53,0,73,0,34,0,35,0,0,0,14,0,0,100,0
2013-02-01,41,0,77,0,12,0,66,15,36,37,0,85,71,48,0,29,34,16,74,43,32,68,94,59,0,77,0,34,25,47,0,0,0,0,0,0,91,0
2013-03-01,43,0,82,0,18,0,0,18,35,40,32,93,50,49,0,22,33,17,74,40,25,62,92,56,8,71,23,34,0,37,0,0,0,18,0,0,99,0
2013-04-01,42,0,81,0,18,0,54,20,38,43,0,90,62,48,0,35,31,15,75,40,40,80,90,55,0,78,0,34,0,23,0,0,0,14,48,0,62,0
2013-05-01,41,0,81,0,17,0,62,16,34,42,34,82,60,46,0,16,31,15,70,41,42,69,78,57,0,75,0,33,0,43,0,0,0,17,0,0,73,0
2013-06-01,48,0,82,0,17,0,0,15,31,38,0,82,34,48,0,17,29,14,78,45,27,61,75,60,0,68,0,35,0,39,0,0,0,0,58,0,84,0
2013-07-01,53,0,76,0,14,0,0,14,31,38,22,90,40,45,0,12,33,16,73,45,22,56,64,73,6,68,25,35,0,39,0,0,0,15,0,0,50,0
