date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,government jobs,loan interest,market prices,power cut schedule,train schedule,train ticket price
2012-01-01,50,0,46,0,14,0,70,49,16,0,26,82,84,0,0,40,29,68,34,0,0,63,34,0,82,0,78,0,19,0,0,0,0,0,58,0
2012-02-01,51,0,51,0,18,0,66,50,30,0,34,91,85,0,0,47,49,73,36,0,0,62,36,0,90,0,72,0,35,0,0,0,0,0,63,0
2012-03-01,49,0,49,0,20,0,57,46,30,0,27,0,100,0,0,41,27,73,43,0,0,55,34,0,75,0,66,0,31,0,0,0,0,0,60,0
2012-04-01,55,0,47,0,20,0,76,49,14,0,22,0,88,0,0,61,29,68,49,0,0,63,38,0,83,0,73,0,41,0,0,0,0,0,49,0
2012-05-01,52,0,61,0,13,0,57,48,18,0,21,0,73,0,0,60,28,70,47,0,0,54,37,0,79,0,72,0,25,0,0,0,0,0,56,0
2012-06-01,54,0,49,0,12,0,77,47,23,0,24,0,73,0,0,51,25,70,61,0,0,67,38,68,83,0,66,0,33,0,0,0,0,0,59,0
2012-07-01,68,0,47,0,14,0,64,43,23,0,27,0,69,0,0,58,41,72,61,0,0,53,43,0,81,0,68,0,25,0,0,0,0,0,100,0
2012-08-01,59,0,46,0,15,0,37,40,18,0,28,0,63,0,0,49,21,68,57,0,0,51,48,55,76,0,68,0,25,0,0,0,0,0,70,0
2012-09-01,55,0,49,0,16,0,43,35,25,0,28,0,65,0,0,54,36,64,48,0,0,51,40,0,85,0,59,0,36,0,0,0,0,0,64,0
2012-10-01,48,0,42,0,18,0,44,39,21,0,31,0,57,0,0,52,34,66,34,0,0,44,42,0,76,0,61,0,26,0,0,0,0,0,64,0
2012-11-01,43,0,50,0,19,0,59,36,17,0,46,0,54,0,0,51,36,70,31,0,0,56,33,0,76,0,61,0,20,0,0,0,0,0,49,0
2012-12-01,46,0,43,0,14,0,73,38,19,0,28,0,54,0,0,51,45,66,30,0,0,47,41,0,77,0,57,0,25,0,0,0,73,0,44,0
2013-01-01,44,0,45,0,20,0,83,39,26,0,28,0,53,0,0,51,43,71,32,0,0,47,35,72,76,0,63,0,24,0,0,0,0,0,60,0
2013-02-01,45,0,51,0,14,0,64,34,21,0,27,0,50,0,0,48,37,68,39,0,0,45,37,0,75,0,59,0,27,0,0,0,0,0,48,0
2013-03-01,51,0,48,0,11,0,62,36,11,0,25,0,51,0,0,53,29,66,44,0,70,44,41,61,75,0,59,0,17,0,0,0,0,0,56,0
2013-04-01,53,0,53,0,14,0,79,40,23,0,28,0,49,0,0,58,35,75,45,0,0,47,41,0,80,0,65,0,41,0,0,0,92,0,50,0
2013-05-01,50,0,51,0,17,0,58,40,22,0,29,0,48,0,0,55,45,72,54,0,0,42,42,0,77,0,63,0,37,0,0,0,0,0,61,0
2013-06-01,54,0,45,0,14,0,63,40,23,53,29,0,48,0,0,54,35,84,52,0,0,51,46,47,78,0,65,0,33,0,0,0,0,0,54,0
2013-07-01,50,0,48,0,15,0,62,38,28,0,30,0,48,0,0,55,35,72,60,0,0,36,49,0,88,0,68,0,29,0,0,0,0,0,72,0
2013-08-01,51,0,51,0,13,0,54,39,30,0,34,0,46,0,0,54,36,72,59,0,0,39,54,0,87,0,65,0,22,0,0,0,0,0,69,0
2013-09-01,51,0,54,0,11,0,57,38,25,0,33,0,48,0,0,57,43,75,53,0,0,37,44,0,83,0,62,0,24,0,0,0,0,0,57,0
2013-10-01,50,0,61,0,12,0,80,42,28,0,30,0,49,0,0,69,42,81,38,0,0,38,45,0,95,0,75,0,43,0,0,0,0,0,62,0
2013-11-01,48,0,60,0,22,0,80,42,20,84,27,0,49,0,0,80,48,80,36,34,0,45,43,0,91,0,66,0,26,0,0,0,0,0,62,0
2013-12-01,49,0,59,0,16,0,72,40,26,0,29,0,51,0,0,78,38,82,36,0,100,35,49,0,90,0,73,0,32,0,0,0,0,0,84,0
2014-01-01,52,0,55,0,24,0,69,41,29,0,32,0,49,0,0,78,45,81,39,0,0,45,43,0,90,0,70,0,30,0,0,0,0,0,55,0
2014-02-01,48,0,56,0,13,0,75,43,31,0,30,0,47,0,0,78,46,84,42,0,0,43,44,0,90,0,67,0,37,0,94,0,0,0,57,0
2014-03-01,49,0,55,0,18,0,90,45,30,49,38,0,44,0,0,82,34,86,52,0,0,52,47,0,84,0,72,0,31,0,0,0,0,0,62,0
2014-04-01,60,0,60,0,14,0,62,39,24,65,29,0,45,0,0,69,59,80,60,0,0,54,54,0,89,0,63,0,31,0,0,0,0,0,54,0
2014-05-01,55,0,58,0,15,0,79,41,30,0,30,0,46,0,0,78,72,82,62,0,0,45,52,0,87,0,66,0,41,0,0,0,57,0,69,0
2014-06-01,56,0,56,0,20,0,66,39,23,0,34,0,47,0,0,84,42,81,66,0,0,84,51,45,80,0,69,0,20,0,0,0,0,0,76,0
2014-07-01,58,0,48,0,18,0,68,35,26,55,86,0,45,0,0,70,38,72,55,0,0,65,43,0,76,0,61,0,40,0,0,0,0,0,52,0
2014-08-01,55,0,55,0,22,0,47,36,27,61,56,0,46,0,0,73,48,82,61,0,0,43,49,0,82,0,64,0,31,0,0,0,0,0,47,0
2014-09-01,58,0,48,0,19,0,56,44,30,0,33,0,50,0,0,81,40,79,57,0,0,52,48,0,86,0,63,0,38,0,0,0,0,0,68,0
2014-10-01,65,0,59,0,17,0,65,41,22,58,32,0,50,0,0,84,60,72,45,0,0,45,52,0,80,0,70,0,56,0,0,0,0,0,56,0
2014-11-01,81,0,65,0,24,0,63,44,29,62,37,0,50,0,0,99,58,72,34,0,0,41,49,0,95,0,67,0,35,0,0,0,0,0,53,0
2014-12-01,86,0,62,0,20,0,69,43,33,79,32,0,50,0,0,90,57,78,37,0,0,43,51,0,88,0,66,0,31,0,0,0,68,0,58,0
2015-01-01,72,0,63,0,22,0,74,41,30,0,37,0,47,0,0,94,45,71,42,33,0,43,45,0,89,0,63,0,36,0,0,0,0,0,40,0
