date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,29,8,48,47,71,34,76,36,68,32,31,36,42,84,84,34,76,25,56,57,32,34,31,31,23,87,61,46,59,89,38,38,83,40,95,20,0,29,1,18,15,61,53,70
2012-02-01,28,18,58,56,73,38,75,37,68,33,35,39,45,91,88,34,75,25,61,56,37,35,29,34,21,92,53,46,64,98,47,33,79,44,100,16,68,33,1,17,25,66,55,74
2012-03-01,29,50,47,47,64,41,66,34,67,35,32,43,41,84,84,33,73,24,60,69,39,34,31,30,23,90,64,46,70,95,38,39,81,43,90,17,70,34,2,19,0,58,52,85
2012-04-01,30,62,47,43,64,47,75,33,65,33,42,37,46,69,100,43,79,29,60,62,33,22,36,33,25,95,53,47,68,98,45,38,73,50,81,12,100,40,2,17,0,56,49,68
2012-05-01,30,64,47,53,60,44,91,32,65,32,43,37,40,66,97,43,78,22,56,63,33,19,26,34,25,96,52,48,88,92,36,41,74,51,87,13,80,42,2,14,16,54,47,75
2012-06-01,32,41,45,53,71,43,81,32,73,30,40,38,40,68,97,42,78,21,56,59,32,18,35,34,29,100,53,50,100,90,34,38,81,41,80,8,72,44,2,16,21,61,53,80
2012-07-01,37,18,49,57,64,40,70,33,73,33,38,42,39,64,97,33,79,24,57,62,30,27,28,33,24,99,56,48,94,93,52,45,82,45,73,14,72,52,2,14,17,58,51,87
2012-08-01,39,11,46,54,66,43,72,35,70,34,41,47,48,64,89,34,84,28,55,59,34,16,29,35,31,93,60,49,87,88,56,43,86,43,81,12,59,41,2,14,16,63,54,89
2012-09-01,33,11,47,54,70,46,69,33,67,36,36,40,52,65,97,40,84,26,55,58,37,15,27,35,24,86,61,50,72,86,59,37,83,44,80,13,47,39,2,15,0,67,59,87
2012-10-01,34,11,49,50,66,49,72,32,65,34,35,41,43,63,89,33,77,26,52,56,35,16,29,31,21,79,50,50,69,82,61,33,72,42,81,13,79,49,2,14,14,62,50,80
2012-11-01,31,7,45,59,54,40,65,32,63,30,35,45,39,56,83,32,76,20,53,49,28,18,40,32,26,73,54,47,66,84,44,31,69,37,68,16,47,51,2,16,0,55,46,71
