date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,51,0,42,0,26,0,0,64,23,15,28,26,52,90,18,42,32,21,62,9,0,24,62,14,5,34,3,26,0,29,0,0,0,20,0,0,19,0,0,36,55,9,71,17
2012-02-01,49,0,55,0,27,0,0,55,24,22,27,25,55,91,20,23,31,23,56,9,21,25,53,16,5,32,2,26,0,33,0,0,24,0,0,0,28,0,0,30,39,9,67,17
2012-03-01,48,0,58,31,30,0,0,53,25,19,25,25,84,100,19,33,31,22,54,12,20,26,52,15,7,36,0,26,0,24,0,0,0,0,0,0,41,0,0,26,36,11,69,18
2012-04-01,49,0,56,0,24,0,0,64,22,18,29,25,74,71,19,0,47,22,52,12,16,21,61,17,8,32,0,28,0,30,0,0,0,0,0,0,40,0,0,29,46,11,65,17
2012-05-01,45,0,60,0,28,0,43,63,24,15,31,29,59,64,16,0,44,18,51,14,0,25,52,20,5,34,0,26,0,21,0,0,0,0,39,0,67,0,0,32,59,14,72,17
2012-06-01,49,0,50,0,28,0,0,60,24,17,42,29,73,61,22,21,42,19,52,17,0,31,53,18,6,32,0,26,0,33,0,0,0,0,0,0,85,0,0,28,100,13,82,17
2012-07-01,47,0,56,0,30,0,0,69,23,22,27,30,45,59,0,37,38,23,52,20,17,18,40,23,6,33,2,25,0,31,0,0,0,0,35,0,90,0,0,28,33,9,70,18
2012-08-01,50,0,53,0,19,0,0,59,22,22,0,31,45,62,0,25,34,23,48,17,0,17,70,25,7,33,0,22,0,34,0,0,0,0,0,0,67,0,0,27,25,7,68,18
2012-09-01,48,0,62,0,31,0,38,66,24,24,42,25,47,56,0,29,35,22,71,13,0,25,100,22,7,38,3,24,31,25,0,0,0,13,0,0,83,0,0,29,32,8,77,18
2012-10-01,44,0,55,0,28,0,0,55,23,17,0,27,42,50,15,28,36,20,62,10,18,30,74,19,7,37,0,25,32,22,0,0,17,0,0,0,76,0,0,29,35,7,69,19
2012-11-01,44,0,73,0,24,0,0,55,22,17,25,26,66,45,0,35,33,23,55,8,13,36,73,18,6,34,2,23,0,27,0,0,0,0,27,0,35,0,0,31,37,8,61,15
2012-12-01,46,0,67,0,22,61,0,56,20,16,37,27,43,52,16,29,33,17,50,8,0,15,54,18,6,29,0,23,0,28,0,0,0,0,0,0,25,0,0,24,33,8,57,14
2013-01-01,45,0,64,0,27,0,0,60,23,15,29,31,61,46,15,41,32,22,64,10,15,14,47,16,8,38,3,22,0,27,0,0,18,0,0,0,22,0,0,29,33,8,68,18
2013-02-01,47,0,68,0,21,0,0,69,22,17,40,29,60,40,0,35,31,19,58,9,0,30,54,16,7,30,2,22,44,31,0,0,0,0,0,0,27,0,0,23,29,9,65,16
2013-03-01,44,0,68,0,24,0,0,51,23,21,35,30,69,42,0,28,30,17,57,11,13,28,44,19,7,34,2,22,39,27,0,0,0,0,22,100,38,0,0,27,34,10,62,16
2013-04-01,46,0,68,0,26,0,0,62,22,22,0,31,54,40,15,17,31,25,60,13,0,18,43,20,5,34,0,22,0,34,0,0,0,13,0,0,49,0,0,28,39,10,66,17
2013-05-01,43,0,67,0,30,0,0,87,24,25,32,31,51,39,0,26,31,21,61,14,0,24,38,21,4,37,3,23,26,29,0,0,0,0,35,0,68,0,0,25,37,10,66,18
2013-06-01,45,0,60,0,28,0,0,63,24,21,22,33,62,39,22,26,31,24,56,17,17,26,33,21,6,32,2,23,0,40,0,0,0,0,0,0,86,0,0,31,53,8,74,17
2013-07-01,42,0,57,0,24,0,0,69,22,24,32,38,50,42,0,34,27,22,55,20,0,23,31,24,6,34,0,22,36,30,0,0,0,0,0,0,82,30,0,22,18,6,64,15
2013-08-01,46,0,55,0,25,0,43,56,21,20,19,40,38,41,0,21,28,21,67,19,0,9,44,26,7,32,2,22,0,23,0,0,0,0,0,0,72,45,0,19,15,6,55,19
2013-09-01,42,0,59,0,23,0,35,61,22,15,17,33,38,39,15,0,31,19,76,13,12,33,48,22,6,38,2,22,33,28,0,0,13,9,31,0,80,29,0,23,17,8,76,17
2013-10-01,40,0,61,0,25,0,0,65,25,26,38,36,72,43,18,36,45,23,71,12,10,16,45,21,7,38,2,23,38,26,0,0,15,0,0,0,63,0,0,24,23,8,63,17
2013-11-01,42,0,77,0,29,0,32,62,25,20,33,34,55,39,14,33,46,24,68,10,13,14,44,19,6,37,2,24,40,15,0,0,12,0,27,0,35,0,0,24,22,9,65,19
2013-12-01,46,0,61,0,27,0,0,66,24,25,20,36,32,42,0,34,44,22,66,10,0,21,39,20,7,30,2,23,27,30,0,0,0,0,0,0,33,0,0,24,22,8,60,14
2014-01-01,54,0,71,0,30,0,0,69,25,25,30,38,63,37,0,21,43,25,73,10,10,27,43,18,7,39,2,23,49,34,0,0,12,9,23,0,26,23,0,27,24,10,66,19
2014-02-01,44,0,69,0,25,0,0,64,24,19,36,36,53,36,21,31,43,23,71,11,0,27,44,19,6,38,1,23,40,42,0,0,0,0,0,0,32,0,0,28,22,10,66,18
2014-03-01,44,0,65,27,33,0,0,54,23,20,17,36,56,36,15,34,46,21,68,13,0,24,39,21,7,39,2,24,0,28,0,0,0,0,0,0,35,0,0,24,19,10,67,18
2014-04-01,49,0,64,0,29,0,0,54,24,26,24,34,69,36,18,34,43,25,67,15,19,20,43,22,9,36,2,22,24,23,0,0,0,0,40,0,54,0,0,27,18,9,65,18
2014-05-01,48,0,60,0,32,0,0,64,26,28,21,35,61,38,20,45,45,31,67,16,15,24,38,24,7,35,2,23,46,29,0,0,16,11,25,0,69,0,0,26,21,10,67,18
2014-06-01,50,0,56,0,31,0,42,65,24,25,34,40,70,36,0,37,42,26,72,20,0,22,50,23,8,35,0,22,41,36,0,0,16,0,0,0,93,32,0,27,23,10,72,17
2014-07-01,49,0,64,0,27,0,0,95,23,28,18,41,43,39,17,39,40,29,70,24,10,18,39,28,8,35,0,23,39,33,0,0,0,0,27,0,87,0,0,21,11,8,68,19
2014-08-01,50,0,59,0,32,0,0,60,23,26,31,45,40,40,23,29,39,22,58,22,0,16,39,34,11,42,3,21,0,34,0,0,18,0,0,0,69,34,0,22,12,6,62,19
2014-09-01,50,0,63,30,31,0,0,53,28,24,28,38,53,40,21,30,49,27,86,17,11,20,43,26,12,44,2,24,51,32,0,0,14,0,39,0,78,0,0,25,15,10,77,21
