date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,100,0,69,0,39,0,0,48,52,25,27,63,100,92,56,63,49,13,95,38,0,48,88,34,0,59,35,63,0,43,0,0,100,43,0,0,56,0,0,34,31,100,99,88
2012-02-01,79,0,74,0,36,0,0,51,52,33,29,63,70,91,63,71,45,16,100,41,61,55,88,36,0,56,0,63,0,55,0,0,42,0,0,0,74,0,0,25,22,62,87,98
2012-03-01,74,0,73,0,30,0,0,50,48,26,35,58,88,100,0,62,45,11,96,41,69,55,94,35,0,56,0,64,0,45,0,0,0,45,0,0,74,0,0,25,16,54,73,93
2012-04-01,86,0,66,0,37,0,0,47,51,20,50,65,63,71,66,55,100,10,92,41,0,57,89,36,0,52,31,62,0,35,0,0,48,0,0,0,97,0,0,28,17,66,82,100
2012-05-01,89,0,70,0,33,0,0,48,55,32,41,59,88,60,61,69,76,11,84,44,46,35,100,34,0,53,0,60,0,24,0,0,46,0,0,0,69,0,0,27,19,65,81,88
2012-06-01,78,0,75,0,26,0,0,50,56,23,39,66,95,51,63,52,61,13,82,40,48,65,93,32,0,51,25,59,0,43,0,0,57,44,35,0,70,0,0,29,26,69,85,88
2012-07-01,78,0,68,0,27,0,0,43,50,17,49,70,80,45,0,63,62,14,82,41,40,56,75,33,18,48,20,67,0,34,100,0,43,25,0,0,77,0,0,26,21,84,85,84
2012-08-01,70,0,67,0,28,0,0,39,45,22,42,83,63,39,42,54,55,13,74,40,68,52,80,33,21,48,26,54,0,27,0,0,0,28,0,0,76,0,0,25,22,51,73,74
2012-09-01,87,0,75,0,29,0,0,43,44,28,40,63,53,43,0,60,59,17,73,35,39,58,78,32,0,48,21,56,0,28,0,0,49,31,0,0,69,0,0,21,19,54,74,79
2012-10-01,38,0,64,0,31,0,0,39,48,27,38,67,69,50,52,58,56,15,73,34,65,57,68,31,0,47,32,58,0,27,0,0,0,24,30,0,64,0,0,25,20,58,85,79
2012-11-01,31,0,71,0,35,0,0,40,42,24,39,65,64,39,0,62,60,13,70,29,43,56,65,31,0,44,24,56,0,26,0,0,35,0,33,0,70,0,0,26,20,67,82,73
2012-12-01,26,0,64,0,26,0,0,37,40,22,31,67,67,38,53,56,58,11,64,31,0,28,54,33,0,40,19,52,0,29,0,0,38,32,0,0,68,0,0,26,19,58,72,66
2013-01-01,25,0,67,0,36,0,0,48,43,22,37,65,78,37,49,59,58,13,69,35,47,44,55,28,0,46,36,54,0,41,0,0,42,28,0,0,61,0,0,28,22,82,97,75
2013-02-01,22,0,64,0,28,0,0,37,38,27,42,66,49,36,45,56,54,13,69,33,63,44,55,30,0,42,22,53,0,42,0,0,56,28,0,0,49,0,0,25,19,51,83,85
2013-03-01,21,0,64,0,29,0,80,35,41,18,23,65,49,36,0,51,50,10,67,34,41,37,59,30,0,41,23,52,0,22,0,0,33,21,0,0,80,0,0,20,17,38,75,88
2013-04-01,21,0,64,0,36,0,0,43,40,28,39,73,77,35,44,61,55,9,76,34,44,74,54,33,0,42,25,59,0,33,0,0,31,34,0,0,73,0,0,26,17,50,87,87
2013-05-01,23,0,61,15,34,0,0,42,41,33,34,71,44,36,0,64,57,12,67,36,81,45,59,34,23,42,0,66,0,31,0,0,45,35,0,0,60,0,0,25,20,61,95,78
2013-06-01,21,0,60,0,34,0,0,44,43,31,40,68,45,34,60,59,54,14,66,35,43,53,63,30,0,42,30,63,0,36,0,0,58,19,26,0,62,0,0,24,23,64,91,83
2013-07-01,22,0,53,0,34,0,0,49,40,28,34,94,82,32,37,56,54,13,63,37,35,44,70,30,14,41,0,56,0,28,0,0,36,26,0,0,68,0,0,51,25,74,100,77
2013-08-01,19,0,52,0,23,0,0,33,36,34,28,80,59,29,0,38,51,9,60,34,29,38,71,32,0,39,15,49,0,31,0,0,35,27,0,0,57,0,0,62,21,38,78,64
2013-09-01,17,0,66,0,26,0,0,37,38,27,30,78,44,34,35,91,54,20,60,32,31,39,66,29,0,38,15,53,0,29,0,0,44,26,0,83,49,0,0,100,19,46,90,70
2013-10-01,17,0,66,0,35,0,0,42,43,31,41,79,65,28,29,60,66,14,63,31,64,43,61,29,19,42,18,55,0,27,0,0,0,23,0,0,55,0,0,56,22,49,91,73
2013-11-01,17,0,64,0,29,0,0,41,40,37,30,76,73,33,37,69,69,15,68,32,0,45,70,29,0,41,34,53,0,24,0,0,48,32,0,0,60,0,0,35,22,55,93,70
2013-12-01,17,0,68,0,29,0,93,40,38,33,47,75,57,33,38,41,69,18,58,32,53,54,69,30,16,37,31,49,0,29,0,0,30,24,0,0,58,0,0,33,19,50,89,60
2014-01-01,19,0,66,0,36,0,0,43,44,33,35,77,59,30,49,52,69,18,61,34,44,47,79,30,16,42,36,50,0,38,0,0,50,22,0,0,47,0,0,34,24,70,100,72
2014-02-01,17,0,66,0,30,0,0,34,41,27,26,77,45,30,53,48,71,14,64,35,45,45,67,32,19,41,19,53,0,32,0,0,41,42,0,0,59,0,0,30,22,48,86,75
2014-03-01,19,0,55,0,33,0,0,37,39,25,30,81,49,31,53,58,74,15,59,40,56,52,70,31,15,38,28,49,49,32,0,0,38,30,0,0,55,0,0,33,18,37,81,72
2014-04-01,19,0,62,0,35,0,67,38,42,26,38,81,50,40,44,59,79,15,68,39,40,42,74,39,18,41,30,52,0,34,0,0,40,32,0,0,62,0,0,25,16,43,86,79
2014-05-01,20,0,62,0,42,0,0,44,41,32,37,81,66,37,48,55,79,16,62,36,57,34,75,31,18,44,24,49,46,27,0,0,37,35,22,0,59,0,0,26,18,55,80,75
2014-06-01,20,0,65,0,40,0,0,46,48,35,40,91,73,35,54,67,80,20,70,38,58,55,83,34,18,42,20,52,0,45,0,0,38,40,0,0,60,0,0,26,19,59,83,83
2014-07-01,19,0,61,0,35,0,0,45,45,26,51,87,74,33,59,73,79,16,69,41,54,61,79,35,18,46,34,50,0,30,0,0,24,0,0,0,65,0,0,26,18,67,91,75
2014-08-01,20,0,66,0,30,0,0,40,41,38,35,81,42,33,41,53,73,13,62,38,48,32,74,35,20,41,16,48,50,35,0,0,0,28,0,77,52,0,0,20,14,40,70,64
2014-09-01,19,0,62,0,31,0,0,43,49,34,42,84,43,33,77,50,88,18,65,39,58,48,77,35,19,43,16,57,0,46,0,0,33,47,30,0,48,0,0,25,13,44,78,72
2014-10-01,21,0,75,0,43,0,100,41,51,39,55,83,72,35,70,57,96,18,78,37,45,42,63,39,19,45,34,57,0,36,0,0,50,26,0,0,81,0,0,27,14,60,88,75
2014-11-01,23,0,71,15,42,0,0,48,49,35,54,78,67,38,66,56,95,17,70,34,0,61,52,34,25,43,29,56,0,36,0,0,43,33,0,0,69,0,0,24,16,64,89,70
2014-12-01,23,0,65,0,35,0,0,38,45,29,49,83,65,37,39,73,86,16,63,36,51,61,48,33,24,38,18,53,0,37,0,0,28,38,26,0,66,0,0,23,15,56,88,63
2015-01-01,22,0,60,0,39,0,0,42,45,31,41,100,83,32,56,59,84,16,68,36,61,55,53,34,22,43,36,49,0,37,0,0,37,30,0,0,52,0,0,34,18,66,95,77
2015-02-01,17,0,61,0,38,0,0,45,46,33,38,94,50,31,42,62,79,14,68,40,63,39,49,36,25,46,19,51,0,28,0,0,56,48,28,0,43,0,0,28,17,50,86,80
2015-03-01,15,0,59,0,31,0,0,33,43,25,30,88,56,35,38,58,76,18,67,38,74,64,48,34,18,42,30,47,0,37,0,0,32,37,0,0,59,0,0,23,11,38,75,85
2015-04-01,18,0,60,0,34,0,0,42,46,31,44,80,57,39,31,73,82,19,70,43,37,56,47,38,22,44,19,50,0,38,0,0,46,64,0,0,72,0,0,22,11,45,86,84
2015-05-01,21,0,60,0,35,0,0,48,44,27,46,81,45,37,41,53,75,18,60,43,69,43,48,35,0,42,33,52,0,31,0,0,42,46,0,0,70,0,0,22,15,49,82,72
2015-06-01,17,0,59,0,37,0,0,43,50,29,36,85,55,36,36,66,79,16,71,42,63,53,48,34,22,42,28,51,0,30,0,0,44,40,0,0,63,0,0,33,18,57,83,83
