date,Age,Cosmetics,Inflation,Bank loan rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,cost of living,government jobs,loan interest,market prices,national economy,train schedule,Employment Rate,career opportunities,economic policies,train ticket price,power cut schedule,Forex rate,freelancing
2012-01-01,32,26,19,0,0,62,0,0,37,0,36,0,0,20,0,63,38,0,0,38,37,0,62,0,58,0,0,0,0,0,0,100,0,0,0,0,0,0
2012-02-01,32,31,28,0,0,49,0,0,37,0,42,0,0,21,0,70,43,0,0,36,41,0,59,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,31,24,20,0,0,55,0,0,36,0,42,0,0,20,0,84,37,0,0,43,37,0,58,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,34,33,22,0,0,58,0,0,36,0,32,0,0,24,0,71,47,0,0,23,38,0,63,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,33,45,25,0,0,52,0,0,37,0,30,0,0,22,0,67,59,0,0,47,35,0,62,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,32,37,29,0,0,45,0,0,38,0,30,0,0,21,0,67,45,0,0,67,36,0,57,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,43,39,21,0,77,56,0,0,36,0,30,0,0,21,0,60,61,0,0,32,41,0,58,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,40,18,17,0,0,56,0,0,37,0,27,0,0,23,0,76,74,0,0,41,45,0,67,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,32,42,20,0,0,61,0,0,39,0,28,0,0,23,0,56,32,0,0,37,40,0,65,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,31,41,18,0,0,53,0,0,43,0,29,0,0,21,0,94,30,0,0,49,43,0,58,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,31,43,20,0,0,44,0,0,39,0,32,0,0,24,0,65,26,0,0,72,44,0,69,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,36,33,16,0,0,56,0,0,38,0,34,0,0,21,0,54,27,0,0,33,44,0,52,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,35,30,32,0,0,52,0,0,41,0,22,0,0,24,27,70,44,0,0,36,41,0,55,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,29,35,15,0,0,50,0,0,43,0,25,0,0,20,0,63,40,0,0,30,43,0,64,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,29,49,20,0,0,50,0,0,41,0,29,0,0,23,0,69,40,0,0,39,45,0,62,0,66,0,0,93,0,0,0,0,0,0,0,0,0,0
2013-04-01,38,36,23,0,0,52,0,0,44,0,27,0,0,24,0,65,57,0,0,34,44,0,64,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,38,31,22,0,0,51,0,0,40,0,25,0,0,22,0,61,51,0,0,32,46,0,64,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,39,31,0,0,0,39,0,0,45,0,24,0,0,23,0,59,55,0,0,15,43,0,68,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,36,28,15,0,63,46,0,0,49,0,27,0,0,25,0,75,55,0,0,30,44,0,63,0,54,0,0,0,0,0,0,0,0,0,0,0,0,100
2013-08-01,33,61,0,0,0,48,0,0,47,0,25,0,0,24,0,84,59,0,0,39,48,0,61,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,33,46,15,0,0,61,0,0,45,0,27,0,0,24,0,71,54,0,0,28,43,0,75,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,35,34,20,0,0,54,0,0,42,0,28,0,0,26,0,81,39,0,0,50,45,0,66,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11-01,31,55,23,0,0,54,0,0,40,0,32,0,0,27,34,84,44,0,0,54,46,0,63,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,37,51,0,0,0,59,0,0,45,0,34,0,0,26,44,66,28,0,0,42,46,0,58,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-01,38,43,22,0,59,85,0,0,46,0,27,0,0,27,0,70,53,0,0,43,43,29,75,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,36,50,19,0,68,74,0,0,44,0,30,0,0,30,0,87,53,0,0,24,54,0,79,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-01,34,32,21,0,0,66,0,0,52,0,28,0,0,27,0,89,51,0,0,52,45,0,74,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04-01,36,25,18,0,0,56,0,0,43,0,29,0,0,29,0,78,53,0,0,47,46,0,78,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-01,44,34,32,0,0,55,0,0,41,0,23,0,0,29,0,71,55,0,0,33,47,0,75,0,45,0,100,0,0,0,0,0,0,0,0,0,0,0
2014-06-01,42,30,18,0,0,53,0,0,45,0,26,0,0,27,0,77,56,0,0,100,41,0,69,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
