date,Age,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,drive,wage,active,rental,rebate,goal,restaurant,takeaway,training,childcare,care,cost of living,freelancing,government jobs,market prices,national economy,train schedule,Air Conditioner Price,applicant,annuity,career opportunities,economic policies,loan interest,train ticket price,power cut schedule
2012-01-01,50,50,0,19,0,0,56,30,0,0,32,0,85,0,60,0,86,13,0,66,26,0,54,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,49,53,0,0,0,0,0,26,0,0,32,0,84,0,60,0,91,13,0,32,26,0,52,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,48,54,0,0,0,0,59,31,0,0,33,0,89,0,52,0,81,13,0,37,24,0,56,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,47,50,0,0,0,0,48,27,0,0,26,0,70,0,62,34,73,11,0,39,30,0,52,0,21,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2012-05-01,41,45,0,0,0,0,52,29,0,0,25,0,67,0,56,0,61,13,0,57,28,0,47,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,51,40,0,0,0,0,81,20,0,0,28,0,65,0,53,0,77,16,0,77,22,0,53,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,72,39,0,0,0,0,0,22,0,0,30,0,66,0,52,0,66,19,0,41,26,0,51,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,62,54,0,0,0,0,0,25,0,0,32,0,63,0,56,0,73,21,0,28,34,0,54,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,53,51,0,0,0,0,0,31,0,0,30,0,64,0,62,45,83,15,0,53,26,0,54,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,49,47,0,0,0,0,57,30,0,0,29,0,59,0,55,0,87,15,0,57,27,0,59,0,19,0,0,0,0,0,83,0,0,0,0,0,0,0,0
2012-11-01,44,58,0,24,0,0,0,34,0,0,26,0,56,0,49,38,72,9,0,49,30,0,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,53,44,0,0,0,0,53,21,0,0,27,0,57,0,53,0,63,13,0,20,28,0,41,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,48,44,0,0,0,0,57,25,36,0,26,0,59,0,56,27,79,14,0,50,24,0,57,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,49,44,0,0,0,0,0,29,0,0,29,0,56,0,55,0,73,14,0,40,30,0,62,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,46,47,0,16,0,0,41,25,0,0,30,0,55,0,48,30,74,15,0,50,32,0,54,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,45,47,0,22,0,0,0,29,0,0,31,0,55,0,50,0,59,18,0,55,29,0,54,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,42,45,0,0,0,0,42,28,0,0,27,0,56,0,49,0,60,14,0,51,27,0,48,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,41,32,0,0,0,0,0,20,0,0,31,0,51,0,51,0,67,21,0,44,32,0,50,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,43,40,0,0,0,0,0,24,0,0,35,0,53,0,52,0,66,20,0,37,38,0,61,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,41,45,0,0,0,0,46,27,0,0,32,0,54,0,62,29,67,20,0,26,41,0,47,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
