date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2012-01-01,81,0,31,0,17,0,0,49,56,16,0,49,39,94,0,31,22,15,52,29,0,51,70,52,0,51,19,29,0,44,0,0,0,0,0,0,0,0,0
2012-02-01,74,0,33,38,17,0,0,50,52,22,34,50,36,89,17,41,21,16,53,28,0,33,54,58,0,52,0,29,0,60,0,0,0,0,0,0,0,0,0
2012-03-01,76,0,33,0,17,0,0,53,47,18,0,48,53,100,16,40,19,16,52,30,0,57,59,53,0,51,0,30,0,36,0,0,0,0,45,0,0,0,0
2012-04-01,92,0,33,0,14,0,0,47,47,19,0,45,54,71,17,0,24,16,52,29,0,46,62,51,0,49,0,35,0,23,0,0,0,0,0,0,0,0,0
2012-05-01,75,0,34,0,15,0,0,56,46,20,29,41,40,66,16,27,23,14,53,26,22,49,71,52,0,51,0,35,0,37,0,0,43,0,0,0,0,53,0
2012-06-01,85,0,35,0,11,0,0,56,43,21,0,43,25,64,17,0,21,15,52,29,0,33,80,52,0,51,0,31,0,30,0,0,54,0,0,0,0,68,0
2012-07-01,96,0,34,0,10,0,0,54,44,23,0,47,28,64,0,0,25,14,51,35,0,35,71,55,0,58,0,31,0,34,0,0,0,0,0,0,0,0,0
2012-08-01,76,0,32,0,15,0,0,52,40,25,26,42,29,57,0,0,22,12,50,26,14,30,76,51,0,59,0,30,0,44,0,0,0,0,0,0,0,0,0
2012-09-01,66,0,31,0,16,0,0,50,39,23,0,40,56,54,0,36,23,17,48,24,0,29,57,51,0,52,0,28,0,46,0,0,0,0,0,0,0,0,0
2012-10-01,62,0,31,0,13,0,0,57,44,23,0,46,45,53,0,0,22,15,50,26,0,45,50,50,0,51,0,27,0,35,0,0,32,0,0,0,0,0,0
2012-11-01,62,0,31,0,14,0,0,50,36,20,0,47,39,56,0,0,23,14,46,28,0,38,55,51,0,48,0,27,0,41,0,0,0,0,44,0,0,0,0
2012-12-01,76,0,30,0,14,0,0,51,35,25,0,54,39,68,0,0,23,16,43,31,0,32,59,63,0,47,0,25,0,33,0,0,0,0,0,0,0,0,0
2013-01-01,65,0,30,0,13,0,0,51,42,25,0,49,35,64,12,0,23,15,48,31,14,37,68,51,0,62,0,29,0,26,0,0,65,0,0,0,0,0,0
2013-02-01,58,0,30,0,20,0,0,54,40,25,0,49,49,50,0,0,23,21,49,30,0,32,54,55,0,55,0,28,0,28,0,0,0,0,0,0,0,49,0
2013-03-01,63,0,30,0,19,0,0,51,38,28,31,50,36,50,0,0,23,17,47,33,0,47,49,56,0,59,0,29,0,35,0,0,43,0,0,0,0,0,0
