date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule
2012-01-01,45,0,46,0,20,0,0,55,32,16,32,29,74,65,39,0,48,8,54,100,33,11,50,66,20,98,97,66,0,8,0,0,92,25,44,0,55,0,0
2012-02-01,41,0,39,0,20,0,0,58,35,20,26,27,68,68,54,34,49,10,57,86,0,20,42,66,18,91,96,66,0,8,0,0,100,23,60,0,71,0,0
2012-03-01,39,0,43,0,28,0,0,89,38,20,46,26,96,68,53,0,43,10,58,89,100,18,48,63,22,90,84,62,0,6,0,0,76,27,46,0,62,0,0
2012-04-01,43,0,43,0,24,0,0,80,34,25,33,24,69,64,52,0,49,9,57,74,51,30,58,66,23,91,92,63,0,5,0,0,63,29,50,0,83,0,0
2012-05-01,44,0,49,96,30,0,0,88,39,23,33,26,100,61,61,31,49,8,63,74,68,32,65,73,25,100,100,70,0,5,0,0,65,40,43,0,60,0,0
2012-06-01,51,0,48,0,29,0,0,79,35,22,26,27,100,57,59,30,47,7,59,72,75,31,59,69,24,99,81,64,0,6,0,0,66,34,48,0,45,0,0
2012-07-01,47,0,50,0,21,0,0,58,34,23,25,31,88,54,65,0,46,7,55,74,31,28,40,68,22,92,91,64,0,5,0,0,61,30,49,0,75,0,0
2012-08-01,47,0,42,0,27,0,0,76,38,28,33,31,90,54,43,0,46,7,59,64,72,27,49,71,23,91,95,65,0,4,0,0,71,29,43,0,54,0,0
2012-09-01,46,0,44,71,32,0,0,80,37,31,39,26,73,53,86,0,46,8,54,75,0,24,46,67,23,90,84,63,0,4,0,0,58,22,50,0,68,0,0
2012-10-01,44,0,45,0,27,96,0,76,36,28,31,27,59,51,58,42,45,8,52,67,54,17,47,63,22,91,74,64,53,4,0,0,63,31,50,0,72,0,0
2012-11-01,42,0,45,0,21,0,0,68,32,27,0,30,63,56,62,42,48,8,53,70,30,15,53,71,25,76,73,66,98,4,0,0,64,24,52,0,86,0,0
2012-12-01,43,0,44,0,12,0,93,40,26,21,33,34,34,53,67,26,48,6,46,72,0,10,39,69,24,73,55,56,100,3,0,0,48,25,32,0,87,0,0
2013-01-01,44,0,41,0,16,0,0,45,31,22,24,33,51,53,36,0,48,7,49,91,29,12,42,68,25,90,91,61,0,4,0,0,71,31,58,0,69,0,0
2013-02-01,40,0,38,0,21,0,0,54,33,23,33,31,43,51,65,40,47,9,49,80,32,15,46,65,25,90,98,61,0,5,0,0,65,28,58,0,67,0,0
2013-03-01,45,0,37,0,27,0,0,79,35,28,29,32,52,60,34,35,50,9,52,76,47,17,43,64,26,79,88,60,66,4,0,0,56,35,43,0,66,0,0
2013-04-01,50,0,39,66,24,0,0,73,37,22,23,35,58,59,43,32,51,11,58,68,74,23,42,68,28,88,80,63,70,4,0,0,68,36,61,0,69,0,0
2013-05-01,47,0,41,61,27,0,0,85,37,29,27,31,53,57,55,33,49,9,55,64,54,27,48,72,27,88,80,61,0,5,0,0,53,35,63,0,64,0,0
2013-06-01,48,0,43,0,22,0,0,76,35,28,20,33,56,52,43,34,47,8,55,63,52,26,43,63,28,78,76,63,59,4,0,0,67,32,61,0,57,0,0
2013-07-01,51,0,43,0,22,0,98,50,36,22,35,38,45,48,18,22,47,7,58,75,48,21,37,68,28,84,80,62,0,5,0,0,61,36,49,0,50,0,0
2013-08-01,54,0,42,55,28,0,67,68,37,30,32,35,44,52,42,0,50,7,57,70,54,24,44,70,27,86,83,66,0,4,0,0,60,34,49,0,35,0,0
2013-09-01,50,0,41,50,27,0,0,79,37,29,24,36,52,57,54,0,52,8,57,71,50,22,47,65,29,84,73,65,0,4,0,0,68,31,58,0,49,100,0
2013-10-01,47,0,45,56,29,0,66,67,40,37,40,33,49,62,59,44,58,9,61,69,82,14,42,62,29,84,64,71,49,5,0,0,60,34,49,0,48,0,0
2013-11-01,46,0,49,53,19,0,0,59,35,30,46,32,40,53,41,0,64,8,54,72,43,15,40,73,30,78,70,62,68,4,0,0,54,24,55,0,59,0,0
2013-12-01,46,0,47,0,16,54,87,41,27,29,29,34,24,47,61,22,55,7,47,64,0,13,32,73,29,66,56,53,0,4,0,0,41,19,56,0,69,0,0
2014-01-01,53,0,46,0,16,0,0,48,31,24,21,37,31,55,62,46,53,7,51,95,0,11,34,70,32,87,75,65,0,4,0,0,67,37,51,0,59,97,0
2014-02-01,47,0,46,0,21,0,0,52,34,30,34,37,32,55,60,49,63,11,56,87,44,17,38,68,31,84,86,60,0,4,0,0,64,37,47,0,64,0,0
2014-03-01,54,0,44,55,27,0,0,74,38,30,46,51,37,54,53,52,72,12,61,81,65,17,45,64,34,81,71,74,0,4,0,0,60,45,41,0,72,0,0
2014-04-01,51,0,50,52,24,41,0,76,35,29,44,41,38,58,35,37,71,13,54,72,74,20,48,69,35,82,70,58,50,4,0,0,50,30,49,0,67,0,0
2014-05-01,54,0,55,66,31,0,0,78,39,34,27,37,39,61,49,37,72,11,59,64,74,25,51,74,37,86,72,65,46,3,0,0,57,36,57,0,66,0,0
2014-06-01,57,0,62,68,28,0,0,78,38,36,29,36,35,54,60,31,80,10,60,68,76,23,100,66,38,89,72,64,0,4,0,0,59,29,27,0,65,0,0
2014-07-01,60,0,55,0,21,0,0,59,38,27,18,40,32,52,70,31,66,11,55,69,44,26,82,68,38,86,74,64,0,5,0,0,57,27,52,0,62,0,0
2014-08-01,54,0,57,62,25,0,0,78,40,33,26,39,40,56,64,27,81,10,54,72,35,23,51,70,41,82,73,67,0,4,0,0,58,30,40,0,47,0,0
2014-09-01,55,0,49,64,29,0,90,90,40,29,31,41,42,55,77,25,81,12,54,68,35,26,46,66,35,87,72,67,67,5,0,0,55,35,45,95,34,0,0
2014-10-01,61,0,58,56,28,0,0,74,40,35,42,38,35,58,70,32,76,10,59,70,70,20,50,68,41,83,70,66,0,4,0,0,55,36,46,0,67,0,0
2014-11-01,71,0,60,0,23,0,0,61,35,32,21,36,25,59,75,35,83,11,56,71,31,18,42,71,39,79,73,72,47,4,0,0,62,38,36,0,60,0,0
2014-12-01,74,0,61,0,16,0,0,36,27,24,29,41,21,62,65,0,64,8,48,75,0,17,46,74,41,66,54,53,0,3,0,0,47,32,21,0,65,0,0
2015-01-01,70,0,53,0,18,0,78,51,33,24,28,40,22,64,65,42,62,10,52,90,30,14,40,70,40,83,76,59,50,5,0,0,59,44,53,0,81,0,0
2015-02-01,58,0,49,48,20,0,0,60,37,25,34,40,29,58,68,32,80,12,56,89,32,16,37,73,39,82,83,65,0,5,0,0,60,37,43,0,67,0,0
2015-03-01,59,0,52,70,24,0,91,76,40,28,49,39,38,61,63,51,90,13,60,82,83,18,43,63,39,81,78,70,0,5,0,0,61,40,48,0,100,0,0
2015-04-01,79,0,56,0,23,0,73,68,37,31,24,36,29,63,71,43,79,12,59,72,63,27,45,75,43,81,69,70,0,4,0,0,45,40,47,0,73,0,0
2015-05-01,75,0,46,71,31,0,70,85,41,25,33,38,32,62,65,28,91,11,61,67,59,27,46,73,44,84,74,71,0,4,0,0,49,38,53,0,59,0,0
2015-06-01,63,0,55,54,31,0,0,81,42,29,33,36,37,63,69,40,100,9,61,70,34,31,45,66,45,85,70,74,0,4,75,0,55,44,65,0,71,0,0
2015-07-01,68,83,58,69,22,0,68,63,39,30,34,38,24,62,68,33,84,10,58,76,30,26,38,71,48,84,71,72,0,4,0,0,62,48,72,0,74,0,0
2015-08-01,61,0,51,76,27,0,56,74,42,29,49,36,30,66,70,32,100,10,64,76,55,24,46,70,47,84,71,76,0,4,0,0,49,45,80,0,42,0,0
2015-09-01,63,0,53,80,28,0,0,81,42,29,30,37,34,66,60,58,97,10,60,73,38,23,44,69,48,86,73,74,0,4,0,0,47,50,50,0,48,0,0
2015-10-01,62,0,52,43,27,0,100,76,40,34,44,40,37,67,66,32,84,10,61,72,52,18,46,66,46,77,65,71,0,4,0,0,44,39,64,0,66,0,0
2015-11-01,61,0,60,0,26,44,0,60,40,28,32,39,23,64,68,26,85,10,62,75,32,19,39,72,48,73,64,73,0,3,0,0,43,39,45,0,36,0,0
2015-12-01,61,0,51,0,21,0,0,41,32,24,28,37,21,66,66,31,71,9,50,77,0,14,33,80,49,67,50,63,0,4,0,0,38,46,44,0,53,0,0
2016-01-01,67,78,43,0,20,0,0,44,34,30,25,37,19,70,63,42,59,10,51,99,37,13,34,78,54,77,70,68,46,4,0,0,47,49,71,0,52,0,0
2016-02-01,59,96,46,0,20,0,0,47,40,27,35,40,17,68,61,34,89,14,59,87,44,13,41,76,51,76,84,81,42,5,0,0,44,37,66,0,59,0,0
2016-03-01,60,0,58,97,26,49,65,66,44,36,65,38,26,65,53,24,90,16,63,84,48,19,43,74,53,75,79,77,41,5,0,0,43,40,50,0,60,0,0
2016-04-01,69,0,76,67,30,0,0,78,44,37,38,36,27,67,62,44,77,16,60,74,50,22,45,79,56,76,70,72,0,4,0,0,39,40,59,0,67,0,0
2016-05-01,63,0,73,100,30,0,66,81,45,41,37,35,35,62,66,48,89,13,63,74,49,29,46,75,53,83,70,76,40,4,67,0,36,43,61,0,55,0,0
2016-06-01,61,0,85,84,27,0,74,79,43,32,49,38,24,66,60,44,89,11,60,73,48,23,50,71,55,76,67,73,60,4,0,0,37,42,58,0,37,0,0
2016-07-01,67,0,100,0,26,46,0,55,40,59,32,39,28,62,62,30,77,11,56,76,37,21,43,77,61,78,76,71,43,4,0,0,36,40,67,0,61,0,0
2016-08-01,60,0,97,52,27,0,72,73,43,52,29,37,23,56,52,30,91,11,59,70,70,27,44,76,54,78,76,75,0,4,0,0,32,40,36,0,48,0,0
2016-09-01,63,0,71,50,25,0,77,74,42,46,29,35,29,63,68,46,84,12,61,75,21,23,40,78,59,78,71,75,52,4,0,0,40,42,72,0,54,0,0
2016-10-01,62,0,69,0,28,0,0,71,42,36,33,39,31,66,64,53,81,13,61,75,47,21,43,75,62,69,65,78,44,4,0,0,36,32,44,0,61,0,0
2016-11-01,64,0,83,0,24,0,0,58,38,34,35,46,24,68,55,40,80,13,59,74,0,14,40,76,55,72,95,71,0,4,0,0,39,41,42,0,51,0,0
2016-12-01,62,0,66,0,13,0,0,41,30,38,20,37,17,75,42,32,64,11,49,73,20,14,32,85,63,57,49,61,0,4,0,0,29,35,38,0,50,0,0
2017-01-01,69,0,62,0,18,0,0,46,35,36,30,39,19,65,63,31,64,13,50,95,23,15,39,85,66,78,74,74,63,4,0,0,36,42,46,0,68,0,0
2017-02-01,60,65,56,46,22,0,0,58,39,30,18,39,18,68,66,28,87,16,61,87,22,19,38,77,63,74,75,73,48,4,0,0,35,43,50,0,74,0,0
