date,Age,Cosmetics,Employment Rate,Inflation,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,Air Conditioner Price
2012-01-01,47,41,0,15,0,58,60,9,0,31,81,100,0,0,39,24,75,18,0,0,56,9,9,63,0,73,0,36,0,0,0,0,0,0,0,0
2012-02-01,48,43,0,15,0,57,59,10,0,31,0,95,0,0,41,22,78,18,0,0,50,10,10,65,0,68,0,38,0,0,0,0,0,0,0,0
2012-03-01,50,41,0,12,0,59,61,15,0,30,92,95,0,0,37,21,75,17,0,0,54,9,0,61,0,67,0,34,0,0,0,0,0,0,0,0
2012-04-01,56,39,0,18,0,54,56,8,0,27,0,72,0,0,44,21,87,18,0,0,57,12,13,63,0,68,0,26,0,0,0,0,0,0,0,0
2012-05-01,43,40,0,9,0,59,58,9,0,27,0,67,0,0,38,14,76,19,0,0,51,15,8,60,0,65,0,33,0,0,100,0,0,17,0,0
2012-06-01,58,43,0,10,0,51,55,9,0,33,0,65,0,0,37,20,74,22,0,62,79,11,0,60,0,59,0,26,0,0,0,0,0,0,100,0
2012-07-01,62,36,0,10,0,75,54,14,0,35,0,68,0,0,40,23,66,27,0,0,50,13,9,67,0,63,0,19,0,0,0,0,0,20,0,0
2012-08-01,62,38,0,8,0,60,52,18,0,40,0,61,0,0,40,23,70,30,0,0,43,17,9,64,0,59,0,38,0,0,0,0,0,0,0,0
2012-09-01,48,37,0,14,0,68,60,16,0,33,0,57,0,0,42,35,73,26,0,0,39,19,8,62,0,61,0,39,0,0,0,0,0,0,0,0
2012-10-01,43,39,0,12,0,71,54,10,0,33,0,56,0,0,41,24,70,20,0,0,38,12,8,60,0,62,0,40,0,0,0,0,0,0,0,0
2012-11-01,43,39,0,10,0,76,47,10,0,30,0,57,0,0,41,25,68,17,0,0,48,11,11,59,0,64,0,52,0,0,0,0,0,0,0,0
2012-12-01,49,36,0,10,0,71,41,17,0,29,0,70,0,0,42,20,67,15,0,0,32,10,13,60,0,56,0,32,0,0,0,0,0,0,0,0
2013-01-01,42,50,0,11,0,81,54,13,0,30,0,55,0,0,40,19,79,17,0,0,40,10,7,66,0,67,0,38,0,0,0,0,0,0,0,0
2013-02-01,42,44,0,12,0,49,53,16,57,30,0,48,0,0,40,20,73,17,0,0,37,12,8,63,0,66,0,58,0,0,0,0,0,0,0,0
2013-03-01,46,48,0,13,0,70,56,10,0,33,0,46,0,0,39,28,69,20,0,0,37,18,11,60,0,60,0,30,0,0,0,0,0,0,0,0
2013-04-01,46,47,0,14,0,59,59,17,0,40,69,49,0,0,36,22,75,23,0,0,38,12,7,62,0,60,0,39,0,0,0,0,0,0,0,0
2013-05-01,44,44,0,12,0,79,56,17,0,37,61,46,0,73,35,18,70,23,0,0,33,17,10,60,0,58,0,15,0,0,0,0,0,21,0,0
2013-06-01,47,44,0,9,0,85,53,16,0,41,0,43,0,0,35,24,61,26,0,0,29,14,14,63,0,56,0,29,0,0,0,0,0,17,0,0
2013-07-01,54,44,0,11,0,75,53,19,0,51,0,44,0,0,38,20,62,32,0,0,27,16,8,67,0,59,0,42,0,0,0,0,0,21,0,0
2013-08-01,50,44,0,12,0,57,46,20,0,50,0,43,0,0,39,25,70,32,0,0,34,20,13,63,0,52,0,54,0,0,0,0,0,17,0,0
2013-09-01,42,38,0,13,0,78,59,16,0,41,0,45,72,0,42,22,71,24,0,0,32,16,10,66,0,57,0,31,0,0,0,0,0,32,0,0
2013-10-01,37,44,0,13,0,74,61,21,0,37,55,49,0,0,56,19,72,23,0,0,38,21,12,67,0,60,0,32,0,0,0,0,0,24,0,0
2013-11-01,41,46,0,17,0,71,52,18,0,36,0,52,0,0,57,29,70,18,0,0,35,16,12,67,0,63,0,43,0,0,0,0,0,0,0,0
2013-12-01,48,40,0,12,0,88,48,16,0,38,0,61,0,0,55,19,65,17,0,0,32,16,15,61,0,52,0,34,0,0,0,0,0,0,0,0
2014-01-01,46,42,0,13,0,65,60,18,37,39,0,49,0,0,56,25,71,21,0,0,33,11,11,70,0,55,0,63,0,0,0,0,0,0,0,0
2014-02-01,43,46,0,11,0,64,53,20,0,37,0,43,0,96,55,30,76,20,0,0,38,16,12,68,0,55,0,61,0,0,0,0,0,19,0,0
2014-03-01,44,42,0,16,0,56,56,19,0,44,0,44,0,0,56,22,76,21,0,0,32,17,13,68,0,58,0,69,0,0,0,0,0,21,0,0
2014-04-01,47,41,0,13,0,64,58,17,0,41,63,43,0,0,59,21,64,26,0,0,34,20,20,72,0,52,0,27,0,0,0,0,0,15,0,0
2014-05-01,48,40,0,11,0,62,54,20,0,44,0,47,0,0,57,21,66,27,0,0,32,20,13,73,0,57,0,31,0,0,0,0,0,30,0,0
2014-06-01,50,36,0,15,0,70,49,15,59,46,0,41,0,0,49,21,63,32,0,0,56,17,18,68,0,51,0,45,0,0,0,0,0,34,0,0
2014-07-01,55,39,0,13,0,63,55,20,62,54,0,45,0,0,49,24,62,40,0,0,44,21,18,69,0,55,0,34,0,0,0,0,0,35,0,0
2014-08-01,54,39,0,12,0,66,47,20,0,59,0,44,0,0,51,25,68,40,0,0,40,28,18,71,0,49,0,43,0,0,0,0,0,46,0,0
2014-09-01,49,43,0,15,0,67,63,12,0,51,74,44,0,0,63,29,74,33,0,0,41,24,21,68,0,52,0,42,0,0,0,0,0,26,0,0
2014-10-01,55,40,0,13,0,70,61,14,0,45,83,46,0,0,67,26,71,24,0,0,39,27,16,71,0,51,0,27,0,0,0,0,0,39,0,0
2014-11-01,63,48,0,16,0,62,54,16,0,39,77,51,0,0,62,27,69,19,0,0,34,16,14,67,0,52,0,36,0,0,0,0,0,24,0,0
2014-12-01,72,42,0,20,0,69,50,19,46,45,0,49,0,0,59,31,64,19,0,0,39,14,16,62,0,44,0,48,0,0,0,0,0,20,0,0
2015-01-01,63,49,0,20,0,72,62,17,0,46,0,46,0,0,62,28,72,23,0,0,34,13,17,80,0,53,0,58,0,0,0,0,0,16,0,0
2015-02-01,49,46,0,16,0,44,60,16,0,42,0,42,0,0,62,33,71,22,0,0,42,20,11,71,0,53,0,50,0,0,0,0,0,0,0,0
2015-03-01,54,44,0,12,0,59,59,21,0,45,89,45,81,0,59,25,71,27,0,0,45,20,20,72,0,52,0,43,0,0,0,0,0,19,0,0
2015-04-01,57,44,0,15,0,71,60,17,0,46,0,47,0,0,56,25,71,29,0,0,50,21,16,76,0,51,0,46,0,0,0,0,0,24,0,0
2015-05-01,62,44,0,15,0,60,56,22,0,48,0,48,0,0,60,34,67,34,41,0,41,23,18,73,0,49,0,48,0,0,0,0,0,28,0,0
2015-06-01,52,38,0,14,0,53,54,16,0,52,0,47,0,0,54,25,63,37,0,0,25,22,25,70,0,47,0,39,0,0,0,0,0,17,0,0
2015-07-01,59,39,0,10,0,55,53,17,48,61,0,48,0,0,50,39,67,43,0,64,29,30,22,81,0,48,0,51,0,0,0,0,0,41,0,0
2015-08-01,56,41,0,12,0,45,51,25,0,56,0,50,0,0,56,30,60,42,0,0,37,34,26,69,0,44,0,57,0,0,0,0,0,38,0,0
2015-09-01,48,42,0,17,0,65,56,18,0,52,0,53,0,0,61,36,69,38,0,0,35,29,17,71,0,53,0,41,0,0,0,0,0,44,0,0
2015-10-01,42,46,0,16,0,75,56,19,0,45,0,52,0,0,68,28,66,29,39,0,28,29,21,77,0,49,0,31,0,0,0,0,0,40,0,0
2015-11-01,41,42,0,16,0,70,53,13,0,52,95,53,0,0,72,32,70,24,0,58,36,18,13,71,0,52,0,31,0,0,0,0,0,26,0,0
2015-12-01,47,44,0,13,0,59,47,16,0,39,0,52,0,0,65,35,67,19,0,0,30,17,16,69,0,47,0,49,0,0,0,0,0,0,0,0
2016-01-01,50,45,0,19,0,74,74,22,0,42,0,45,0,0,59,29,73,34,0,0,42,18,15,94,0,62,0,71,0,0,0,49,0,22,0,0
2016-02-01,45,52,0,15,0,70,65,18,68,44,0,46,0,0,58,31,71,36,0,72,40,27,18,88,0,62,0,65,0,0,0,58,0,19,0,0
2016-03-01,46,57,0,22,0,56,66,20,72,50,0,47,0,0,60,32,75,42,0,55,35,23,19,89,0,60,0,44,0,0,0,0,0,22,0,0
2016-04-01,44,56,0,16,0,75,69,18,53,44,0,51,61,100,57,32,64,49,0,0,38,25,16,89,0,55,0,43,0,100,0,55,0,32,0,0
2016-05-01,43,49,0,15,0,75,79,17,48,50,62,51,0,0,57,36,65,51,0,0,34,27,27,89,34,59,0,45,0,0,0,50,0,38,0,0
2016-06-01,48,50,0,14,0,74,65,21,0,65,0,48,0,0,50,38,57,57,0,61,64,29,25,86,0,55,0,40,0,0,0,66,0,46,0,0
2016-07-01,57,54,0,12,0,66,59,47,0,83,0,50,0,0,46,41,63,65,100,100,68,35,27,89,0,53,0,52,0,0,0,0,0,55,0,0
2016-08-01,52,65,0,16,0,62,54,45,0,69,0,43,0,0,45,39,60,64,58,0,37,40,32,82,39,49,0,59,0,0,0,0,0,61,0,0
2016-09-01,46,61,0,16,0,64,63,29,0,54,0,51,0,0,51,44,78,56,0,0,33,33,29,76,0,52,0,47,0,0,0,0,0,43,0,0
2016-10-01,42,56,0,18,0,84,60,24,0,53,0,53,0,0,62,33,75,43,0,0,34,30,35,82,65,54,0,47,0,0,0,53,0,43,0,0
