date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2012-01-01,44,0,48,0,27,0,0,51,18,0,0,50,56,98,0,0,74,21,86,9,0,30,95,22,0,23,0,20,0,29,0,0,0,0,0,0,0,0
2012-02-01,35,0,54,0,25,0,0,50,18,34,0,52,66,84,0,0,67,33,94,9,0,34,89,23,0,24,0,20,0,21,0,0,0,0,0,0,0,0
2012-03-01,37,0,52,0,32,0,0,61,22,35,0,56,62,86,0,49,66,34,100,10,0,21,89,24,0,22,0,22,0,0,0,0,0,0,100,0,0,0
2012-04-01,36,0,46,0,31,0,0,63,23,25,0,50,88,71,0,0,99,26,93,11,0,0,88,25,0,23,0,23,0,22,0,0,0,0,0,0,62,0
2012-05-01,33,0,48,0,31,0,0,56,22,49,77,50,65,67,0,0,79,28,88,11,0,0,94,23,0,22,0,21,0,23,0,0,0,0,74,0,0,0
2012-06-01,36,0,45,0,26,0,0,72,19,27,0,52,53,67,0,0,74,33,90,10,0,23,98,27,0,23,0,19,0,26,0,0,0,0,0,0,70,0
2012-07-01,39,0,52,0,25,0,0,51,19,22,0,46,49,66,0,50,75,15,90,14,0,27,65,25,0,21,0,19,0,0,0,0,0,0,0,0,62,0
2012-08-01,34,0,49,0,24,0,0,44,17,41,0,48,43,67,0,0,76,21,96,13,0,0,76,28,0,22,11,19,0,0,0,0,0,0,0,0,100,0
2012-09-01,31,0,44,0,29,0,0,79,17,30,0,54,72,70,0,29,71,26,91,10,0,0,88,26,0,21,0,18,0,0,0,0,0,0,0,100,48,0
2012-10-01,27,0,48,0,33,0,0,79,19,26,0,50,67,64,0,28,71,25,91,9,0,17,71,25,0,22,0,18,0,18,0,0,0,0,0,0,0,0
2012-11-01,27,0,42,0,25,0,0,72,17,23,61,48,59,63,0,28,69,29,79,7,0,22,76,23,0,18,0,18,0,18,0,0,0,15,0,0,55,0
2012-12-01,30,0,42,0,34,0,0,64,16,30,0,45,34,77,0,32,68,15,79,7,0,0,66,24,0,17,0,18,0,15,0,0,0,0,0,0,47,0
2013-01-01,34,0,47,0,24,0,0,46,16,29,0,41,42,74,0,23,75,20,75,8,0,23,67,21,0,18,0,18,0,16,0,0,0,0,0,54,54,0
2013-02-01,29,0,47,0,24,0,0,56,19,32,64,46,51,69,0,36,73,25,76,8,0,0,72,21,0,20,0,21,33,18,0,0,0,0,60,0,36,0
2013-03-01,31,0,50,0,23,0,0,56,17,36,100,44,49,70,0,43,73,25,73,9,0,0,62,24,0,20,0,21,0,13,100,0,0,0,0,61,58,0
2013-04-01,34,0,45,0,31,0,0,54,18,31,0,45,55,67,0,25,68,26,76,11,0,21,72,23,11,20,0,21,0,16,0,0,0,0,0,0,41,0
2013-05-01,33,0,43,0,31,0,0,51,16,27,65,50,70,69,0,21,65,29,74,9,0,17,68,23,0,19,0,19,0,21,0,0,0,13,0,0,57,0
2013-06-01,34,0,40,0,28,0,0,55,14,21,0,54,45,67,0,33,65,22,79,10,0,0,62,24,0,19,0,19,0,18,0,0,0,0,0,0,39,0
2013-07-01,35,0,44,100,25,0,0,56,14,28,0,53,48,63,0,0,61,21,86,11,0,17,54,25,0,20,0,19,0,0,0,0,0,0,0,0,55,0
2013-08-01,40,0,49,0,18,0,0,52,13,27,0,52,31,70,29,0,76,18,87,11,0,15,57,25,0,19,0,20,0,15,0,0,46,0,0,0,54,0
2013-09-01,33,0,46,0,26,0,0,43,15,37,0,51,33,72,0,31,74,15,81,8,0,18,69,25,0,19,0,19,0,19,0,0,0,0,0,0,52,0
2013-10-01,31,0,50,0,23,0,0,58,16,46,38,53,56,77,0,20,75,21,81,8,0,17,73,24,0,20,0,20,0,15,0,0,0,0,0,0,0,0
2013-11-01,32,0,49,0,25,0,0,54,14,36,0,53,44,82,0,0,75,23,80,7,0,0,60,25,0,19,0,19,0,0,0,0,0,0,0,0,46,0
2013-12-01,34,0,42,0,23,0,0,56,14,35,0,53,44,91,0,0,76,20,78,7,0,0,53,24,0,17,0,18,0,17,0,0,0,0,43,0,28,0
2014-01-01,41,0,44,0,23,0,0,42,13,31,41,51,38,87,0,0,71,18,71,8,0,0,56,20,0,19,0,18,0,11,0,0,0,0,61,0,30,0
2014-02-01,37,0,49,0,23,0,0,47,15,31,0,58,60,78,0,0,74,20,75,7,14,0,66,22,0,19,0,18,0,16,0,0,0,0,0,0,40,0
2014-03-01,36,0,50,0,25,0,0,46,13,30,0,100,34,74,0,16,73,27,73,7,0,0,61,21,0,17,0,20,0,13,0,0,0,11,0,50,37,0
2014-04-01,42,0,49,0,31,0,0,49,14,27,47,63,67,68,0,0,73,33,70,8,0,14,59,22,0,17,0,18,0,16,0,0,0,0,0,0,37,0
2014-05-01,40,0,45,0,29,0,0,46,14,35,45,59,58,68,0,21,73,23,70,7,0,15,54,20,0,18,0,18,0,21,0,0,0,0,0,0,38,0
2014-06-01,37,0,45,0,26,0,0,31,14,22,0,50,48,69,28,25,69,15,68,9,0,13,75,23,0,15,0,18,0,13,0,0,0,0,0,0,0,0
2014-07-01,41,0,48,0,24,0,0,47,12,18,41,68,32,79,0,22,73,25,67,9,0,26,64,22,0,18,0,17,0,11,0,0,0,0,0,0,32,0
2014-08-01,38,0,50,0,19,0,0,46,12,32,50,66,32,84,0,0,77,27,63,8,0,0,52,20,0,17,0,17,0,24,0,0,0,0,0,0,52,0
2014-09-01,32,0,45,0,28,0,0,52,14,36,36,52,37,88,28,22,79,28,64,7,0,0,53,19,0,16,0,17,0,15,0,0,0,0,0,0,40,0
2014-10-01,40,0,45,0,25,0,0,44,14,36,37,44,44,86,0,16,76,23,67,5,0,0,58,19,0,14,0,17,0,14,0,0,0,8,67,0,29,0
