date,Age,Cosmetics,Employment Rate,Inflation,confidence,health,weakness,trajectory,news,Economic development,market,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,freelancing,loan interest,market prices,national economy,power cut schedule,train schedule,Bank loan rate,Forex rate,onsite,economic policies,government jobs,train ticket price,applicant,Air Conditioner Price
2012-01-01,47,57,0,24,42,38,0,0,26,0,84,40,26,42,21,0,0,63,10,0,72,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,45,59,0,0,0,40,34,0,26,0,77,42,28,53,9,0,0,58,13,0,77,0,54,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2012-03-01,40,41,0,17,50,43,0,0,25,0,87,47,0,43,19,0,0,66,11,0,73,0,45,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
2012-04-01,45,48,0,24,0,39,0,0,23,0,63,63,32,40,21,0,0,82,13,0,73,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,42,48,0,0,0,37,0,0,24,0,56,60,0,45,27,0,0,86,13,0,68,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,49,37,0,25,0,42,0,0,24,0,52,50,0,41,23,0,0,100,14,0,67,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,59,48,0,19,0,41,0,0,28,0,54,49,31,38,28,0,0,88,15,0,77,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,50,45,0,0,42,39,0,0,30,0,50,48,0,36,28,0,0,89,15,0,83,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,44,45,0,0,0,41,0,0,26,0,52,51,39,44,17,0,0,70,14,0,88,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,40,38,0,0,0,38,0,0,28,0,43,47,28,40,22,0,0,64,11,0,68,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,37,43,0,17,61,42,0,0,24,0,39,45,0,37,14,0,0,64,12,0,68,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,41,45,0,0,39,33,0,0,27,0,43,47,0,40,10,0,0,57,12,0,75,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-01-01,37,50,0,13,35,40,0,0,27,0,39,49,0,47,17,0,0,62,12,0,77,0,53,0,0,0,0,0,100,0,0,0,0,0,0,97,0,0,0
2013-02-01,39,48,0,0,59,39,30,0,28,0,38,45,28,42,18,0,0,53,12,0,69,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,36,43,0,0,34,46,0,0,26,0,34,44,0,43,18,0,0,51,12,0,81,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
