date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,Forex rate,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,64,0,47,0,26,0,47,21,0,0,17,0,66,0,0,74,0,64,20,0,0,82,43,0,68,0,66,0,0,0,0,0,0,0,0,0,0,0,0,67,59,54,44,100
2012-02-01,61,0,58,0,0,0,0,19,0,0,17,0,56,0,0,65,35,61,23,0,0,63,44,0,67,0,58,0,0,0,0,0,0,0,0,0,0,0,0,53,60,83,39,96
2012-03-01,57,0,44,0,23,0,81,21,0,0,16,0,57,0,0,76,0,68,23,0,0,65,43,0,76,0,58,0,0,0,0,0,0,0,0,0,0,0,0,55,64,70,40,93
2012-04-01,58,0,51,0,14,0,0,19,0,0,15,0,48,0,0,94,49,62,31,0,0,76,43,0,74,0,60,0,0,0,0,0,0,0,0,0,0,0,0,60,62,97,43,80
2012-05-01,50,0,49,0,14,0,48,20,0,0,15,0,47,0,0,85,33,59,28,0,0,100,44,0,52,0,55,0,0,0,0,0,0,0,0,0,0,0,0,41,53,79,44,81
2012-06-01,59,0,43,0,22,0,44,20,0,0,15,0,43,0,100,77,29,64,29,0,0,77,51,0,75,0,54,0,0,0,0,0,0,0,0,0,0,0,0,42,32,72,34,89
2012-07-01,75,0,54,0,0,0,38,19,0,0,20,0,49,0,0,78,0,54,36,0,0,51,51,0,94,0,51,0,0,0,0,0,0,0,0,0,0,0,0,38,0,32,20,73
2012-08-01,63,0,53,0,15,0,75,17,27,0,20,0,52,0,0,81,31,63,38,0,0,55,50,0,88,100,58,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,19,83
2012-09-01,59,0,61,0,15,0,49,21,22,0,18,0,45,0,0,71,30,72,24,0,0,51,54,0,85,0,53,0,0,0,0,0,0,0,0,0,0,0,0,45,37,41,25,89
2012-10-01,53,0,46,0,19,0,45,20,0,0,21,0,48,0,0,69,29,65,18,0,0,48,50,0,81,0,54,0,0,0,0,0,0,0,0,0,0,0,0,54,70,38,35,81
2012-11-01,53,0,48,0,17,0,39,18,0,0,19,0,46,0,0,65,24,58,13,0,0,74,46,0,77,0,56,0,0,0,0,0,0,0,0,0,0,0,0,51,87,71,39,72
2012-12-01,59,0,42,0,15,0,38,17,0,0,17,0,45,0,0,72,0,52,17,0,0,45,41,0,70,0,51,0,0,0,0,0,0,0,0,0,0,0,0,32,41,71,29,51
2013-01-01,54,0,50,0,17,0,50,19,0,0,17,0,42,0,0,69,31,61,17,0,0,69,40,0,87,0,51,0,0,0,0,0,0,0,0,0,0,0,0,49,36,79,35,88
2013-02-01,50,0,51,0,20,0,57,20,0,0,18,0,38,0,0,66,25,51,19,0,0,64,48,0,77,0,54,0,0,0,0,0,0,0,0,0,0,0,0,41,41,59,32,86
2013-03-01,51,0,44,0,31,0,72,21,24,0,18,0,38,0,0,60,28,54,18,0,0,60,46,0,81,0,53,0,0,0,0,0,0,0,0,0,0,0,0,52,66,77,32,81
2013-04-01,56,0,47,0,18,0,47,22,25,0,20,0,37,0,0,60,27,52,21,0,0,62,46,0,83,0,55,0,0,0,0,0,0,0,0,0,0,0,0,61,61,100,42,82
2013-05-01,44,0,46,0,25,0,41,19,0,0,19,0,36,0,0,52,23,51,21,0,0,69,47,0,71,0,53,0,0,0,0,0,0,0,0,0,0,99,0,52,46,79,36,77
2013-06-01,52,0,39,0,17,0,31,16,22,0,20,0,37,0,0,59,24,55,27,0,0,50,46,0,78,0,54,0,0,0,0,0,0,0,0,0,0,0,0,31,37,56,28,78
2013-07-01,53,0,33,0,17,0,51,17,25,0,22,0,40,0,0,63,28,63,34,0,0,44,56,0,83,0,55,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,18,69
2013-08-01,53,0,52,0,15,0,61,18,28,0,23,0,43,0,0,62,0,57,32,0,0,49,51,0,76,0,55,0,0,0,0,0,0,0,0,0,0,0,0,18,0,42,18,68
2013-09-01,42,0,57,0,17,0,70,19,24,0,22,0,38,0,0,62,36,65,26,0,0,59,50,0,75,0,53,0,0,0,0,0,0,0,0,0,0,0,0,31,24,34,24,72
2013-10-01,43,0,57,0,20,0,0,20,0,0,20,0,39,0,0,70,33,60,22,0,0,59,50,0,80,0,58,0,0,0,0,0,0,0,0,0,0,0,0,41,45,67,35,71
2013-11-01,44,0,50,0,23,0,0,19,0,0,19,0,44,0,0,70,35,60,19,0,0,57,48,0,79,0,67,0,0,0,0,0,0,0,0,0,0,0,0,37,40,65,34,64
2013-12-01,52,0,55,0,17,0,52,19,18,0,20,0,39,0,0,79,28,60,18,0,0,51,41,0,70,0,51,0,0,0,0,0,0,0,0,0,0,0,0,39,26,62,26,46
2014-01-01,50,0,54,0,21,0,46,21,17,0,21,0,40,0,0,76,33,67,24,0,0,55,49,0,90,0,57,0,0,0,0,0,0,0,0,0,0,0,0,45,30,70,34,85
2014-02-01,42,0,48,0,20,0,56,18,19,0,21,0,37,0,0,75,28,63,26,0,0,57,52,0,80,0,51,0,0,0,0,0,0,0,0,0,0,0,0,31,48,60,30,76
2014-03-01,45,0,51,0,22,0,71,20,33,0,25,0,36,0,0,73,34,61,23,0,0,47,46,0,78,0,53,0,0,0,0,0,0,0,0,0,0,0,0,36,29,88,36,77
2014-04-01,45,0,48,0,22,0,31,21,22,0,22,0,40,0,0,72,48,61,24,0,0,50,45,0,83,0,49,0,0,0,0,0,0,0,0,0,0,100,0,39,57,81,33,67
2014-05-01,49,0,45,0,20,0,46,19,35,0,20,0,42,0,0,68,45,61,29,0,0,56,50,0,90,0,52,0,0,0,0,0,0,0,0,0,0,0,0,36,25,47,33,63
2014-06-01,47,0,39,0,15,0,30,20,21,0,21,0,39,0,0,69,26,57,31,0,0,87,55,0,76,0,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0,54,26,78
2014-07-01,53,0,48,0,14,0,41,18,0,0,25,0,43,0,0,65,37,62,35,0,0,58,61,0,89,0,46,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,15,59
2014-08-01,53,0,52,0,17,0,41,20,30,0,26,0,46,0,0,71,33,66,33,0,0,49,56,0,89,0,51,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,15,54
2014-09-01,46,0,58,0,0,0,64,21,20,0,21,0,42,0,0,77,29,67,27,0,0,39,52,0,83,0,54,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,23,66
2014-10-01,55,0,58,0,16,0,40,22,19,0,22,0,42,0,0,76,36,64,19,0,0,45,53,0,83,0,49,0,0,0,0,0,0,0,0,0,0,0,0,43,24,54,31,62
2014-11-01,70,0,61,0,22,0,41,23,0,0,19,87,45,0,0,76,37,60,18,0,0,52,47,0,68,0,50,0,0,0,0,0,0,0,0,0,0,0,0,28,40,81,34,56
2014-12-01,96,0,55,0,20,0,43,20,0,0,20,0,42,0,0,84,35,55,16,0,0,50,47,0,89,0,55,0,0,0,0,0,0,0,0,0,0,0,0,40,21,71,27,40
2015-01-01,68,0,61,0,29,0,48,21,0,0,22,76,41,0,0,74,38,68,21,0,0,46,48,0,78,0,50,0,0,0,0,0,0,0,0,0,0,0,0,44,26,45,30,69
2015-02-01,56,0,63,0,23,0,53,20,28,0,21,0,40,0,0,72,58,66,24,0,0,51,53,0,82,0,49,0,0,0,0,0,0,0,0,0,0,0,0,38,25,43,30,71
2015-03-01,48,0,59,0,25,100,46,21,27,0,21,0,38,0,0,69,41,64,25,0,0,43,55,0,73,0,52,0,0,0,0,0,0,0,0,0,0,0,0,54,24,56,30,70
2015-04-01,56,0,58,0,18,0,41,22,21,62,19,0,43,0,0,71,47,62,27,0,0,44,56,0,90,0,50,0,0,0,0,0,0,0,0,0,0,0,0,44,31,63,30,60
2015-05-01,67,0,54,0,21,0,42,20,21,0,21,0,46,0,0,71,44,56,25,0,0,56,56,0,81,0,47,0,0,0,0,0,0,0,0,0,0,0,0,65,17,53,32,59
2015-06-01,54,0,56,0,22,0,63,19,0,0,23,0,40,0,0,65,0,61,33,0,0,40,66,0,83,0,50,0,0,0,0,0,0,0,0,0,0,0,0,31,16,39,28,63
2015-07-01,56,0,66,0,0,0,50,17,24,65,25,0,45,0,0,62,30,55,40,0,0,42,67,0,88,0,47,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,17,46
2015-08-01,52,0,66,0,14,0,54,17,26,0,23,0,49,0,0,64,21,56,36,0,0,38,65,0,82,0,46,0,0,0,0,0,0,0,0,0,0,0,0,23,0,54,15,52
