date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,35,4,50,37,18,24,15,51,58,15,22,43,76,46,54,21,53,51,47,63,56,63,52,68,17,85,46,60,78,63,13,10,100,32,30,29,0,60,3,25,29,39,43,58
2012-02-01,36,6,53,41,21,28,14,63,56,16,24,47,91,48,59,21,53,45,50,65,68,58,41,65,17,90,40,59,71,63,19,9,89,35,34,33,0,69,3,23,40,52,51,52
2012-03-01,34,10,49,38,21,29,18,63,55,16,21,43,82,57,54,23,52,45,45,66,62,57,41,65,17,90,39,57,66,59,18,10,83,30,33,35,0,76,3,22,30,46,46,54
2012-04-01,34,12,50,47,23,29,14,63,55,17,23,41,82,54,53,21,57,48,45,70,60,52,45,61,18,77,40,60,74,59,23,11,76,36,33,36,0,69,4,22,33,54,50,57
2012-05-01,34,23,52,39,20,26,14,52,56,16,19,43,83,51,59,20,60,51,46,76,52,50,41,63,17,80,40,56,76,57,22,11,80,29,31,34,0,65,4,20,40,43,48,58
2012-06-01,34,27,49,30,16,28,14,47,57,17,16,43,72,52,58,19,64,51,44,83,56,53,37,65,21,81,37,63,75,58,10,12,81,31,28,22,0,84,4,18,41,31,33,58
2012-07-01,40,31,52,32,15,28,13,47,54,18,16,45,66,50,58,18,62,47,43,80,53,58,29,69,19,84,42,60,75,59,8,11,79,31,30,16,0,100,4,18,26,28,28,57
2012-08-01,37,18,48,31,15,27,9,46,56,17,21,45,69,50,59,18,59,45,44,75,55,58,35,66,19,86,45,58,76,56,8,11,82,30,27,20,0,81,4,18,30,33,33,57
2012-09-01,33,11,48,41,20,28,10,56,53,19,27,47,78,46,57,20,55,43,49,62,55,49,56,60,19,77,39,56,77,58,16,9,79,28,31,38,0,64,4,18,39,52,55,52
2012-10-01,34,6,47,51,22,26,11,60,56,18,32,52,84,45,61,20,52,40,47,55,55,50,51,54,17,72,35,55,69,57,21,9,78,25,31,48,0,58,3,19,39,58,55,53
2012-11-01,35,4,51,43,20,25,9,62,53,17,30,55,72,46,62,20,53,44,46,49,58,56,51,50,16,68,31,55,64,53,20,9,72,24,32,47,0,69,4,18,42,51,55,48
2012-12-01,37,4,53,32,19,22,10,54,44,15,24,53,62,45,52,19,52,37,44,49,46,51,43,55,15,64,27,49,53,49,16,10,63,23,25,29,0,61,3,17,50,37,40,37
2013-01-01,38,5,53,36,18,26,9,50,61,18,22,47,78,40,57,22,52,56,47,57,54,50,48,62,17,85,41,54,71,64,14,10,89,36,27,29,0,51,4,17,24,39,44,54
2013-02-01,37,6,53,42,21,28,9,60,55,18,26,51,81,38,63,22,54,63,48,63,63,44,48,62,19,88,38,57,68,60,18,9,74,37,31,36,0,51,4,18,26,50,50,51
2013-03-01,37,8,49,41,22,28,12,57,55,19,22,47,83,45,58,24,60,54,46,66,59,49,43,62,21,89,32,55,66,59,21,11,67,34,31,35,0,54,4,19,29,47,47,53
2013-04-01,37,14,47,45,23,29,15,68,59,20,22,60,89,47,59,22,60,53,49,70,60,50,43,56,20,81,35,57,68,58,26,9,71,35,33,39,0,52,4,24,34,53,51,56
2013-05-01,37,22,48,34,20,28,14,55,53,20,18,51,85,48,61,20,64,55,48,72,58,47,44,62,19,75,34,56,72,58,22,10,70,31,29,34,0,58,4,19,32,44,47,53
2013-06-01,38,30,48,29,16,30,14,47,52,20,18,48,61,49,63,19,65,54,53,78,51,50,38,64,19,77,35,56,67,55,9,10,71,33,29,22,0,66,5,18,30,30,29,50
2013-07-01,38,31,49,28,15,29,17,44,55,21,17,53,65,48,68,18,70,55,57,82,55,51,30,66,20,86,35,58,72,62,7,13,76,39,29,17,0,66,4,19,21,28,26,54
2013-08-01,37,16,50,28,15,27,17,44,58,21,16,50,65,50,64,19,67,53,52,75,55,49,33,66,21,80,41,59,70,60,6,10,76,31,27,16,0,72,4,18,20,27,30,51
2013-09-01,36,11,48,33,19,26,15,55,59,21,28,52,78,48,60,19,62,54,52,61,56,44,48,57,20,75,33,62,67,55,15,11,73,27,32,28,0,60,3,18,28,45,48,49
2013-10-01,34,6,51,39,22,24,13,66,67,27,34,51,87,46,64,22,66,48,56,56,61,44,58,55,22,75,33,70,62,59,18,11,90,27,35,42,0,53,3,19,43,53,54,49
2013-11-01,38,4,58,35,21,25,10,65,58,22,37,49,74,49,56,22,69,54,51,53,56,47,51,57,19,69,29,59,59,55,18,10,57,25,31,38,0,53,4,20,30,48,47,42
