date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2012-01-01,31,0,65,0,38,0,0,9,94,36,28,46,42,67,90,26,83,27,86,100,50,40,35,71,13,100,69,72,41,84,0,0,61,61,48,0,0,34,0,54,78,28,25,71
2012-02-01,29,0,71,20,62,66,45,10,92,30,35,46,60,82,60,27,84,32,74,87,58,54,40,73,16,96,51,72,55,55,55,0,56,69,59,40,0,41,0,70,0,58,61,83
2012-03-01,29,0,62,22,62,0,87,9,95,48,28,44,61,85,65,37,85,35,66,76,52,64,50,65,17,83,33,66,62,70,82,0,57,66,49,96,0,38,0,60,0,71,66,81
2012-04-01,29,0,60,19,53,0,49,8,88,45,39,46,58,83,76,16,92,29,65,77,44,51,53,57,15,83,44,68,35,73,57,0,44,65,39,41,0,36,0,44,0,71,56,67
2012-05-01,31,0,71,0,65,0,44,9,97,45,49,46,75,79,71,23,91,51,60,77,50,55,49,67,15,83,52,68,48,62,100,0,44,71,52,25,0,37,0,49,0,71,68,68
2012-06-01,31,0,72,0,40,0,59,8,86,32,65,50,53,67,49,19,89,61,62,77,55,65,37,60,19,83,50,66,26,58,40,0,48,60,35,0,0,40,0,51,0,48,32,60
2012-07-01,35,0,69,15,55,64,50,8,89,37,61,47,58,66,49,19,90,91,66,77,79,76,33,68,18,84,53,73,33,76,0,0,49,75,45,28,0,48,0,65,0,48,37,61
2012-08-01,31,0,63,28,100,65,74,9,95,48,38,57,85,77,62,33,85,46,67,79,69,61,37,65,17,85,51,67,53,63,48,0,47,96,44,45,0,43,0,79,0,79,57,73
2012-09-01,32,0,66,21,60,0,56,9,83,49,0,46,69,71,67,19,84,39,68,79,61,53,37,62,18,83,43,64,37,65,38,92,46,85,56,0,0,41,0,75,0,77,54,77
2012-10-01,29,0,70,14,55,52,51,10,89,39,36,49,49,71,49,18,85,33,67,80,59,58,36,66,14,79,48,69,38,68,85,0,49,63,40,24,0,34,0,58,0,51,42,63
2012-11-01,29,0,70,0,40,0,36,12,86,33,0,50,40,63,68,16,85,32,65,84,53,57,46,80,18,72,50,62,31,53,0,0,48,61,29,0,0,38,0,60,100,36,26,54
2012-12-01,32,0,65,0,24,0,100,7,71,28,0,49,27,63,0,16,86,22,67,87,41,36,35,89,20,53,0,58,22,59,0,0,38,46,28,0,0,29,0,25,0,18,14,36
2013-01-01,30,0,66,0,36,100,71,8,100,33,23,49,36,60,61,15,96,35,100,91,60,61,40,76,21,98,71,68,40,72,0,0,70,67,38,0,0,50,0,46,0,28,24,61
2013-02-01,30,23,61,17,52,0,52,9,92,37,42,63,51,68,83,28,89,48,78,87,68,64,39,78,21,86,54,65,36,62,42,0,69,80,59,36,0,42,0,63,0,52,50,64
2013-03-01,31,0,58,11,57,0,49,8,86,48,49,45,52,80,56,30,94,42,78,93,66,79,36,71,22,77,50,64,48,68,55,0,55,69,58,47,0,54,0,58,0,56,52,62
2013-04-01,34,0,69,16,56,97,68,8,95,44,54,48,54,76,76,26,95,45,80,76,56,66,40,68,20,82,44,66,33,76,71,0,60,78,43,31,0,54,0,49,0,58,44,66
2013-05-01,34,0,66,15,56,0,68,9,92,40,48,53,55,78,78,22,91,35,70,72,66,58,39,68,23,85,48,69,28,68,63,0,66,72,48,43,0,45,0,71,0,59,53,58
2013-06-01,33,0,72,0,41,0,70,8,84,39,53,67,43,69,95,18,96,31,75,69,62,69,40,70,22,76,33,64,27,75,0,0,58,61,50,0,0,46,0,58,0,40,27,50
2013-07-01,34,0,63,0,54,67,53,7,89,35,51,65,56,69,79,18,92,37,77,79,100,77,36,69,22,80,52,73,24,73,30,0,58,79,55,29,0,47,0,56,0,42,29,59
2013-08-01,33,0,68,19,82,67,44,8,82,47,48,61,100,74,78,54,89,37,81,74,74,69,44,68,23,80,56,69,39,64,31,0,61,80,47,26,0,33,0,78,0,74,49,59
2013-09-01,30,0,76,18,81,0,69,9,83,53,46,54,65,75,77,24,94,37,86,79,68,55,41,69,24,77,36,72,26,61,49,0,57,64,47,19,0,31,0,64,0,69,42,56
2013-10-01,32,15,71,17,43,57,47,9,81,50,22,49,49,69,49,26,92,32,76,74,70,50,47,65,18,71,33,72,34,62,36,41,61,64,40,19,0,46,0,49,0,45,41,52
2013-11-01,30,40,61,9,31,54,46,8,70,48,31,48,36,67,53,21,85,25,68,76,52,50,53,67,19,66,44,70,27,51,24,0,56,67,42,13,0,31,0,38,0,30,23,44
2013-12-01,36,13,46,7,17,42,42,6,49,34,14,62,15,53,35,15,73,19,60,60,26,26,59,65,21,45,43,60,14,44,0,0,35,35,23,0,0,40,0,31,0,12,12,28
2014-01-01,33,27,45,7,27,55,52,7,73,42,16,64,29,48,44,29,73,31,70,63,40,34,74,52,18,81,69,68,36,48,14,26,69,67,27,15,0,32,60,44,0,22,23,47
2014-02-01,32,16,46,12,41,46,33,10,69,52,25,56,39,58,42,21,74,28,62,60,41,43,72,54,20,69,41,70,36,44,40,28,64,64,52,35,0,38,0,60,0,35,54,52
2014-03-01,31,0,48,15,41,31,34,9,62,56,35,65,39,60,33,20,69,31,55,55,41,48,82,45,21,61,47,69,39,53,44,0,54,47,54,38,40,44,44,50,0,45,56,52
2014-04-01,37,0,57,16,41,57,34,9,68,51,41,59,50,66,52,14,80,31,65,59,45,54,64,55,24,65,51,70,29,61,36,52,55,63,49,20,0,43,68,47,0,54,40,46
2014-05-01,37,0,57,12,41,29,29,9,72,54,47,61,73,62,63,19,79,31,59,50,46,48,56,52,21,65,58,69,32,58,31,49,62,62,36,30,0,42,0,51,0,58,45,47
2014-06-01,41,0,52,11,29,49,34,7,65,50,39,62,38,57,47,18,79,40,56,50,49,49,89,49,24,66,50,70,26,55,30,77,71,55,37,21,25,29,0,42,0,32,31,40
2014-07-01,39,0,50,11,31,29,31,8,66,49,32,76,39,55,50,38,76,35,57,57,61,60,90,49,19,65,48,73,24,52,21,45,64,65,29,24,0,44,0,52,0,33,31,44
2014-08-01,35,13,52,15,57,64,29,10,68,60,26,77,86,63,53,100,79,24,61,56,59,45,64,51,21,69,67,74,38,57,43,43,54,60,41,38,0,29,0,66,0,61,60,50
2014-09-01,36,19,52,15,52,46,43,9,66,56,37,60,68,64,52,56,78,25,64,59,48,43,55,52,20,62,51,75,46,54,79,0,57,57,37,33,0,45,0,63,0,54,44,49
2014-10-01,37,11,54,9,38,73,49,9,64,48,31,59,41,59,53,30,79,24,63,65,54,45,57,57,19,63,46,71,27,53,20,29,62,63,36,21,0,31,0,54,0,37,28,42
2014-11-01,42,0,60,7,31,52,40,8,60,45,30,58,33,61,63,21,84,23,66,67,50,43,59,68,26,58,50,73,27,52,0,32,60,56,39,15,100,46,0,37,0,31,29,39
2014-12-01,45,14,51,0,18,0,37,6,47,40,18,58,20,64,45,16,90,20,69,67,32,28,58,73,22,48,38,69,14,55,0,0,48,39,35,0,71,42,0,32,0,14,11,30
2015-01-01,43,39,49,0,32,68,30,8,67,47,28,67,26,59,40,28,85,29,84,71,51,48,56,65,23,95,66,78,35,69,16,28,82,74,37,15,0,39,83,41,0,21,20,46
2015-02-01,38,38,57,14,37,52,36,10,70,53,32,62,41,65,63,23,88,34,72,73,57,72,60,65,23,79,67,72,35,70,27,44,78,63,50,31,39,32,0,47,0,37,44,50
2015-03-01,37,15,55,18,50,41,34,13,72,59,40,56,44,69,62,20,94,43,67,71,60,57,64,57,24,74,66,74,42,67,34,31,75,72,71,43,0,42,0,47,0,53,58,47
2015-04-01,49,0,53,14,46,43,36,9,68,55,29,59,43,68,75,20,89,67,67,63,51,54,58,61,28,66,53,73,31,74,15,43,67,72,45,29,0,36,0,36,0,43,36,45
2015-05-01,45,0,57,16,49,41,32,9,72,56,33,65,64,71,57,30,88,81,68,61,50,41,68,57,27,71,60,72,23,65,32,52,64,74,42,25,0,34,49,41,0,52,38,43
2015-06-01,45,13,60,8,35,39,50,8,70,50,45,77,33,62,60,24,88,53,67,60,57,51,57,60,27,66,45,72,28,79,20,34,63,69,42,24,0,32,0,36,0,34,29,39
2015-07-01,48,0,62,13,36,31,41,8,64,53,28,81,38,58,100,23,83,47,62,63,66,62,55,53,28,71,59,77,27,68,24,43,69,79,40,18,0,35,0,42,0,35,27,39
2015-08-01,44,12,56,15,58,37,52,9,68,61,27,75,82,67,66,42,85,44,68,62,58,52,60,54,25,67,39,77,40,70,60,0,73,73,45,36,0,31,0,62,0,66,59,45
2015-09-01,45,19,59,15,56,53,56,9,69,60,28,63,57,68,63,39,87,34,69,64,51,46,53,53,28,68,47,76,41,58,58,0,67,68,43,26,0,32,0,53,0,67,47,45
2015-10-01,41,43,64,12,44,45,45,9,66,57,33,63,31,63,61,29,90,30,65,63,56,52,53,59,27,63,55,72,24,68,34,23,65,69,36,19,0,30,0,40,0,35,28,38
2015-11-01,39,44,64,13,34,59,41,8,64,49,31,65,28,66,50,20,87,22,65,70,49,38,59,66,26,59,66,73,22,59,18,0,60,68,35,13,0,25,0,35,0,27,22,36
2015-12-01,45,95,56,7,20,46,85,7,48,41,21,65,16,73,54,18,83,20,72,73,37,29,58,77,30,48,43,68,18,65,0,29,59,53,35,0,0,41,0,35,0,14,14,26
2016-01-01,49,83,48,5,30,46,45,8,65,52,23,75,24,56,37,32,80,25,71,64,51,34,83,66,27,81,56,74,41,85,0,36,100,59,40,11,0,40,0,43,0,21,25,38
2016-02-01,42,40,56,28,44,57,54,12,65,60,24,65,30,65,55,25,77,26,57,61,57,57,91,63,27,70,50,75,37,60,99,43,85,66,56,46,0,77,87,43,0,39,60,42
2016-03-01,44,21,58,21,46,36,42,14,61,61,33,64,31,70,59,25,85,26,59,63,48,45,86,58,28,59,54,72,44,71,63,26,66,73,57,31,0,41,52,41,0,41,54,39
2016-04-01,44,18,62,10,47,56,41,10,62,60,43,67,53,66,53,23,77,25,50,57,42,39,87,59,33,60,55,74,28,70,37,27,64,59,45,20,0,31,0,35,0,47,44,37
2016-05-01,45,12,61,13,49,45,51,10,62,60,42,70,73,74,61,25,79,25,49,54,44,38,83,60,31,60,58,76,29,66,30,43,67,69,51,25,0,26,0,43,0,59,51,38
2016-06-01,49,15,67,8,28,48,74,8,57,52,30,89,28,60,54,23,78,26,48,52,43,43,88,56,32,59,52,73,23,71,17,44,70,63,39,18,0,21,49,34,0,27,28,33
2016-07-01,52,10,66,8,34,48,35,8,63,60,32,98,29,54,70,27,83,27,51,50,56,53,95,57,35,58,53,81,25,74,18,0,66,61,40,28,0,25,0,36,0,30,26,32
2016-08-01,47,18,68,25,57,31,70,9,72,82,28,93,73,63,48,67,75,27,55,54,57,45,78,56,30,60,51,87,44,58,52,24,59,55,49,29,0,29,42,59,0,58,57,44
